B3LYP	1	1.703	1.261
B3PW91	1	1.775	1.176
B97	1	0.909	0.892
BLOC	1	0.888	1.104
BLYP	1	1.682	1.094
BMK	1	2.168	1.931
BOP	1	1.975	0.929
BP86	1	1.683	1.139
BPBE	1	2.033	1.087
CAM-B3LYP	1	1.217	1.378
HCTH/120	1	1.206	1.221
HF	1	1.746	1.158
HSE-HJS	1	0.109	1.129
LC-wPBE08	1	1.279	1.355
M05	1	0.595	1.373
M05-2X	1	0	1.417
M06	1	0	1.325
M06-2X	1	0	1.619
M06-HF	1	0	1.446
M06-L	1	0	1.581
M11-L	1	1.1129	2.3933
MS0	1	0	1.15
MS1	1	0	1.05
MS2	1	0	1.14
MS2h	1	0	1.14
N12	1	2.3916	1.3493
OLYP	1	1.764	0.806
oTPSS	1	1.494	1.128
PBE	1	0.722	1.217
PBE0	1	0.928	1.287
PBEsol	1	0.612	1.345
PW6B95	1	0.862	1.532
PWB6K	1	0.55	1.66
revPBE	1	1.01	0.923
revPBE0	1	0.792	0.949
RPBE	1	0.514	0.872
rPW86PBE	1	0.901	1.224
SCAN	1	0	1.324
TPSS	1	1.105	1.166
TPSSh	1	1.219	1.223
