B3LYP	1	1.9889	0.3981	4.4211
B3PW91	1	2.8524	0.4312	4.4693
B97	1	2.2609	0.5545	3.2297
BLYP	1	2.6996	0.4298	4.2359
BMK	1	2.086	0.194	5.9197
BOP	1	3.295	0.487	3.5043
BP86	1	3.2822	0.3946	4.8516
BPBE	1	4.0728	0.4567	4.3908
CAM-B3LYP	1	2.0674	0.3708	5.4743
HCTH/120	1	1.0821	0.3563	4.3359
HF	1	0.9171	0.3385	2.883
HSE-HJS	1	2.31	0.383	5.685
LC-wPBE08	1	1.8541	0.3919	5.0897
M11	1	2.8112	0	10.1389
MN12-L	1	2.2674	0	9.1494
MN12-SX	1	1.1674	0.0983	8.0259
N12-SX	1	2.49	0.3283	5.7898
OLYP	1	2.6205	0.5299	2.8065
oTPSS	1	2.7495	0.4634	4.3153
PBE	1	0.7875	0.4289	4.4407
PBE0	1	1.2177	0.4145	4.8593
PBEsol	1	2.9491	0.4466	6.1742
PW6B95	1	0.7257	0.2076	6.375
PWB6K	1	0.9383	0.1805	7.7627
revPBE	1	2.355	0.5238	3.5016
revPBE0	1	1.7588	0.4679	3.7619
RPBE	1	0.8318	0.182	4.0094
rPW86PBE	1	1.3845	0.4613	4.5062
SCAN	1	0	0.538	5.42
SOGGA11-X	1	1.1426	0.133	5.7381
TPSS	1	1.9435	0.4535	4.4752
TPSSh	1	2.2382	0.4529	4.655
