Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.8592573025,2.9852116425,4.11671421,-0.012213054522691969,-0.007948380351677737
1,0.80000,3.049874456,3.184225752,4.391161824,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.2404916095,3.3832398615,4.665609438,-0.01074268782028784,-0.006906802289882048
3,0.90000,3.431108763,3.582253971,4.940057052,-0.01016188351170699,-0.006481676518371919
4,0.95000,3.6217259165,3.7812680805,5.214504666,-0.00978125274589386,-0.006140054520718127
5,1.00000,3.81234307,3.98028219,5.48895228,-0.009696452316971178,-0.005881245004410137
6,1.05000,4.0029602235,4.1792962995,5.763399894,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.193577377,4.378310409,6.037847508,-0.011238620119787924,-0.005764756417701509
8,1.15000,4.3841945305,4.5773245185,6.312295122,-0.013329157770912196,-0.006396484038875416
9,1.20000,4.574811684,4.776338628,6.586742736,-0.015913782557387905,-0.009122629666050059
10,1.25000,4.7654288375,4.9753527375,6.86119035,-0.01800995795023469,-0.019077650050247433
11,1.30000,4.956045991,5.174366847,7.135637964,-0.01904018602606787,-0.029199418533587443
12,1.35000,5.1466631445,5.3733809565,7.410085578,-0.019063304159880112,-0.031711377491653765
13,1.40000,5.337280298,5.572395066,7.684533192,-0.01836658896167649,-0.030794170071515487
14,1.45000,5.5278974515,5.7714091755,7.958980806,-0.017214113139258965,-0.02871062586405529
15,1.50000,5.718514605,5.970423285,8.23342842,-0.015799446876966532,-0.02618557837312461
16,1.55000,5.9091317585,6.1694373945,8.507876034,-0.014260139800905873,-0.0235106461941068
17,1.60000,6.099748912,6.368451504,8.782323648,-0.012695015552844267,-0.020844639641333394
18,1.65000,6.2903660655,6.5674656135,9.056771262,-0.011174497092377243,-0.018289683046469656
19,1.70000,6.480983219,6.766479723,9.331218876,-0.009746320987005602,-0.015912329317837755
20,1.75000,6.6716003725,6.9654938325,9.60566649,-0.008439542846017369,-0.013751554855309964
21,1.80000,6.862217526,7.164507942,9.880114104,-0.007268250759297143,-0.011824327454879878
22,1.85000,7.0528346795,7.3635220515,10.154561718,-0.006235265653832667,-0.010131004014699175
23,1.90000,7.243451833,7.562536161,10.429009332,-0.005335613975797533,-0.008660503493892736
24,1.95000,7.4340689865,7.7615502705,10.703456946,-0.004559498889931379,-0.007394799485961228
25,2.00000,7.62468614,7.96056438,10.97790456,-0.0038946192436178344,-0.006312444380553976
26,2.05000,7.8153032935,8.1595784895,11.252352174,-0.003327828331089686,-0.005391083101173421
27,2.10000,8.005920447,8.358592599,11.526799788,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,8.1965376005,8.5576067085,11.801247402,-0.0024377666635020997,-0.003946465564419419
29,2.20000,8.387154754,8.756620818,12.075695016,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,8.5777719075,8.9556349275,12.35014263,-0.001798334668858177,-0.0029101618536397514
31,2.30000,8.768389061,9.154649037,12.624590244,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,8.9590062145,9.3536631465,12.899037858,-0.001338460227412028,-0.0021655490125395372
33,2.40000,9.149623368,9.552677256,13.173485472,-0.0011589170365201762,-0.001874974609819086
34,2.45000,9.3402405215,9.7516913655,13.447933086,-0.0010059721550935079,-0.0016274993689842513
