Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.629913115,2.629913115,2.629913115,-0.047230285634157945,-0.04617592501325142
1,0.80000,2.805240656,2.805240656,2.805240656,-0.044224318874516964,-0.04311147710437722
2,0.85000,2.980568197,2.980568197,2.980568197,-0.04145362633387964,-0.04031258372978596
3,0.90000,3.155895738,3.155895738,3.155895738,-0.03903357376617083,-0.03785953052129882
4,0.95000,3.331223279,3.331223279,3.331223279,-0.03695465534282005,-0.03569369214971016
5,1.00000,3.50655082,3.50655082,3.50655082,-0.03518787466652759,-0.033689359796191885
6,1.05000,3.681878361,3.681878361,3.681878361,-0.033812296723457,-0.031712668944435925
7,1.10000,3.857205902,3.857205902,3.857205902,-0.03316911130819935,-0.029655544911116695
8,1.15000,4.032533443,4.032533443,4.032533443,-0.033891892967804385,-0.02745239633640231
9,1.20000,4.207860984,4.207860984,4.207860984,-0.036459393993245486,-0.025087554698896397
10,1.25000,4.383188525,4.383188525,4.383188525,-0.04045274494161483,-0.022680485167379496
11,1.30000,4.558516066,4.558516066,4.558516066,-0.043414120037687014,-0.023166667799847437
12,1.35000,4.733843607,4.733843607,4.733843607,-0.04302598746998626,-0.0408923477638404
13,1.40000,4.909171148,4.909171148,4.909171148,-0.03982603296347567,-0.05680013714918401
14,1.45000,5.084498689,5.084498689,5.084498689,-0.03527481602565142,-0.05563552462544156
15,1.50000,5.25982623,5.25982623,5.25982623,-0.030405541565676313,-0.04898398518756902
16,1.55000,5.435153771,5.435153771,5.435153771,-0.02576897450160709,-0.04163196013805485
17,1.60000,5.610481312,5.610481312,5.610481312,-0.021612588097678725,-0.034862043556595515
18,1.65000,5.785808853,5.785808853,5.785808853,-0.018015487686242965,-0.02898861579575649
19,1.70000,5.961136394,5.961136394,5.961136394,-0.01496933896668201,-0.024029300572393587
20,1.75000,6.136463935,6.136463935,6.136463935,-0.012424691760449063,-0.0199019634203853
21,1.80000,6.311791476,6.311791476,6.311791476,-0.010316722710840652,-0.01649468678830924
22,1.85000,6.487119017,6.487119017,6.487119017,-0.008578871091902224,-0.01369391734820657
23,1.90000,6.662446558,6.662446558,6.662446558,-0.00714946296119774,-0.011395923633251032
24,1.95000,6.837774099,6.837774099,6.837774099,-0.00597439877723744,-0.009510749508198017
25,2.00000,7.01310164,7.01310164,7.01310164,-0.005007738122159795,-0.007962666218044997
26,2.05000,7.188429181,7.188429181,7.188429181,-0.00421124721027708,-0.006689061258632939
27,2.10000,7.363756722,7.363756722,7.363756722,-0.003553506522688384,-0.005638739661816751
28,2.15000,7.539084263,7.539084263,7.539084263,-0.0030088973894115516,-0.004770122151681056
29,2.20000,7.714411804,7.714411804,7.714411804,-0.0025566257235519318,-0.0040495653913927504
30,2.25000,7.889739345,7.889739345,7.889739345,-0.002179851767139756,-0.003449893256685004
31,2.30000,8.065066886,8.065066886,8.065066886,-0.001864947225045794,-0.0029491588054707234
32,2.35000,8.240394427,8.240394427,8.240394427,-0.0016008775456127435,-0.0025296238237510734
33,2.40000,8.415721968,8.415721968,8.415721968,-0.001378696651583323,-0.002176929484926411
34,2.45000,8.591049509,8.591049509,8.591049509,-0.0011911379342473924,-0.0018794282786270752
