Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,6.3508113900000005,10.625255639999999,14.5741239,-0.012213054522691969,-0.007948380351677737
1,0.80000,6.774198815999999,11.333606016,15.54573216,-0.011456387903189116,-0.007405665102731961
2,0.85000,7.197586242,12.041956392000001,16.51734042,-0.01074268782028784,-0.006906802289882048
3,0.90000,7.620973668,12.750306768,17.48894868,-0.01016188351170699,-0.006481676518371919
4,0.95000,8.044361094000001,13.458657144,18.46055694,-0.00978125274589386,-0.006140054520718127
5,1.00000,8.467748519999999,14.16700752,19.4321652,-0.009696452316971178,-0.005881245004410137
6,1.05000,8.891135946,14.875357895999999,20.40377346,-0.010087755481643278,-0.00571993632534717
7,1.10000,9.314523372,15.583708271999999,21.37538172,-0.011238620119787924,-0.005764756417701509
8,1.15000,9.737910798000001,16.292058647999998,22.34698998,-0.013329157770912196,-0.006396484038875416
9,1.20000,10.161298224,17.000409024,23.31859824,-0.015913782557387905,-0.009122629666050059
10,1.25000,10.584685649999999,17.708759399999998,24.2902065,-0.01800995795023469,-0.019077650050247433
11,1.30000,11.008073076,18.417109776,25.26181476,-0.01904018602606787,-0.029199418533587443
12,1.35000,11.431460502,19.125460152000002,26.23342302,-0.019063304159880112,-0.031711377491653765
13,1.40000,11.854847928,19.833810528,27.20503128,-0.01836658896167649,-0.030794170071515487
14,1.45000,12.278235354,20.542160904,28.176639539999996,-0.017214113139258965,-0.02871062586405529
15,1.50000,12.701622780000001,21.250511279999998,29.1482478,-0.015799446876966532,-0.02618557837312461
16,1.55000,13.125010206,21.958861656,30.11985606,-0.014260139800905873,-0.0235106461941068
17,1.60000,13.548397631999999,22.667212032,31.09146432,-0.012695015552844267,-0.020844639641333394
18,1.65000,13.971785058,23.375562408,32.06307258,-0.011174497092377243,-0.018289683046469656
19,1.70000,14.395172484,24.083912784000002,33.03468084,-0.009746320987005602,-0.015912329317837755
20,1.75000,14.818559910000001,24.79226316,34.006289100000004,-0.008439542846017369,-0.013751554855309964
21,1.80000,15.241947336,25.500613536,34.97789736,-0.007268250759297143,-0.011824327454879878
22,1.85000,15.665334761999999,26.208963911999998,35.94950562,-0.006235265653832667,-0.010131004014699175
23,1.90000,16.088722188000002,26.917314288,36.92111388,-0.005335613975797533,-0.008660503493892736
24,1.95000,16.512109614,27.625664664,37.892722140000004,-0.004559498889931379,-0.007394799485961228
25,2.00000,16.935497039999998,28.33401504,38.8643304,-0.0038946192436178344,-0.006312444380553976
26,2.05000,17.358884466,29.042365416000003,39.835938660000004,-0.003327828331089686,-0.005391083101173421
27,2.10000,17.782271892,29.750715791999998,40.80754692,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,18.205659318,30.459066168,41.77915518,-0.0024377666635020997,-0.003946465564419419
29,2.20000,18.629046744,31.167416543999998,42.75076344,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,19.05243417,31.875766919999997,43.722371700000004,-0.001798334668858177,-0.0029101618536397514
31,2.30000,19.475821596000003,32.584117295999995,44.69397996,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,19.899209021999997,33.292467672,45.66558822,-0.001338460227412028,-0.0021655490125395372
33,2.40000,20.322596448,34.000818048,46.63719648,-0.0011589170365201762,-0.001874974609819086
34,2.45000,20.745983874,34.709168424,47.60880474,-0.0010059721550935079,-0.0016274993689842513
