Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.5664342925,8.5674001125,19.9259159025,-0.012213054522691969,-0.007948380351677737
1,0.80000,5.937529912,9.138560120000001,21.254310296,-0.011456387903189116,-0.007405665102731961
2,0.85000,6.3086255315,9.709720127499999,22.582704689499998,-0.01074268782028784,-0.006906802289882048
3,0.90000,6.679721151,10.280880135,23.911099083,-0.01016188351170699,-0.006481676518371919
4,0.95000,7.0508167705,10.8520401425,25.2394934765,-0.00978125274589386,-0.006140054520718127
5,1.00000,7.42191239,11.42320015,26.56788787,-0.009696452316971178,-0.005881245004410137
6,1.05000,7.7930080095,11.9943601575,27.896282263499998,-0.010087755481643278,-0.00571993632534717
7,1.10000,8.164103629,12.565520165,29.224676656999996,-0.011238620119787924,-0.005764756417701509
8,1.15000,8.5351992485,13.1366801725,30.553071050499998,-0.013329157770912196,-0.006396484038875416
9,1.20000,8.906294868,13.70784018,31.881465444,-0.015913782557387905,-0.009122629666050059
10,1.25000,9.2773904875,14.2790001875,33.2098598375,-0.01800995795023469,-0.019077650050247433
11,1.30000,9.648486107,14.850160195,34.538254230999996,-0.01904018602606787,-0.029199418533587443
12,1.35000,10.0195817265,15.421320202499999,35.8666486245,-0.019063304159880112,-0.031711377491653765
13,1.40000,10.390677346,15.99248021,37.195043018,-0.01836658896167649,-0.030794170071515487
14,1.45000,10.7617729655,16.563640217499998,38.523437411500005,-0.017214113139258965,-0.02871062586405529
15,1.50000,11.132868585,17.134800225,39.851831805,-0.015799446876966532,-0.02618557837312461
16,1.55000,11.503964204499999,17.7059602325,41.180226198499994,-0.014260139800905873,-0.0235106461941068
17,1.60000,11.875059824,18.277120240000002,42.508620592,-0.012695015552844267,-0.020844639641333394
18,1.65000,12.2461554435,18.8482802475,43.8370149855,-0.011174497092377243,-0.018289683046469656
19,1.70000,12.617251063,19.419440254999998,45.165409378999996,-0.009746320987005602,-0.015912329317837755
20,1.75000,12.9883466825,19.990600262500003,46.4938037725,-0.008439542846017369,-0.013751554855309964
21,1.80000,13.359442302,20.56176027,47.822198166,-0.007268250759297143,-0.011824327454879878
22,1.85000,13.7305379215,21.1329202775,49.1505925595,-0.006235265653832667,-0.010131004014699175
23,1.90000,14.101633541,21.704080285,50.478986953,-0.005335613975797533,-0.008660503493892736
24,1.95000,14.4727291605,22.2752402925,51.8073813465,-0.004559498889931379,-0.007394799485961228
25,2.00000,14.84382478,22.8464003,53.13577574,-0.0038946192436178344,-0.006312444380553976
26,2.05000,15.2149203995,23.4175603075,54.4641701335,-0.003327828331089686,-0.005391083101173421
27,2.10000,15.586016019,23.988720315,55.792564526999996,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,15.957111638499999,24.5598803225,57.1209589205,-0.0024377666635020997,-0.003946465564419419
29,2.20000,16.328207258,25.13104033,58.44935331399999,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,16.6993028775,25.7022003375,59.7777477075,-0.001798334668858177,-0.0029101618536397514
31,2.30000,17.070398497,26.273360345,61.106142100999996,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,17.4414941165,26.844520352500002,62.434536494499994,-0.001338460227412028,-0.0021655490125395372
33,2.40000,17.812589736,27.41568036,63.762930888,-0.0011589170365201762,-0.001874974609819086
34,2.45000,18.1836853555,27.9868403675,65.09132528149999,-0.0010059721550935079,-0.0016274993689842513
