Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,4.629935955,3.347869845,7.1627950125,-0.012213054522691969,-0.007948380351677737
1,0.80000,4.938598352,3.571061168,7.64031468,-0.011456387903189116,-0.007405665102731961
2,0.85000,5.2472607490000005,3.794252491,8.1178343475,-0.01074268782028784,-0.006906802289882048
3,0.90000,5.555923146,4.017443814,8.595354015,-0.01016188351170699,-0.006481676518371919
4,0.95000,5.8645855430000005,4.240635137,9.0728736825,-0.00978125274589386,-0.006140054520718127
5,1.00000,6.1732479399999995,4.46382646,9.55039335,-0.009696452316971178,-0.005881245004410137
6,1.05000,6.481910337,4.687017783,10.0279130175,-0.010087755481643278,-0.00571993632534717
7,1.10000,6.7905727339999995,4.910209106,10.505432685,-0.011238620119787924,-0.005764756417701509
8,1.15000,7.099235131,5.133400429,10.9829523525,-0.013329157770912196,-0.006396484038875416
9,1.20000,7.4078975279999995,5.356591752,11.46047202,-0.015913782557387905,-0.009122629666050059
10,1.25000,7.716559925,5.579783075,11.9379916875,-0.01800995795023469,-0.019077650050247433
11,1.30000,8.025222322,5.802974398,12.415511355,-0.01904018602606787,-0.029199418533587443
12,1.35000,8.333884719,6.026165721,12.8930310225,-0.019063304159880112,-0.031711377491653765
13,1.40000,8.642547116,6.249357044,13.37055069,-0.01836658896167649,-0.030794170071515487
14,1.45000,8.951209513,6.472548367,13.8480703575,-0.017214113139258965,-0.02871062586405529
15,1.50000,9.25987191,6.69573969,14.325590025,-0.015799446876966532,-0.02618557837312461
16,1.55000,9.568534307,6.918931013,14.8031096925,-0.014260139800905873,-0.0235106461941068
17,1.60000,9.877196704,7.142122336,15.28062936,-0.012695015552844267,-0.020844639641333394
18,1.65000,10.185859101,7.365313659,15.7581490275,-0.011174497092377243,-0.018289683046469656
19,1.70000,10.494521498000001,7.588504982,16.235668695,-0.009746320987005602,-0.015912329317837755
20,1.75000,10.803183895,7.811696305,16.7131883625,-0.008439542846017369,-0.013751554855309964
21,1.80000,11.111846292,8.034887628,17.19070803,-0.007268250759297143,-0.011824327454879878
22,1.85000,11.420508689,8.258078951,17.6682276975,-0.006235265653832667,-0.010131004014699175
23,1.90000,11.729171086000001,8.481270274,18.145747365,-0.005335613975797533,-0.008660503493892736
24,1.95000,12.037833483,8.704461597,18.6232670325,-0.004559498889931379,-0.007394799485961228
25,2.00000,12.346495879999999,8.92765292,19.1007867,-0.0038946192436178344,-0.006312444380553976
26,2.05000,12.655158277,9.150844243,19.5783063675,-0.003327828331089686,-0.005391083101173421
27,2.10000,12.963820674,9.374035566,20.055826035,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,13.272483071,9.597226889,20.5333457025,-0.0024377666635020997,-0.003946465564419419
29,2.20000,13.581145467999999,9.820418212,21.01086537,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,13.889807865,10.043609535,21.4883850375,-0.001798334668858177,-0.0029101618536397514
31,2.30000,14.198470262,10.266800858,21.965904705,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,14.507132659,10.489992181,22.4434243725,-0.001338460227412028,-0.0021655490125395372
33,2.40000,14.815795055999999,10.713183504,22.92094404,-0.0011589170365201762,-0.001874974609819086
34,2.45000,15.124457453,10.936374827,23.3984637075,-0.0010059721550935079,-0.0016274993689842513
