Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.3077296975,2.4191605725,3.044640735,-0.01529074297482096,-0.010241637578980202
1,0.80000,2.461578344,2.580437944,3.247616784,-0.01612989395946045,-0.010055132327876675
2,0.85000,2.6154269905,2.7417153155,3.450592833,-0.017282147880820553,-0.009800680688884306
3,0.90000,2.769275637,2.902992687,3.653568882,-0.019028287776671024,-0.009478439914528281
4,0.95000,2.9231242835,3.0642700585,3.856544931,-0.021747882521070412,-0.009371111426217492
5,1.00000,3.07697293,3.22554743,4.05952098,-0.025160770094257424,-0.01176003130220251
6,1.05000,3.2308215765,3.3868248015,4.262497029,-0.02865011193625647,-0.016979405824831553
7,1.10000,3.384670223,3.548102173,4.465473078,-0.03153648846021556,-0.026082070304401416
8,1.15000,3.5385188695,3.7093795445,4.668449127,-0.03284178759257368,-0.04153959602373299
9,1.20000,3.692367516,3.870656916,4.871425176,-0.03219974442033961,-0.051082187751688
10,1.25000,3.8462161625,4.0319342875,5.074401225,-0.030106963365019373,-0.04982553286965412
11,1.30000,4.000064809,4.193211659,5.277377274,-0.02723523565430502,-0.04506500226813517
12,1.35000,4.1539134555,4.3544890305,5.480353323,-0.024077657742045424,-0.03957728836156105
13,1.40000,4.307762102,4.515766402,5.683329372,-0.0209346536391634,-0.03419395627669584
14,1.45000,4.4616107485,4.6770437735,5.886305421,-0.017975252447108903,-0.029211656960775677
15,1.50000,4.615459395,4.838321145,6.08928147,-0.015287045237745548,-0.024745935559961983
16,1.55000,4.7693080415,4.9995985165,6.292257519,-0.012907123062441203,-0.020830840741041204
17,1.60000,4.923156688,5.160875888,6.495233568,-0.01084074139501955,-0.01745584838481113
18,1.65000,5.0770053345,5.3221532595,6.698209617,-0.009073354787157498,-0.014584523006785442
19,1.70000,5.230853981,5.483430631,6.901185666,-0.007578989301270379,-0.012166408520737252
20,1.75000,5.3847026275,5.6447080025,7.104161715,-0.006326224328153203,-0.010145323510849067
21,1.80000,5.538551274,5.805985374,7.307137764,-0.005282330121814293,-0.008465036527644243
22,1.85000,5.6923999205,5.9672627455,7.510113813,-0.004415912467574161,-0.0070728251887903285
23,1.90000,5.846248567,6.128540117,7.713089862,-0.003698400241724492,-0.005921389328792952
24,1.95000,6.0000972135,6.2898174885,7.916065911,-0.003104704859778978,-0.004969588941961022
25,2.00000,6.15394586,6.45109486,8.11904196,-0.0026133397488535583,-0.004182424243786049
26,2.05000,6.3077945065,6.6123722315,8.322018009,-0.0022062241554582597,-0.003530583725996383
27,2.10000,6.461643153,6.773649603,8.524994058,-0.0018683290077162024,-0.002989788571526939
28,2.15000,6.6154917995,6.9349269745,8.727970107,-0.0015872660780431069,-0.0025400786386502736
29,2.20000,6.769340446,7.096204346,8.930946156,-0.0013528796830152776,-0.0021651234068767325
30,2.25000,6.9231890925,7.2574817175,9.133922205,-0.0011568717362744293,-0.0018515996523490097
31,2.30000,7.077037739,7.418759089,9.336898254,-0.000992473194330263,-0.0015886518178059822
32,2.35000,7.2308863855,7.5800364605,9.539874303,-0.0008541646382051278,-0.0013674363250025159
33,2.40000,7.384735032,7.741313832,9.742850352,-0.0007374433003637946,-0.0011807435304921612
34,2.45000,7.5385836785,7.9025912035,9.945826401,-0.0006386313793686259,-0.0010226878152779378
