Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.9200443325,2.00446227,2.76921906,-0.012213054522691969,-0.007948380351677737
1,0.80000,2.048047288,2.138093088,2.953833664,-0.011456387903189116,-0.007405665102731961
2,0.85000,2.1760502435,2.271723906,3.138448268,-0.01074268782028784,-0.006906802289882048
3,0.90000,2.304053199,2.405354724,3.323062872,-0.01016188351170699,-0.006481676518371919
4,0.95000,2.4320561545,2.538985542,3.507677476,-0.00978125274589386,-0.006140054520718127
5,1.00000,2.56005911,2.67261636,3.69229208,-0.009696452316971178,-0.005881245004410137
6,1.05000,2.6880620655,2.806247178,3.876906684,-0.010087755481643278,-0.00571993632534717
7,1.10000,2.816065021,2.939877996,4.061521288,-0.011238620119787924,-0.005764756417701509
8,1.15000,2.9440679765,3.073508814,4.246135892,-0.013329157770912196,-0.006396484038875416
9,1.20000,3.072070932,3.207139632,4.430750496,-0.015913782557387905,-0.009122629666050059
10,1.25000,3.2000738875,3.34077045,4.6153651,-0.01800995795023469,-0.019077650050247433
11,1.30000,3.328076843,3.474401268,4.799979704,-0.01904018602606787,-0.029199418533587443
12,1.35000,3.4560797985,3.608032086,4.984594308,-0.019063304159880112,-0.031711377491653765
13,1.40000,3.584082754,3.741662904,5.169208912,-0.01836658896167649,-0.030794170071515487
14,1.45000,3.7120857095,3.875293722,5.353823516,-0.017214113139258965,-0.02871062586405529
15,1.50000,3.840088665,4.00892454,5.53843812,-0.015799446876966532,-0.02618557837312461
16,1.55000,3.9680916205,4.142555358,5.723052724,-0.014260139800905873,-0.0235106461941068
17,1.60000,4.096094576,4.276186176,5.907667328,-0.012695015552844267,-0.020844639641333394
18,1.65000,4.2240975315,4.409816994,6.092281932,-0.011174497092377243,-0.018289683046469656
19,1.70000,4.352100487,4.543447812,6.276896536,-0.009746320987005602,-0.015912329317837755
20,1.75000,4.4801034425,4.67707863,6.46151114,-0.008439542846017369,-0.013751554855309964
21,1.80000,4.608106398,4.810709448,6.646125744,-0.007268250759297143,-0.011824327454879878
22,1.85000,4.7361093535,4.944340266,6.830740348,-0.006235265653832667,-0.010131004014699175
23,1.90000,4.864112309,5.077971084,7.015354952,-0.005335613975797533,-0.008660503493892736
24,1.95000,4.9921152645,5.211601902,7.199969556,-0.004559498889931379,-0.007394799485961228
25,2.00000,5.12011822,5.34523272,7.38458416,-0.0038946192436178344,-0.006312444380553976
26,2.05000,5.2481211755,5.478863538,7.569198764,-0.003327828331089686,-0.005391083101173421
27,2.10000,5.376124131,5.612494356,7.753813368,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,5.5041270865,5.746125174,7.938427972,-0.0024377666635020997,-0.003946465564419419
29,2.20000,5.632130042,5.879755992,8.123042576,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,5.7601329975,6.01338681,8.30765718,-0.001798334668858177,-0.0029101618536397514
31,2.30000,5.888135953,6.147017628,8.492271784,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,6.0161389085,6.280648446,8.676886388,-0.001338460227412028,-0.0021655490125395372
33,2.40000,6.144141864,6.414279264,8.861500992,-0.0011589170365201762,-0.001874974609819086
34,2.45000,6.2721448195,6.547910082,9.046115596,-0.0010059721550935079,-0.0016274993689842513
