Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.503737675,4.20265728,8.000080725,-0.012213054522691969,-0.007948380351677737
1,0.80000,5.870653519999999,4.482834432,8.53341944,-0.011456387903189116,-0.007405665102731961
2,0.85000,6.237569365,4.763011584,9.066758154999999,-0.01074268782028784,-0.006906802289882048
3,0.90000,6.60448521,5.043188735999999,9.60009687,-0.01016188351170699,-0.006481676518371919
4,0.95000,6.971401054999999,5.3233658880000005,10.133435584999999,-0.00978125274589386,-0.006140054520718127
5,1.00000,7.338316900000001,5.60354304,10.6667743,-0.009696452316971178,-0.005881245004410137
6,1.05000,7.705232745,5.883720192,11.200113015,-0.010087755481643278,-0.00571993632534717
7,1.10000,8.07214859,6.163897344,11.73345173,-0.011238620119787924,-0.005764756417701509
8,1.15000,8.439064435,6.444074496000001,12.266790445,-0.013329157770912196,-0.006396484038875416
9,1.20000,8.80598028,6.724251648,12.800129160000001,-0.015913782557387905,-0.009122629666050059
10,1.25000,9.172896125000001,7.0044288,13.333467875,-0.01800995795023469,-0.019077650050247433
11,1.30000,9.53981197,7.284605952,13.86680659,-0.01904018602606787,-0.029199418533587443
12,1.35000,9.906727815,7.564783104,14.400145304999999,-0.019063304159880112,-0.031711377491653765
13,1.40000,10.273643660000001,7.844960256,14.933484020000002,-0.01836658896167649,-0.030794170071515487
14,1.45000,10.640559505,8.125137407999999,15.466822735000001,-0.017214113139258965,-0.02871062586405529
15,1.50000,11.00747535,8.40531456,16.00016145,-0.015799446876966532,-0.02618557837312461
16,1.55000,11.374391195000001,8.685491712000001,16.533500165,-0.014260139800905873,-0.0235106461941068
17,1.60000,11.741307039999999,8.965668864,17.06683888,-0.012695015552844267,-0.020844639641333394
18,1.65000,12.108222885,9.245846016,17.600177594999998,-0.011174497092377243,-0.018289683046469656
19,1.70000,12.47513873,9.526023168,18.133516309999997,-0.009746320987005602,-0.015912329317837755
20,1.75000,12.842054574999999,9.80620032,18.666855025,-0.008439542846017369,-0.013751554855309964
21,1.80000,13.20897042,10.086377471999999,19.20019374,-0.007268250759297143,-0.011824327454879878
22,1.85000,13.575886265,10.366554623999999,19.733532455,-0.006235265653832667,-0.010131004014699175
23,1.90000,13.942802109999999,10.646731776000001,20.266871169999998,-0.005335613975797533,-0.008660503493892736
24,1.95000,14.309717955,10.926908928,20.800209885,-0.004559498889931379,-0.007394799485961228
25,2.00000,14.676633800000001,11.20708608,21.3335486,-0.0038946192436178344,-0.006312444380553976
26,2.05000,15.043549645,11.487263232,21.866887315,-0.003327828331089686,-0.005391083101173421
27,2.10000,15.41046549,11.767440384,22.40022603,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,15.777381335,12.047617536,22.933564745,-0.0024377666635020997,-0.003946465564419419
29,2.20000,16.14429718,12.327794688,23.46690346,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,16.511213025,12.60797184,24.000242175,-0.001798334668858177,-0.0029101618536397514
31,2.30000,16.87812887,12.888148992000001,24.53358089,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,17.245044715,13.168326144,25.066919605000002,-0.001338460227412028,-0.0021655490125395372
33,2.40000,17.61196056,13.448503296,25.600258320000002,-0.0011589170365201762,-0.001874974609819086
34,2.45000,17.978876404999998,13.728680447999999,26.133597035,-0.0010059721550935079,-0.0016274993689842513
