Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.0604361725,2.92164366,1.8900119999999998,-0.047885888332329665,-0.043723151226858895
1,0.80000,5.397798584,3.116419904,2.0160128000000004,-0.04666676227264961,-0.04196907046067894
2,0.85000,5.735160995499999,3.3111961480000005,2.1420136000000003,-0.045966894416420365,-0.040165905814272256
3,0.90000,6.072523407,3.5059723920000003,2.2680143999999998,-0.046263941003685895,-0.038360749405354985
4,0.95000,6.4098858185,3.7007486359999997,2.3940152,-0.04747012102163764,-0.03655611121734476
5,1.00000,6.74724823,3.89552488,2.520016,-0.04942019847315696,-0.03477030156295711
6,1.05000,7.084610641499999,4.090301124,2.6460168,-0.05296301090018008,-0.033352405230260194
7,1.10000,7.421973053,4.285077368,2.7720176,-0.06005484774770067,-0.034133850623921075
8,1.15000,7.7593354644999994,4.479853611999999,2.8980183999999998,-0.07396335689628376,-0.038406110053966366
9,1.20000,8.096697876,4.674629856,3.0240192000000006,-0.09166354271131942,-0.0807949565383654
10,1.25000,8.4340602875,4.8694061,3.1500200000000005,-0.09951170534493897,-0.1328201375437822
11,1.30000,8.771422699,5.064182344000001,3.2760208000000004,-0.09737204558231777,-0.14987468129055437
12,1.35000,9.1087851105,5.2589585880000005,3.4020216000000003,-0.09023634911175216,-0.14145394219292678
13,1.40000,9.446147522,5.453734832,3.5280224000000002,-0.08105743562174018,-0.1265368866352393
14,1.45000,9.7835099335,5.648511076,3.6540231999999997,-0.07133579358539086,-0.11064027448793091
15,1.50000,10.120872345,5.84328732,3.7800239999999996,-0.06186223415305417,-0.09542583434145452
16,1.55000,10.4582347565,6.038063564,3.9060248000000004,-0.05305967875952185,-0.08151062631624309
17,1.60000,10.795597168,6.232839808,4.032025600000001,-0.04513790243343038,-0.06913034056357646
18,1.65000,11.1329595795,6.427616051999999,4.158026400000001,-0.038172796522321445,-0.05833242174799809
19,1.70000,11.470321990999999,6.622392296000001,4.284027200000001,-0.0321547853434148,-0.04905562563996196
20,1.75000,11.8076844025,6.817168540000001,4.4100280000000005,-0.027022530021218218,-0.041176274750865195
21,1.80000,12.145046814,7.011944784000001,4.5360287999999995,-0.022687241373732812,-0.03453999402004958
22,1.85000,12.4824092255,7.206721027999999,4.662029599999999,-0.019049615653950656,-0.028983609451739122
23,1.90000,12.819771637,7.401497271999999,4.7880304,-0.01601078814169248,-0.024349207660620903
24,1.95000,13.1571340485,7.596273515999999,4.9140312,-0.01347870057211778,-0.020492126203326647
25,2.00000,13.49449646,7.79104976,5.040032,-0.011371221064728688,-0.01728461357203274
26,2.05000,13.8318588715,7.985826004,5.1660328,-0.009617150080887905,-0.01461667167747041
27,2.10000,14.169221282999999,8.180602248,5.2920336,-0.008155971680587668,-0.01239524560788355
28,2.15000,14.5065836945,8.375378492,5.4180344,-0.006936945045972599,-0.010542572397731823
29,2.20000,14.843946106,8.570154736,5.5440352,-0.0059179171084861905,-0.008994207942277215
30,2.25000,15.1813085175,8.764930979999999,5.670036,-0.005064081857029893,-0.007697036856540665
31,2.30000,15.518670928999999,8.959707223999999,5.7960367999999995,-0.004346808045111063,-0.006607426230018334
32,2.35000,15.8560333405,9.154483468,5.9220375999999995,-0.003742591996216374,-0.005689594357393079
33,2.40000,16.193395752,9.349259712,6.048038400000001,-0.003232154012417821,-0.004914213137259146
34,2.45000,16.5307581635,9.544035956,6.174039200000001,-0.002799676058589829,-0.00425723472499485
