Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.830368555,2.0013728025,4.9023421425,-0.012118641150228534,-0.007769441920538427
1,0.80000,3.019059792,2.134797656,5.229164952,-0.01139896478079015,-0.007248531179733383
2,0.85000,3.207751029,2.2682225095,5.5559877615,-0.010694013489449658,-0.006764599497972677
3,0.90000,3.396442266,2.401647363,5.882810571,-0.010097805397167254,-0.006348231244663913
4,0.95000,3.585133503,2.5350722165,6.2096333805,-0.009668797247695947,-0.006009436075038128
5,1.00000,3.77382474,2.66849707,6.53645619,-0.009474279230480406,-0.00574547281385311
6,1.05000,3.962515977,2.8019219235,6.8632789995,-0.009641873895980825,-0.005559589227728398
7,1.10000,4.151207214,2.935346777,7.190101809,-0.0104004260505551,-0.005506387371669546
8,1.15000,4.339898451,3.0687716305,7.5169246185,-0.012004675582078883,-0.005810052274519369
9,1.20000,4.528589688,3.202196484,7.843747428,-0.014346527870831708,-0.007209061054095193
10,1.25000,4.717280925,3.3356213375,8.1705702375,-0.016656554453785524,-0.012987967869655906
11,1.30000,4.905972162,3.469046191,8.497393047,-0.018137493969460614,-0.024432805494321638
12,1.35000,5.094663399,3.6024710445,8.8242158565,-0.01859289179233064,-0.030231356516849463
13,1.40000,5.283354636,3.735895898,9.151038666,-0.01822651914510901,-0.030629476232593045
14,1.45000,5.472045873,3.8693207515,9.4778614755,-0.01730772853371635,-0.02907916310970845
15,1.50000,5.66073711,4.002745605,9.804684285,-0.016052073261092,-0.026822641093794848
16,1.55000,5.849428347,4.1361704585,10.1315070945,-0.01461521819373619,-0.02429637220624749
17,1.60000,6.038119584,4.269595312,10.458329904,-0.013109058946884636,-0.02170550940340001
18,1.65000,6.226810821,4.4030201655,10.7851527135,-0.011614167462497148,-0.01917302268978919
19,1.70000,6.415502058,4.536445019,11.111975523,-0.010186878719446237,-0.01677952782860873
20,1.75000,6.604193295,4.6698698725,11.4387983325,-0.008863700031002642,-0.014575726972133517
21,1.80000,6.792884532,4.803294726,11.765621142,-0.00766497334802102,-0.012588580409166576
22,1.85000,6.981575769,4.9367195795,12.0924439515,-0.006598473370525822,-0.010826516460470642
23,1.90000,7.170267006,5.070144433,12.419266761,-0.005662895760725309,-0.009284508764546286
24,1.95000,7.358958243,5.2035692865,12.7460895705,-0.004850971035239411,-0.007948717053972841
25,2.00000,7.54764948,5.33699414,13.07291238,-0.004151998964659621,-0.0068003256880013584
26,2.05000,7.736340717,5.4704189935,13.3997351895,-0.003553737605571792,-0.005818427208171547
27,2.10000,7.925031954,5.603843847,13.726557999,-0.003043696061681273,-0.004981997622742978
28,2.15000,8.113723191,5.7372687005,14.0533808085,-0.002609940989319384,-0.00427112115704496
29,2.20000,8.302414428,5.870693554,14.380203618,-0.002241541906045735,-0.0036676545185834186
30,2.25000,8.491105665,6.0041184075,14.7070264275,-0.0019287682418968458,-0.003155505753189277
31,2.30000,8.679796902,6.137543261,15.033849237,-0.001663127857903281,-0.0027206678961747884
32,2.35000,8.868488139,6.2709681145,15.3606720465,-0.0014373123805263123,-0.0023511098081175725
33,2.40000,9.057179376,6.404392968,15.687494856,-0.0012450938455464433,-0.002036593878780547
34,2.45000,9.245870613,6.5378178215,16.0143176655,-0.0010812011894860462,-0.0017684651593590154
