Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.54310734,2.3454735975,7.57487361,-0.016697201599820972,-0.012664003919007051
1,0.80000,3.779314496,2.501838504,8.079865184,-0.015526482443711914,-0.011708283093255022
2,0.85000,4.015521652,2.6582034105,8.584856758,-0.014504793536587113,-0.010878267912116277
3,0.90000,4.251728808,2.814568317,9.089848332,-0.013740149982835294,-0.010205383141584362
4,0.95000,4.487935964,2.9709332235,9.594839906,-0.013342829200305481,-0.009714848734770725
5,1.00000,4.72414312,3.12729813,10.09983148,-0.013488430071621812,-0.009519993196567144
6,1.05000,4.960350276,3.2836630365,10.604823054,-0.014429665058205608,-0.010275145310118187
7,1.10000,5.196557432,3.440027943,11.109814628,-0.016352233318269706,-0.012406469142052108
8,1.15000,5.432764588,3.5963928495,11.614806202,-0.01902186426581263,-0.014056556514135813
9,1.20000,5.668971744,3.752757756,12.119797776,-0.021545712835002794,-0.01821788592722834
10,1.25000,5.9051789,3.9091226625,12.62478935,-0.023023999392314327,-0.028366695420006305
11,1.30000,6.141386056,4.065487569,13.129780924,-0.02328590352902681,-0.03320879270673658
12,1.35000,6.377593212,4.2218524755,13.634772498,-0.02261713961542055,-0.03301386980490245
13,1.40000,6.613800368,4.378217382,14.139764072,-0.02134216937438755,-0.03109115054455903
14,1.45000,6.850007524,4.5345822885,14.644755646,-0.0197042409989704,-0.02854893231507183
15,1.50000,7.08621468,4.690947195,15.14974722,-0.017875274755692127,-0.025772467073613657
16,1.55000,7.322421836,4.8473121015,15.654738794,-0.015980038727152875,-0.022951358100207517
17,1.60000,7.558628992,5.003677008,16.159730368,-0.014110494692491203,-0.020206283689927294
18,1.65000,7.794836148,5.1600419145,16.664721942,-0.012332465753573212,-0.01761982475508346
19,1.70000,8.031043304,5.316406821,17.169713516,-0.0106893181371794,-0.01524510353568229
20,1.75000,8.26725046,5.4727717275,17.67470509,-0.009205317881011369,-0.01311043975368632
21,1.80000,8.503457616,5.629136634,18.179696664,-0.00788943638058199,-0.011224184473150722
22,1.85000,8.739664772,5.7855015405,18.684688238,-0.006739390989545074,-0.00957998098903708
23,1.90000,8.975871928,5.941866447,19.189679812,-0.0057454391587888195,-0.008161805740002566
24,1.95000,9.212079084,6.0982313535,19.694671386,-0.0048935544605438665,-0.00694822471362676
25,2.00000,9.44828624,6.25459626,20.19966296,-0.0041678293276462075,-0.005915616107547277
26,2.05000,9.684493396,6.4109611665,20.704654534,-0.0035521288090926894,-0.005040377013576762
27,2.10000,9.920700552,6.567326073,21.209646108,-0.0030311197614478237,-0.004300280251391905
28,2.15000,10.156907708,6.7236909795,21.714637682,-0.002590831546555565,-0.0036751949235359887
29,2.20000,10.393114864,6.880055886,22.219629256,-0.00221889419567435,-0.003147371167861849
30,2.25000,10.62932202,7.0364207925,22.72462083,-0.0019045716852184014,-0.0027014504525773213
31,2.30000,10.865529176,7.192785699,23.229612404,-0.0016386763753829634,-0.002324319001565822
32,2.35000,11.101736332,7.3491506055,23.734603978,-0.0014134230609948494,-0.0020048838076160915
33,2.40000,11.337943488,7.505515512,24.239595552,-0.0012222598234800043,-0.0017338214306223028
34,2.45000,11.574150644,7.6618804185,24.744587126,-0.0010596977807772931,-0.001503329095633813
