Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.0252484875,2.1391737225,5.2398840825,-0.01240224757413799,-0.008129141972037913
1,0.80000,3.22693172,2.281785304,5.589209688,-0.011590001307578687,-0.007552849247026159
2,0.85000,3.4286149525,2.4243968855,5.9385352935,-0.010876187361530145,-0.0070402708044403775
3,0.90000,3.630298185,2.567008467,6.287860899,-0.010344671797534951,-0.006614670017828373
4,0.95000,3.8319814175,2.7096200485,6.6371865045,-0.010084302528809482,-0.006283208063625999
5,1.00000,4.03366465,2.85223163,6.98651211,-0.010254116667063141,-0.006060651771342684
6,1.05000,4.2353478825,2.9948432115,7.3358377155,-0.011129404809906646,-0.006042906927967137
7,1.10000,4.437031115,3.137454793,7.685163321,-0.012974299820691164,-0.006556475927682076
8,1.15000,4.6387143475,3.2800663745,8.0344889265,-0.015537166316173943,-0.008478522672995491
9,1.20000,4.84039758,3.422677956,8.383814532,-0.017845600836199748,-0.01679612352828732
10,1.25000,5.0420808125,3.5652895375,8.7331401375,-0.019102371157145737,-0.028182243158699372
11,1.30000,5.243764045,3.707901119,9.082465743,-0.019244273658586563,-0.03174233020410981
12,1.35000,5.4454472775,3.8505127005,9.4317913485,-0.01856923078015703,-0.03099228289223647
13,1.40000,5.64713051,3.993124282,9.781116954,-0.017382533888067542,-0.028837277906849618
14,1.45000,5.8488137425,4.1357358635,10.1304425595,-0.015909316244320935,-0.02619118967898391
15,1.50000,6.050496975,4.278347445,10.479768165,-0.014306136348468897,-0.023396776920893016
16,1.55000,6.2521802075,4.4209590265,10.8290937705,-0.01268215324492978,-0.020629943261003408
17,1.60000,6.45386344,4.563570608,11.178419376,-0.01111266354498988,-0.01799843803591801
18,1.65000,6.6555466725,4.7061821895,11.5277449815,-0.009646930270132966,-0.015569014497833093
19,1.70000,6.857229905,4.848793771,11.877070587,-0.008313608696338601,-0.013378002303625024
20,1.75000,7.0589131375,4.9914053525,12.2263961925,-0.00712541593542361,-0.011438451976169897
21,1.80000,7.26059637,5.134016934,12.575721798,-0.006083438941483875,-0.009746548045646581
22,1.85000,7.4622796025,5.2766285155,12.9250474035,-0.005180958392658697,-0.008287365443973665
23,1.90000,7.663962835,5.419240097,13.274373009,-0.004406598718246381,-0.00703963069478938
24,1.95000,7.8656460675,5.5618516785,13.6236986145,-0.003746720577087098,-0.00597931465591973
25,2.00000,8.0673293,5.70446326,13.97302422,-0.0031870938426165297,-0.005082105581949872
26,2.05000,8.2690125325,5.8470748415,14.3223498255,-0.0027139668030396547,-0.004324948170386465
27,2.10000,8.470695765,5.989686423,14.671675431,-0.0023146751826754373,-0.003686879823860746
28,2.15000,8.6723789975,6.1322980045,15.0210010365,-0.0019779278356774586,-0.0031493815665104142
29,2.20000,8.87406223,6.274909586,15.370326642,-0.0016938820345665595,-0.002696420098557659
30,2.25000,9.0757454625,6.4175211675,15.7196522475,-0.0014540928924633026,-0.0023143108684988128
31,2.30000,9.277428695,6.560132749,16.068977853,-0.0012513956281168604,-0.0019914907637938483
32,2.35000,9.4791119275,6.7027443305,16.4183034585,-0.0010797588547706216,-0.0017182569046606706
33,2.40000,9.68079516,6.845355912,16.767629064,-0.0009341321293062037,-0.0014865050684765787
34,2.45000,9.8824783925,6.9879674935,17.1169546695,-0.0008103008068356466,-0.001289485883374289
