Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.063902515,2.1675468675,2.61216576,-0.011125235420231132,-0.00938005257644481
1,0.80000,2.201496016,2.312049992,2.786310144,-0.011421278222914649,-0.009242714938707462
2,0.85000,2.339089517,2.4565531165,2.960454528,-0.011646085394311844,-0.009063849686132289
3,0.90000,2.476683018,2.601056241,3.134598912,-0.01185599085707487,-0.008847444058545597
4,0.95000,2.614276519,2.7455593655,3.308743296,-0.01241621660727084,-0.008655972498680215
5,1.00000,2.75187002,2.89006249,3.48288768,-0.014066816786100923,-0.008986214171860248
6,1.05000,2.889463521,3.0345656145,3.657032064,-0.017881753915932927,-0.010108041151302666
7,1.10000,3.027057022,3.179068739,3.831176448,-0.023795640958848247,-0.01151995026928344
8,1.15000,3.164650523,3.3235718635,4.005320832,-0.02913367234922022,-0.021906315775448333
9,1.20000,3.302244024,3.468074988,4.179465216,-0.03171738507020277,-0.0441633386925247
10,1.25000,3.439837525,3.6125781125,4.3536096,-0.03169889458510747,-0.05147769262201783
11,1.30000,3.577431026,3.757081237,4.527753984,-0.030010445393981608,-0.04958830153645618
12,1.35000,3.715024527,3.9015843615,4.701898368,-0.027419477382715156,-0.04511758753491418
13,1.40000,3.852618028,4.046087486,4.876042752,-0.024429927840957377,-0.0399597075543359
14,1.45000,3.990211529,4.1905906105,5.050187136,-0.02136168525387802,-0.03477635922376978
15,1.50000,4.12780503,4.335093735,5.22433152,-0.018414423105603893,-0.02987649564383564
16,1.55000,4.265398531,4.4795968595,5.398475904,-0.01570490023303967,-0.025419171117538344
17,1.60000,4.402992032,4.624099984,5.572620288,-0.013290825078040535,-0.02147507802582371
18,1.65000,4.540585533,4.7686031085,5.746764672,-0.011188894727168332,-0.018056583450541314
19,1.70000,4.678179034,4.913106233,5.920909056,-0.009389324828786915,-0.015138896951336942
20,1.75000,4.815772535,5.0576093575,6.09505344,-0.007867148990912693,-0.012676286237287946
21,1.80000,4.953366036,5.202112482,6.269197824,-0.006590356946829553,-0.010613842886777138
22,1.85000,5.090959537,5.3466156065,6.443342208,-0.005525246101161737,-0.008895257311592129
23,1.90000,5.228553038,5.491118731,6.617486592,-0.004639590042694321,-0.007467402944464317
24,1.95000,5.366146539,5.6356218555,6.791630976,-0.0039042637646698325,-0.0062826372049502276
25,2.00000,5.50374004,5.78012498,6.96577536,-0.0032938724335967113,-0.005299621575785762
26,2.05000,5.641333541,5.9246281045,7.139919744,-0.0027867921651746016,-0.00448327022339479
27,2.10000,5.778927042,6.069131229,7.314064128,-0.002364899874128988,-0.0038042438053584775
28,2.15000,5.916520543,6.2136343535,7.488208512,-0.0020131660171211945,-0.0032382503909129403
29,2.20000,6.054114044,6.358137478,7.662352896,-0.0017192114763502145,-0.002765305602771222
30,2.25000,6.191707545,6.5026406025,7.83649728,-0.0014728826447407669,-0.0023690323913065593
31,2.30000,6.329301046,6.647143727,8.010641664,-0.001265869964469869,-0.002036037066484922
32,2.35000,6.466894547,6.7916468515,8.184786048,-0.0010913786089293835,-0.0017553731259021866
33,2.40000,6.604488048,6.936149976,8.358930432,-0.0009438511259337752,-0.0015180910907576918
34,2.45000,6.742081549,7.0806531005,8.533074816,-0.0008187375813080466,-0.001316866255078078
