Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.34640562,2.36626611,5.7961445625,-0.012213054522691969,-0.007948380351677737
1,0.80000,3.569499328,2.524017184,6.1825542,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.792593036,2.681768258,6.5689638375,-0.01074268782028784,-0.006906802289882048
3,0.90000,4.015686744,2.839519332,6.955373475,-0.01016188351170699,-0.006481676518371919
4,0.95000,4.238780452,2.997270406,7.3417831125,-0.00978125274589386,-0.006140054520718127
5,1.00000,4.46187416,3.15502148,7.72819275,-0.009696452316971178,-0.005881245004410137
6,1.05000,4.684967868,3.312772554,8.1146023875,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.908061576,3.470523628,8.501012025,-0.011238620119787924,-0.005764756417701509
8,1.15000,5.131155284,3.628274702,8.8874216625,-0.013329157770912196,-0.006396484038875416
9,1.20000,5.354248992,3.786025776,9.2738313,-0.015913782557387905,-0.009122629666050059
10,1.25000,5.5773427,3.94377685,9.6602409375,-0.01800995795023469,-0.019077650050247433
11,1.30000,5.800436408,4.101527924,10.046650575,-0.01904018602606787,-0.029199418533587443
12,1.35000,6.023530116,4.259278998,10.4330602125,-0.019063304159880112,-0.031711377491653765
13,1.40000,6.246623824,4.417030072,10.81946985,-0.01836658896167649,-0.030794170071515487
14,1.45000,6.469717532,4.574781146,11.2058794875,-0.017214113139258965,-0.02871062586405529
15,1.50000,6.69281124,4.73253222,11.592289125,-0.015799446876966532,-0.02618557837312461
16,1.55000,6.915904948,4.890283294,11.9786987625,-0.014260139800905873,-0.0235106461941068
17,1.60000,7.138998656,5.048034368,12.3651084,-0.012695015552844267,-0.020844639641333394
18,1.65000,7.362092364,5.205785442,12.7515180375,-0.011174497092377243,-0.018289683046469656
19,1.70000,7.585186072,5.363536516,13.137927675,-0.009746320987005602,-0.015912329317837755
20,1.75000,7.80827978,5.52128759,13.5243373125,-0.008439542846017369,-0.013751554855309964
21,1.80000,8.031373488,5.679038664,13.91074695,-0.007268250759297143,-0.011824327454879878
22,1.85000,8.254467196,5.836789738,14.2971565875,-0.006235265653832667,-0.010131004014699175
23,1.90000,8.477560904,5.994540812,14.683566225,-0.005335613975797533,-0.008660503493892736
24,1.95000,8.700654612,6.152291886,15.0699758625,-0.004559498889931379,-0.007394799485961228
25,2.00000,8.92374832,6.31004296,15.4563855,-0.0038946192436178344,-0.006312444380553976
26,2.05000,9.146842028,6.467794034,15.8427951375,-0.003327828331089686,-0.005391083101173421
27,2.10000,9.369935736,6.625545108,16.229204775,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,9.593029444,6.783296182,16.6156144125,-0.0024377666635020997,-0.003946465564419419
29,2.20000,9.816123152,6.941047256,17.00202405,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,10.03921686,7.09879833,17.3884336875,-0.001798334668858177,-0.0029101618536397514
31,2.30000,10.262310568,7.256549404,17.774843325,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,10.485404276,7.414300478,18.1612529625,-0.001338460227412028,-0.0021655490125395372
33,2.40000,10.708497984,7.572051552,18.5476626,-0.0011589170365201762,-0.001874974609819086
34,2.45000,10.931591692,7.729802626,18.9340722375,-0.0010059721550935079,-0.0016274993689842513
