Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.762479005,1.953367635,4.7847539925,-0.01229814389247792,-0.00786226126484952
1,0.80000,2.946644272,2.083592144,5.103737592,-0.01164491691379044,-0.007383432867273129
2,0.85000,3.130809539,2.213816653,5.4227211915,-0.010945025614436074,-0.006909364041756922
3,0.90000,3.314974806,2.344041162,5.741704791,-0.010310168936384163,-0.006482336523641632
4,0.95000,3.499140073,2.474265671,6.0606883905,-0.009805042806786207,-0.0061275942809503395
5,1.00000,3.68330534,2.60449018,6.37967199,-0.009482590055048108,-0.005857154404689056
6,1.05000,3.867470607,2.734714689,6.6986555895,-0.009425611992674518,-0.005674827612460192
7,1.10000,4.051635874,2.864939198,7.017639189,-0.009791712316751494,-0.005565786510649401
8,1.15000,4.235801141,2.995163707,7.3366227885,-0.010825701220103547,-0.0055965111913535304
9,1.20000,4.419966408,3.125388216,7.655606388,-0.012695730738754806,-0.006107310387928633
10,1.25000,4.604131675,3.255612725,7.9745899875,-0.015067000408943087,-0.008241723031179494
11,1.30000,4.788296942,3.385837234,8.293573587,-0.01710159168814916,-0.016401854151232118
12,1.35000,4.972462209,3.516061743,8.6125571865,-0.01822139926844294,-0.02683214261453696
13,1.40000,5.156627476,3.646286252,8.931540786,-0.018407870317114997,-0.030370307870718934
14,1.45000,5.340792743,3.776510761,9.2505243855,-0.01789347423539566,-0.030020480978420472
15,1.50000,5.52495801,3.90673527,9.569507985,-0.0169176017184699,-0.0282956463057321
16,1.55000,5.709123277,4.036959779,9.8884915845,-0.01566315182173028,-0.02604404846519329
17,1.60000,5.893288544,4.167184288,10.207475184,-0.014262061910888302,-0.023590647810624747
18,1.65000,6.077453811,4.297408797,10.5264587835,-0.0128099884874978,-0.021101285817283603
19,1.70000,6.261619078,4.427633306,10.845442383,-0.011376297685845293,-0.01867972616144041
20,1.75000,6.445784345,4.557857815,11.1644259825,-0.010009707572537992,-0.016394984529558215
21,1.80000,6.629949612,4.688082324,11.483409582,-0.008741914946740606,-0.01429056062297815
22,1.85000,6.814114879,4.818306833,11.8023931815,-0.007590681452237636,-0.012389485756554528
23,1.90000,6.998280146,4.948531342,12.121376781,-0.006562874576497534,-0.01069875221440195
24,1.95000,7.182445413,5.078755851,12.4403603805,-0.005657414755374716,-0.009213638533950526
25,2.00000,7.36661068,5.20898036,12.75934398,-0.004867918343038116,-0.00792166461294462
26,2.05000,7.550775947,5.339204869,13.0783275795,-0.004184871167802381,-0.00680588245866463
27,2.10000,7.734941214,5.469429378,13.397311179,-0.0035972740897492013,-0.0058473767123497335
28,2.15000,7.919106481,5.599653887,13.7162947785,-0.0030937928973478624,-0.005027006683406367
29,2.20000,8.103271748,5.729878396,14.035278378,-0.002663496012240644,-0.004326512466517194
30,2.25000,8.287437015,5.860102905,14.3542619775,-0.0022962790853832157,-0.0037291374579215774
31,2.30000,8.471602282,5.990327414,14.673245577,-0.0019830688611582855,-0.0032199110679387143
32,2.35000,8.655767549,6.120551923,14.9922291765,-0.00171588183438336,-0.0027857095172217567
33,2.40000,8.839932816,6.250776432,15.311212776,-0.0014877942632613556,-0.002415182877092667
34,2.45000,9.024098083,6.381000941,15.6301963755,-0.0012928631637483241,-0.002098609869935571
