Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.1757875,2.988242445,1.87229475,-0.012213054522691969,-0.007948380351677737
1,0.80000,5.52084,3.187458608,1.9971144,-0.011456387903189116,-0.007405665102731961
2,0.85000,5.8658925,3.3866747709999996,2.12193405,-0.01074268782028784,-0.006906802289882048
3,0.90000,6.210945,3.585890934,2.2467536999999997,-0.01016188351170699,-0.006481676518371919
4,0.95000,6.5559975,3.785107097,2.3715733500000002,-0.00978125274589386,-0.006140054520718127
5,1.00000,6.90105,3.9843232600000005,2.4963930000000003,-0.009696452316971178,-0.005881245004410137
6,1.05000,7.2461025,4.183539423,2.6212126500000004,-0.010087755481643278,-0.00571993632534717
7,1.10000,7.5911550000000005,4.382755586,2.7460323000000004,-0.011238620119787924,-0.005764756417701509
8,1.15000,7.9362075,4.581971749,2.8708519499999996,-0.013329157770912196,-0.006396484038875416
9,1.20000,8.28126,4.781187912,2.9956716000000005,-0.015913782557387905,-0.009122629666050059
10,1.25000,8.626312500000001,4.980404075,3.1204912499999997,-0.01800995795023469,-0.019077650050247433
11,1.30000,8.971365,5.179620238,3.2453108999999998,-0.01904018602606787,-0.029199418533587443
12,1.35000,9.3164175,5.378836401,3.3701305500000003,-0.019063304159880112,-0.031711377491653765
13,1.40000,9.661470000000001,5.578052564,3.4949502,-0.01836658896167649,-0.030794170071515487
14,1.45000,10.0065225,5.777268726999999,3.6197698500000004,-0.017214113139258965,-0.02871062586405529
15,1.50000,10.351575,5.97648489,3.7445895,-0.015799446876966532,-0.02618557837312461
16,1.55000,10.6966275,6.175701052999999,3.8694091499999996,-0.014260139800905873,-0.0235106461941068
17,1.60000,11.04168,6.374917216,3.9942288,-0.012695015552844267,-0.020844639641333394
18,1.65000,11.3867325,6.574133379,4.119048449999999,-0.011174497092377243,-0.018289683046469656
19,1.70000,11.731785,6.773349541999999,4.2438681,-0.009746320987005602,-0.015912329317837755
20,1.75000,12.0768375,6.972565705000001,4.368687749999999,-0.008439542846017369,-0.013751554855309964
21,1.80000,12.42189,7.171781868,4.4935073999999995,-0.007268250759297143,-0.011824327454879878
22,1.85000,12.7669425,7.370998031,4.6183270499999995,-0.006235265653832667,-0.010131004014699175
23,1.90000,13.111995,7.570214194,4.7431467000000005,-0.005335613975797533,-0.008660503493892736
24,1.95000,13.457047500000002,7.769430356999999,4.8679663500000006,-0.004559498889931379,-0.007394799485961228
25,2.00000,13.8021,7.968646520000001,4.992786000000001,-0.0038946192436178344,-0.006312444380553976
26,2.05000,14.147152499999999,8.167862683000001,5.11760565,-0.003327828331089686,-0.005391083101173421
27,2.10000,14.492205,8.367078846,5.242425300000001,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,14.8372575,8.566295009,5.36724495,-0.0024377666635020997,-0.003946465564419419
29,2.20000,15.182310000000001,8.765511172,5.492064600000001,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,15.527362499999999,8.964727335000001,5.616884249999999,-0.001798334668858177,-0.0029101618536397514
31,2.30000,15.872415,9.163943498,5.741703899999999,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,16.217467499999998,9.363159661,5.86652355,-0.001338460227412028,-0.0021655490125395372
33,2.40000,16.56252,9.562375824,5.991343200000001,-0.0011589170365201762,-0.001874974609819086
34,2.45000,16.9075725,9.761591987000001,6.116162849999999,-0.0010059721550935079,-0.0016274993689842513
