Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,4.20211095,2.4260833125,1.7295829425,-0.012213054522691969,-0.007948380351677737
1,0.80000,4.48225168,2.5878221999999997,1.844888472,-0.011456387903189116,-0.007405665102731961
2,0.85000,4.76239241,2.7495610875,1.9601940015,-0.01074268782028784,-0.006906802289882048
3,0.90000,5.04253314,2.911299975,2.075499531,-0.01016188351170699,-0.006481676518371919
4,0.95000,5.322673870000001,3.0730388625,2.1908050605,-0.00978125274589386,-0.006140054520718127
5,1.00000,5.602814599999999,3.23477775,2.3061105900000003,-0.009696452316971178,-0.005881245004410137
6,1.05000,5.88295533,3.3965166375,2.4214161195,-0.010087755481643278,-0.00571993632534717
7,1.10000,6.16309606,3.558255525,2.5367216490000004,-0.011238620119787924,-0.005764756417701509
8,1.15000,6.44323679,3.7199944124999997,2.6520271785,-0.013329157770912196,-0.006396484038875416
9,1.20000,6.72337752,3.8817332999999996,2.7673327079999996,-0.015913782557387905,-0.009122629666050059
10,1.25000,7.00351825,4.0434721875,2.8826382375,-0.01800995795023469,-0.019077650050247433
11,1.30000,7.28365898,4.205211074999999,2.9979437669999998,-0.01904018602606787,-0.029199418533587443
12,1.35000,7.5637997100000005,4.3669499625,3.1132492964999994,-0.019063304159880112,-0.031711377491653765
13,1.40000,7.84394044,4.52868885,3.2285548260000003,-0.01836658896167649,-0.030794170071515487
14,1.45000,8.12408117,4.6904277375,3.3438603555000004,-0.017214113139258965,-0.02871062586405529
15,1.50000,8.4042219,4.852166625,3.459165885,-0.015799446876966532,-0.02618557837312461
16,1.55000,8.68436263,5.0139055125,3.5744714145,-0.014260139800905873,-0.0235106461941068
17,1.60000,8.96450336,5.1756443999999995,3.689776944,-0.012695015552844267,-0.020844639641333394
18,1.65000,9.24464409,5.3373832875,3.8050824734999997,-0.011174497092377243,-0.018289683046469656
19,1.70000,9.52478482,5.499122175,3.920388003,-0.009746320987005602,-0.015912329317837755
20,1.75000,9.80492555,5.6608610624999995,4.0356935325,-0.008439542846017369,-0.013751554855309964
21,1.80000,10.08506628,5.82259995,4.150999062,-0.007268250759297143,-0.011824327454879878
22,1.85000,10.365207009999999,5.984338837499999,4.266304591500001,-0.006235265653832667,-0.010131004014699175
23,1.90000,10.645347740000002,6.146077725,4.381610121,-0.005335613975797533,-0.008660503493892736
24,1.95000,10.92548847,6.3078166125,4.4969156505,-0.004559498889931379,-0.007394799485961228
25,2.00000,11.205629199999999,6.4695555,4.612221180000001,-0.0038946192436178344,-0.006312444380553976
26,2.05000,11.48576993,6.6312943875000006,4.727526709499999,-0.003327828331089686,-0.005391083101173421
27,2.10000,11.76591066,6.793033275,4.842832239,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,12.046051389999999,6.9547721625,4.958137768499999,-0.0024377666635020997,-0.003946465564419419
29,2.20000,12.32619212,7.11651105,5.073443298000001,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,12.60633285,7.278249937500001,5.1887488275,-0.001798334668858177,-0.0029101618536397514
31,2.30000,12.88647358,7.4399888249999995,5.304054357,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,13.16661431,7.601727712500001,5.419359886499999,-0.001338460227412028,-0.0021655490125395372
33,2.40000,13.44675504,7.763466599999999,5.534665415999999,-0.0011589170365201762,-0.001874974609819086
34,2.45000,13.72689577,7.9252054875,5.649970945500001,-0.0010059721550935079,-0.0016274993689842513
