Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.89938048,2.8934519175,2.36350674,-0.012213054522691969,-0.007948380351677737
1,0.80000,3.092672512,3.086348712,2.521073856,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.285964544,3.2792455064999997,2.678640972,-0.01074268782028784,-0.006906802289882048
3,0.90000,3.479256576,3.4721423010000003,2.8362080880000002,-0.01016188351170699,-0.006481676518371919
4,0.95000,3.672548608,3.6650390955,2.993775204,-0.00978125274589386,-0.006140054520718127
5,1.00000,3.8658406400000005,3.8579358900000003,3.1513423200000004,-0.009696452316971178,-0.005881245004410137
6,1.05000,4.059132672,4.0508326845,3.3089094360000004,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.252424704,4.243729479,3.4664765519999996,-0.011238620119787924,-0.005764756417701509
8,1.15000,4.445716736,4.4366262735,3.624043668,-0.013329157770912196,-0.006396484038875416
9,1.20000,4.639008768,4.629523067999999,3.7816107840000006,-0.015913782557387905,-0.009122629666050059
10,1.25000,4.8323008,4.8224198625,3.9391779,-0.01800995795023469,-0.019077650050247433
11,1.30000,5.025592832,5.0153166570000005,4.096745016,-0.01904018602606787,-0.029199418533587443
12,1.35000,5.218884864,5.2082134515,4.254312132000001,-0.019063304159880112,-0.031711377491653765
13,1.40000,5.412176896,5.401110246,4.411879248,-0.01836658896167649,-0.030794170071515487
14,1.45000,5.605468928,5.5940070405,4.569446364,-0.017214113139258965,-0.02871062586405529
15,1.50000,5.79876096,5.786903835,4.72701348,-0.015799446876966532,-0.02618557837312461
16,1.55000,5.992052992,5.9798006295,4.884580595999999,-0.014260139800905873,-0.0235106461941068
17,1.60000,6.185345024,6.172697424,5.042147712,-0.012695015552844267,-0.020844639641333394
18,1.65000,6.378637056,6.3655942185,5.199714828,-0.011174497092377243,-0.018289683046469656
19,1.70000,6.571929088,6.558491012999999,5.357281944,-0.009746320987005602,-0.015912329317837755
20,1.75000,6.7652211200000005,6.7513878075000004,5.5148490599999995,-0.008439542846017369,-0.013751554855309964
21,1.80000,6.958513152,6.944284602000001,5.6724161760000005,-0.007268250759297143,-0.011824327454879878
22,1.85000,7.1518051840000005,7.1371813965,5.8299832920000005,-0.006235265653832667,-0.010131004014699175
23,1.90000,7.345097216,7.330078191,5.987550408,-0.005335613975797533,-0.008660503493892736
24,1.95000,7.5383892480000005,7.5229749855,6.145117524000001,-0.004559498889931379,-0.007394799485961228
25,2.00000,7.731681280000001,7.7158717800000005,6.302684640000001,-0.0038946192436178344,-0.006312444380553976
26,2.05000,7.924973312,7.908768574500001,6.460251756,-0.003327828331089686,-0.005391083101173421
27,2.10000,8.118265344,8.101665369,6.617818872000001,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,8.311557376,8.2945621635,6.775385988,-0.0024377666635020997,-0.003946465564419419
29,2.20000,8.504849408,8.487458958,6.932953103999999,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,8.698141439999999,8.6803557525,7.09052022,-0.001798334668858177,-0.0029101618536397514
31,2.30000,8.891433472,8.873252547,7.248087336,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,9.084725504,9.066149341500001,7.405654451999999,-0.001338460227412028,-0.0021655490125395372
33,2.40000,9.278017536,9.259046135999998,7.563221568000001,-0.0011589170365201762,-0.001874974609819086
34,2.45000,9.471309567999999,9.4519429305,7.720788684,-0.0010059721550935079,-0.0016274993689842513
