Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.7614500450000001,6.078105397500001,7.2007094325,-0.22077581660984258,nan
1,0.80000,1.878880048,6.483312423999999,7.6807567279999995,-0.2035311712665599,-0.20210103504749521
2,0.85000,1.996310051,6.8885194505,8.160804023499999,-0.1870375513935832,-0.18634681443103335
3,0.90000,2.113740054,7.293726477,8.640851319000001,-0.17196208976021826,-0.17074411149769847
4,0.95000,2.231170057,7.6989335035,9.1208986145,-0.15900551555554854,-0.15677784534094408
5,1.00000,2.34860006,8.10414053,9.60094591,-0.14867536573095752,-0.14537836977244784
6,1.05000,2.4660300630000003,8.5093475565,10.0809932055,-0.14214127330905535,-0.13521017843162889
7,1.10000,2.5834600659999998,8.914554583000001,10.561040501,-0.1452060168084317,-0.12585339616902166
8,1.15000,2.7008900689999997,9.3197616095,11.0410877965,-0.16960082225529502,-0.1272346344343602
9,1.20000,2.8183200719999997,9.724968636,11.521135092,-0.21324672546531892,-0.1303184871315833
10,1.25000,2.9357500750000005,10.130175662500001,12.0011823875,-0.2588879496052211,-0.16922239404282072
11,1.30000,3.0531800779999996,10.535382689,12.481229683,-0.2856637794677789,-0.2773028313679784
12,1.35000,3.1706100810000004,10.9405897155,12.961276978499999,-0.2885060913928286,-0.38814019674723826
13,1.40000,3.2880400839999995,11.345796742000001,13.441324274,-0.27468668602693513,-0.41201145662559596
14,1.45000,3.4054700870000003,11.7510037685,13.9213715695,-0.2520500728472318,-0.38450895782919553
15,1.50000,3.5229000900000003,12.156210795000002,14.401418865,-0.22576191683557026,-0.34345131614373825
16,1.55000,3.6403300929999998,12.5614178215,14.8814661605,-0.19884670066967022,-0.3007574741704649
17,1.60000,3.757760096,12.966624847999999,15.361513455999999,-0.17301399360938377,-0.26028268965972523
18,1.65000,3.8751900989999997,13.3718318745,15.8415607515,-0.14918386062534983,-0.22344923613717013
19,1.70000,3.992620102,13.777038901,16.321608046999998,-0.1277882711245348,-0.1907399523948583
20,1.75000,4.110050104999999,14.1822459275,16.801655342500002,-0.10895167482415394,-0.1621833996065205
21,1.80000,4.227480108,14.587452954,17.281702638000002,-0.09260783819108344,-0.13756315419937593
22,1.85000,4.344910111000001,14.9926599805,17.7617499335,-0.07857954615826966,-0.11653349052827519
23,1.90000,4.462340114,15.397867007,18.241797229,-0.06663349812120216,-0.09869214005946708
24,1.95000,4.579770117000001,15.8030740335,18.7218445245,-0.056517071565975484,-0.08362700395090435
25,2.00000,4.69720012,16.20828106,19.20189182,-0.04798156010918876,-0.07094471372329307
26,2.05000,4.814630123000001,16.6134880865,19.6819391155,-0.04079558316311749,-0.06028630753907658
27,2.10000,4.9320601260000005,17.018695113,20.161986411,-0.03475169409541432,-0.051334107222901645
28,2.15000,5.0494901290000005,17.4239021395,20.6420337065,-0.029668559987878415,-0.04381295797069884
29,2.20000,5.1669201319999996,17.829109166000002,21.122081002,-0.02539046483029589,-0.03748815257219901
30,2.25000,5.2843501349999995,18.2343161925,21.602128297500002,-0.021785352567896363,-0.03216164111012672
31,2.30000,5.4017801379999995,18.639523219,22.082175593,-0.018742205309106356,-0.02766756064383171
32,2.35000,5.519210140999999,19.044730245500002,22.5622228885,-0.016168244747391335,-0.023867707466130615
33,2.40000,5.636640143999999,19.449937272,23.042270184,-0.013986234192753015,-0.020647293963488668
34,2.45000,5.754070147,19.8551442985,23.5223174795,-0.012132021880350168,-0.017911151906686434
