Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,6.2508023774999995,3.8749097325,6.6866995125,-0.40111054463465146,nan
1,0.80000,6.667522536,4.133237048,7.132479480000001,-0.3632977907129348,nan
2,0.85000,7.0842426945,4.3915643635,7.578259447500001,-0.32826699557332983,nan
3,0.90000,7.500962853,4.649891679,8.024039415,-0.29665598434899454,nan
4,0.95000,7.917683011499999,4.9082189945,8.469819382499999,-0.2688474132949318,-0.2672972152880225
5,1.00000,8.33440317,5.16654631,8.915599349999999,-0.2450728336222958,-0.2424809456921328
6,1.05000,8.7511233285,5.4248736255,9.3613793175,-0.22599994805601026,-0.22090474317186126
7,1.10000,9.167843486999999,5.683200941,9.807159285000001,-0.2143750323063156,-0.20202311150233285
8,1.15000,9.5845636455,5.9415282565,10.2529392525,-0.21855003893758856,-0.18523640637087058
9,1.20000,10.001283804,6.199855572,10.698719220000001,-0.2513056663719018,-0.17105620116138642
10,1.25000,10.4180039625,6.4581828875,11.1444991875,-0.308559215561625,-0.17883996929775858
11,1.30000,10.834724121,6.716510203,11.590279155000001,-0.35876631793004554,-0.2728901636143006
12,1.35000,11.2514442795,6.9748375185,12.0360591225,-0.379205602990213,-0.43658277648562427
13,1.40000,11.668164438,7.233164834,12.481839090000001,-0.3722885137868689,-0.5356644602178772
14,1.45000,12.0848845965,7.4914921495,12.9276190575,-0.3486970880451968,-0.5298060069494044
15,1.50000,12.501604754999999,7.749819465,13.373399025,-0.3169369917919533,-0.4841236141170482
16,1.55000,12.918324913500001,8.0081467805,13.8191789925,-0.28226712739581555,-0.42924360051678906
17,1.60000,13.335045072,8.266474096,14.264958960000001,-0.24775561262862209,-0.37471191661318576
18,1.65000,13.751765230500002,8.5248014115,14.7107389275,-0.21514331642294202,-0.32387538972479135
19,1.70000,14.168485389,8.783128727,15.156518895000001,-0.18535139901587283,-0.2780047830314443
20,1.75000,14.585205547500001,9.0414560425,15.6022988625,-0.1587781393215496,-0.23747670337470295
21,1.80000,15.001925706,9.299783358,16.04807883,-0.13548719970635567,-0.20220430541429568
22,1.85000,15.4186458645,9.5581106735,16.4938587975,-0.11533619515778346,-0.1718461072812538
23,1.90000,15.835366022999999,9.816437989,16.939638764999998,-0.09806690684719643,-0.14593051326609985
24,1.95000,16.2520861815,10.0747653045,17.3854187325,-0.08336750546883637,-0.12393615685492351
25,2.00000,16.66880634,10.33309262,17.831198699999998,-0.07091346845408096,-0.10534304801351567
26,2.05000,17.085526498500002,10.5914199355,18.2769786675,-0.06039259200479404,-0.08966289753249267
27,2.10000,17.502246657,10.849747251,18.722758635,-0.05151867799852205,-0.07645481854551625
28,2.15000,17.9189668155,11.1080745665,19.1685386025,-0.044037613206465584,-0.06533128405948456
29,2.20000,18.335686973999998,11.366401882,19.614318570000002,-0.03772866562953292,-0.05595803651802694
30,2.25000,18.7524071325,11.6247291975,20.0600985375,-0.032403009628231914,-0.04805058365339391
31,2.30000,19.169127291,11.883056513,20.505878505,-0.02790082865534822,-0.041369043369353334
32,2.35000,19.5858474495,12.1413838285,20.9516584725,-0.024087848243380238,-0.03571244368707529
33,2.40000,20.002567608,12.399711144,21.397438440000002,-0.0208518044975581,-0.030913122572299397
34,2.45000,20.419287766500002,12.6580384595,21.843218407499997,-0.018099123201053627,-0.026831567251051985
