Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.777315875,2.6947689225,7.31008275,-0.012213054522691969,-0.007948380351677737
1,0.80000,1.8958036,2.874420184,7.7974216,-0.011456387903189116,-0.007405665102731961
2,0.85000,2.014291325,3.0540714455,8.28476045,-0.01074268782028784,-0.006906802289882048
3,0.90000,2.13277905,3.233722707,8.7720993,-0.01016188351170699,-0.006481676518371919
4,0.95000,2.2512667750000004,3.4133739685,9.25943815,-0.00978125274589386,-0.006140054520718127
5,1.00000,2.3697545,3.59302523,9.746777,-0.009696452316971178,-0.005881245004410137
6,1.05000,2.488242225,3.7726764915,10.23411585,-0.010087755481643278,-0.00571993632534717
7,1.10000,2.60672995,3.952327753,10.7214547,-0.011238620119787924,-0.005764756417701509
8,1.15000,2.725217675,4.1319790145,11.20879355,-0.013329157770912196,-0.006396484038875416
9,1.20000,2.8437054,4.311630276,11.6961324,-0.015913782557387905,-0.009122629666050059
10,1.25000,2.9621931249999998,4.4912815375,12.18347125,-0.01800995795023469,-0.019077650050247433
11,1.30000,3.08068085,4.670932799,12.6708101,-0.01904018602606787,-0.029199418533587443
12,1.35000,3.199168575,4.8505840605,13.15814895,-0.019063304159880112,-0.031711377491653765
13,1.40000,3.3176563,5.030235322,13.6454878,-0.01836658896167649,-0.030794170071515487
14,1.45000,3.436144025,5.2098865835,14.13282665,-0.017214113139258965,-0.02871062586405529
15,1.50000,3.55463175,5.389537845,14.6201655,-0.015799446876966532,-0.02618557837312461
16,1.55000,3.673119475,5.5691891065,15.10750435,-0.014260139800905873,-0.0235106461941068
17,1.60000,3.7916072,5.748840368,15.5948432,-0.012695015552844267,-0.020844639641333394
18,1.65000,3.910094925,5.9284916295,16.08218205,-0.011174497092377243,-0.018289683046469656
19,1.70000,4.02858265,6.108142891,16.5695209,-0.009746320987005602,-0.015912329317837755
20,1.75000,4.147070375,6.2877941525,17.05685975,-0.008439542846017369,-0.013751554855309964
21,1.80000,4.2655581,6.467445414,17.5441986,-0.007268250759297143,-0.011824327454879878
22,1.85000,4.384045825,6.6470966755,18.03153745,-0.006235265653832667,-0.010131004014699175
23,1.90000,4.502533550000001,6.826747937,18.5188763,-0.005335613975797533,-0.008660503493892736
24,1.95000,4.6210212749999995,7.0063991985,19.00621515,-0.004559498889931379,-0.007394799485961228
25,2.00000,4.739509,7.18605046,19.493554,-0.0038946192436178344,-0.006312444380553976
26,2.05000,4.857996725,7.3657017215,19.98089285,-0.003327828331089686,-0.005391083101173421
27,2.10000,4.97648445,7.545352983,20.4682317,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,5.094972175,7.7250042445,20.95557055,-0.0024377666635020997,-0.003946465564419419
29,2.20000,5.2134599,7.904655506,21.4429094,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,5.331947625,8.0843067675,21.93024825,-0.001798334668858177,-0.0029101618536397514
31,2.30000,5.45043535,8.263958029,22.4175871,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,5.568923075,8.4436092905,22.90492595,-0.001338460227412028,-0.0021655490125395372
33,2.40000,5.6874108,8.623260552,23.3922648,-0.0011589170365201762,-0.001874974609819086
34,2.45000,5.805898525000001,8.8029118135,23.87960365,-0.0010059721550935079,-0.0016274993689842513
