Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,4.26700392,3.01722741,7.390667587499999,-0.07807801850370716,-0.07716767009530176
1,0.80000,4.551470848,3.218375904,7.88337876,-0.07393102735386045,-0.07279358293122287
2,0.85000,4.835937776,3.4195243980000005,8.3760899325,-0.07017544049001598,-0.06850794013619653
3,0.90000,5.120404704,3.620672892,8.868801105,-0.06766397083087312,-0.06437888448519977
4,0.95000,5.404871632,3.821821386,9.3615122775,-0.068394097440368,-0.06053707663582247
5,1.00000,5.6893385599999995,4.02296988,9.85422345,-0.07540313971083974,-0.059463036530150504
6,1.05000,5.973805488,4.224118374,10.346934622500001,-0.09084606261258898,-0.07868968715410134
7,1.10000,6.2582724160000005,4.425266868,10.839645795,-0.11099417623469196,-0.09195687810664069
8,1.15000,6.542739344,4.626415362,11.3323569675,-0.12858536794988423,-0.11508836271643373
9,1.20000,6.827206272,4.827563856,11.825068139999999,-0.1383336013940565,-0.13949058869611639
10,1.25000,7.1116732,5.028712349999999,12.3177793125,-0.1400225799144688,-0.1659657297018815
11,1.30000,7.396140128,5.229860844,12.810490484999999,-0.13478189744769267,-0.16417412504598317
12,1.35000,7.6806070559999995,5.431009338,13.3032016575,-0.1257149608986627,-0.15311809447107064
13,1.40000,7.965073984,5.632157832000001,13.79591283,-0.11505315329356552,-0.13935292067993216
14,1.45000,8.249540911999999,5.833306326,14.288624002499999,-0.10395441814356508,-0.1248171216871159
15,1.50000,8.53400784,6.03445482,14.781335174999999,-0.09300338214489948,-0.11074689738412324
16,1.55000,8.818474768000002,6.2356033140000005,15.2740463475,-0.08250695317244335,-0.09756218745837765
17,1.60000,9.102941696,6.436751808,15.76675752,-0.07264186797386141,-0.08540711118615239
18,1.65000,9.387408624,6.637900302,16.2594686925,-0.0635184597318882,-0.07433753538255475
19,1.70000,9.671875552,6.839048796000001,16.752179865,-0.05520401471078529,-0.06437020586442185
20,1.75000,9.95634248,7.04019729,17.2448910375,-0.04772999320440698,-0.05549367585387946
21,1.80000,10.240809408,7.241345784,17.73760221,-0.041095391603063254,-0.04767077154812138
22,1.85000,10.525276336000001,7.442494278000001,18.2303133825,-0.035271194857687226,-0.040841591835670696
23,1.90000,10.809743264,7.643642772,18.723024555,-0.030206735485048188,-0.03492874741801473
24,1.95000,11.094210192,7.844791266,19.2157357275,-0.02583698613029268,-0.029843934640084217
25,2.00000,11.378677119999999,8.04593976,19.7084469,-0.022089513851318812,-0.02549444478556486
26,2.05000,11.663144048,8.247088254,20.2011580725,-0.018890217230508377,-0.02178859722649094
27,2.10000,11.947610976,8.448236748,20.693869245000002,-0.016167498216500827,-0.01863966078157591
28,2.15000,12.232077903999999,8.649385242000001,21.1865804175,-0.01385492290272667,-0.0159682749087348
29,2.20000,12.516544832000001,8.850533736,21.67929159,-0.011892639026926671,-0.013703625897494777
30,2.25000,12.801011760000002,9.05168223,22.1720027625,-0.010227881396024239,-0.011783711764474215
31,2.30000,13.085478688,9.252830724,22.664713935,-0.008814871840023199,-0.010155010008714972
32,2.35000,13.369945615999999,9.453979217999999,23.157425107499996,-0.007614358489578371,-0.008771800312802653
33,2.40000,13.654412544,9.655127712,23.650136279999998,-0.006592971337237498,-0.007595324120519063
34,2.45000,13.938879471999998,9.856276206,24.1428474525,-0.0057225121224020094,-0.00659290150313706
