Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,6.757014089999999,6.6036371175,4.2598166775,-0.263110070054728,nan
1,0.80000,7.207481695999999,7.043879592000001,4.543804456,-0.23734085687513928,nan
2,0.85000,7.6579493020000005,7.4841220664999994,4.8277922345,-0.21356016496155156,-0.21090396370810427
3,0.90000,8.108416908,7.924364541,5.111780013,-0.19382627934463148,-0.1878066214045521
4,0.95000,8.558884513999999,8.3646070155,5.3957677915,-0.18139015137112574,-0.1678724974919313
5,1.00000,9.009352119999999,8.804849489999999,5.67975557,-0.18240024654121623,-0.1524238213091191
6,1.05000,9.459819726,9.2450919645,5.9637433485,-0.2013393058284525,-0.15415904320824747
7,1.10000,9.910287332,9.685334439,6.247731127,-0.23434439702363938,-0.18080037963407597
8,1.15000,10.360754938,10.1255769135,6.5317189055,-0.2754382268087628,-0.25538966212147923
9,1.20000,10.811222544,10.565819388,6.815706684,-0.3147251924289164,-0.30778117569619606
10,1.25000,11.26169015,11.006061862500001,7.0996944625,-0.33120677124765097,-0.3704607712416954
11,1.30000,11.712157756,11.446304337,7.383682241,-0.32247433142532245,-0.42016388415735334
12,1.35000,12.162625362,11.886546811499999,7.6676700195,-0.29942164310909286,-0.4107747016769369
13,1.40000,12.613092968,12.326789286,7.951657798,-0.2704457754050284,-0.37188753628169335
14,1.45000,13.063560573999998,12.7670317605,8.2356455765,-0.24007400910573384,-0.32734785089044016
15,1.50000,13.514028179999999,13.207274235,8.519633355,-0.21056690853674978,-0.28446834336981575
16,1.55000,13.964495785999999,13.6475167095,8.8036211335,-0.18303042410891346,-0.24525768198382775
17,1.60000,14.414963391999999,14.087759184000001,9.087608912,-0.15797889082010583,-0.21024029881362963
18,1.65000,14.865430997999999,14.528001658500001,9.3715966905,-0.13560267697579606,-0.17943483018073977
19,1.70000,15.315898604000001,14.968244132999999,9.655584469,-0.1159005099549548,-0.1526420379283125
20,1.75000,15.766366210000001,15.4084866075,9.9395722475,-0.09875259450636684,-0.12955339629826085
21,1.80000,16.216833816,15.848729082,10.223560026,-0.08396727321764944,-0.10980592246036139
22,1.85000,16.667301421999998,16.2889715565,10.5075478045,-0.07131411795170753,-0.09301699625568297
23,1.90000,17.117769027999998,16.729214031,10.791535583,-0.06054812812587468,-0.07880852493679219
24,1.95000,17.568236633999998,17.169456505499998,11.0755233615,-0.051426876896414696,-0.06682329075501503
25,2.00000,18.018704239999998,17.609698979999997,11.35951114,-0.04372177788101495,-0.05673491230623358
26,2.05000,18.469171846,18.0499414545,11.6434989185,-0.03722462169901294,-0.04825273618486101
27,2.10000,18.919639452,18.490183929,11.927486697,-0.03175055305072805,-0.04112299689701128
28,2.15000,19.370107058,18.9304264035,12.2114744755,-0.027138570960484616,-0.035127476436722295
29,2.20000,19.820574664,19.370668878,12.495462254,-0.02325045519475545,-0.030080677422932914
30,2.25000,20.27104227,19.810911352500003,12.7794500325,-0.019968807703441907,-0.02582626756174236
31,2.30000,20.721509876,20.251153827,13.063437811,-0.017194694726620025,-0.022233314263698067
32,2.35000,21.171977482,20.6913963015,13.3474255895,-0.014845206736853972,-0.019192633943412613
33,2.40000,21.622445088,21.131638776,13.631413368,-0.012851126223475399,-0.016613437041985007
34,2.45000,22.072912694,21.5718812505,13.9154011465,-0.011154804169800265,-0.014420351800152557
