Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.0541884525,2.56468248,3.06314511,-0.012213054522691969,-0.007948380351677737
1,0.80000,3.257801016,2.735661312,3.267354784,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.4614135795000003,2.906640144,3.471564458,-0.01074268782028784,-0.006906802289882048
3,0.90000,3.665026143,3.077618976,3.675774132,-0.01016188351170699,-0.006481676518371919
4,0.95000,3.8686387064999996,3.248597808,3.8799838060000003,-0.00978125274589386,-0.006140054520718127
5,1.00000,4.07225127,3.41957664,4.08419348,-0.009696452316971178,-0.005881245004410137
6,1.05000,4.2758638335,3.590555472,4.288403154,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.479476397,3.761534304,4.492612828,-0.011238620119787924,-0.005764756417701509
8,1.15000,4.6830889605,3.932513136,4.696822502,-0.013329157770912196,-0.006396484038875416
9,1.20000,4.886701524,4.103491968,4.901032176,-0.015913782557387905,-0.009122629666050059
10,1.25000,5.0903140874999995,4.2744708,5.1052418500000005,-0.01800995795023469,-0.019077650050247433
11,1.30000,5.2939266510000005,4.445449632,5.309451524,-0.01904018602606787,-0.029199418533587443
12,1.35000,5.4975392145,4.616428464,5.513661197999999,-0.019063304159880112,-0.031711377491653765
13,1.40000,5.701151778,4.787407296,5.717870872,-0.01836658896167649,-0.030794170071515487
14,1.45000,5.9047643415,4.958386128,5.922080546,-0.017214113139258965,-0.02871062586405529
15,1.50000,6.108376905,5.12936496,6.12629022,-0.015799446876966532,-0.02618557837312461
16,1.55000,6.3119894685,5.300343792,6.330499894,-0.014260139800905873,-0.0235106461941068
17,1.60000,6.515602032,5.471322624,6.534709568,-0.012695015552844267,-0.020844639641333394
18,1.65000,6.7192145955,5.642301456,6.738919242,-0.011174497092377243,-0.018289683046469656
19,1.70000,6.922827159000001,5.813280288,6.943128916,-0.009746320987005602,-0.015912329317837755
20,1.75000,7.1264397225,5.98425912,7.14733859,-0.008439542846017369,-0.013751554855309964
21,1.80000,7.330052286,6.155237952,7.351548264,-0.007268250759297143,-0.011824327454879878
22,1.85000,7.533664849500001,6.326216784,7.555757938,-0.006235265653832667,-0.010131004014699175
23,1.90000,7.737277412999999,6.497195616,7.7599676120000005,-0.005335613975797533,-0.008660503493892736
24,1.95000,7.940889976499999,6.668174448,7.964177286,-0.004559498889931379,-0.007394799485961228
25,2.00000,8.14450254,6.83915328,8.16838696,-0.0038946192436178344,-0.006312444380553976
26,2.05000,8.3481151035,7.010132112,8.372596634,-0.003327828331089686,-0.005391083101173421
27,2.10000,8.551727667,7.181110944,8.576806308,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,8.7553402305,7.352089776,8.781015982,-0.0024377666635020997,-0.003946465564419419
29,2.20000,8.958952794,7.523068608,8.985225656,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,9.1625653575,7.69404744,9.18943533,-0.001798334668858177,-0.0029101618536397514
31,2.30000,9.366177921,7.865026272,9.393645004,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,9.5697904845,8.036005104,9.597854678000001,-0.001338460227412028,-0.0021655490125395372
33,2.40000,9.773403048,8.206983936,9.802064352,-0.0011589170365201762,-0.001874974609819086
34,2.45000,9.9770156115,8.377962768,10.006274026,-0.0010059721550935079,-0.0016274993689842513
