Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.0410712749999997,1.5525094125,3.7842958275000003,-0.012213054522691969,-0.007948380351677737
1,0.80000,3.24380936,1.65601004,4.036582216,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.4465474449999998,1.7595106675,4.2888686045,-0.01074268782028784,-0.006906802289882048
3,0.90000,3.64928553,1.863011295,4.541154993,-0.01016188351170699,-0.006481676518371919
4,0.95000,3.8520236150000002,1.9665119225,4.793441381499999,-0.00978125274589386,-0.006140054520718127
5,1.00000,4.0547617,2.07001255,5.04572777,-0.009696452316971178,-0.005881245004410137
6,1.05000,4.257499785,2.1735131775,5.2980141585,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.46023787,2.277013805,5.550300547000001,-0.011238620119787924,-0.005764756417701509
8,1.15000,4.662975955,2.3805144325,5.8025869355,-0.013329157770912196,-0.006396484038875416
9,1.20000,4.865714039999999,2.48401506,6.054873324,-0.015913782557387905,-0.009122629666050059
10,1.25000,5.068452125,2.5875156875,6.307159712500001,-0.01800995795023469,-0.019077650050247433
11,1.30000,5.27119021,2.691016315,6.559446101,-0.01904018602606787,-0.029199418533587443
12,1.35000,5.473928295,2.7945169425,6.8117324895,-0.019063304159880112,-0.031711377491653765
13,1.40000,5.67666638,2.89801757,7.064018878000001,-0.01836658896167649,-0.030794170071515487
14,1.45000,5.8794044649999995,3.0015181975,7.3163052665,-0.017214113139258965,-0.02871062586405529
15,1.50000,6.0821425499999995,3.105018825,7.5685916550000005,-0.015799446876966532,-0.02618557837312461
16,1.55000,6.284880635,3.2085194525,7.8208780435000005,-0.014260139800905873,-0.0235106461941068
17,1.60000,6.48761872,3.31202008,8.073164432,-0.012695015552844267,-0.020844639641333394
18,1.65000,6.690356805,3.4155207075,8.3254508205,-0.011174497092377243,-0.018289683046469656
19,1.70000,6.8930948899999995,3.519021335,8.577737209,-0.009746320987005602,-0.015912329317837755
20,1.75000,7.0958329749999995,3.6225219625,8.830023597499999,-0.008439542846017369,-0.013751554855309964
21,1.80000,7.29857106,3.72602259,9.082309986,-0.007268250759297143,-0.011824327454879878
22,1.85000,7.5013091450000005,3.8295232175,9.3345963745,-0.006235265653832667,-0.010131004014699175
23,1.90000,7.7040472300000005,3.933023845,9.586882762999998,-0.005335613975797533,-0.008660503493892736
24,1.95000,7.906785315,4.0365244725,9.8391691515,-0.004559498889931379,-0.007394799485961228
25,2.00000,8.1095234,4.1400251,10.09145554,-0.0038946192436178344,-0.006312444380553976
26,2.05000,8.312261485,4.2435257275,10.343741928499998,-0.003327828331089686,-0.005391083101173421
27,2.10000,8.51499957,4.347026355,10.596028317,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,8.717737655,4.4505269825,10.8483147055,-0.0024377666635020997,-0.003946465564419419
29,2.20000,8.92047574,4.55402761,11.100601094000002,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,9.123213825,4.6575282375,11.3528874825,-0.001798334668858177,-0.0029101618536397514
31,2.30000,9.32595191,4.761028865,11.605173871,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,9.528689994999999,4.8645294925,11.857460259500002,-0.001338460227412028,-0.0021655490125395372
33,2.40000,9.731428079999999,4.96803012,12.109746648,-0.0011589170365201762,-0.001874974609819086
34,2.45000,9.934166164999999,5.0715307475,12.3620330365,-0.0010059721550935079,-0.0016274993689842513
