Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.0625e-06,1.792617015,3.1186430550000006,-0.012361791884913872,-0.011693890143960873
1,0.80000,2.2e-06,1.912124816,3.3265525920000005,-0.012534880648251048,-0.01131836156764722
2,0.85000,2.3375e-06,2.031632617,3.5344621290000005,-0.01266495901449171,-0.010842060321612024
3,0.90000,2.475e-06,2.151140418,3.742371666,-0.01244027913959328,-0.010286059232072643
4,0.95000,2.6125e-06,2.270648219,3.950281203,-0.01187765940073483,-0.009667338108552954
5,1.00000,2.75e-06,2.39015602,4.15819074,-0.011158427458429456,-0.00902015660580617
6,1.05000,2.8875e-06,2.509663821,4.366100276999999,-0.010458352361134154,-0.008399413575805708
7,1.10000,3.025e-06,2.629171622,4.574009814,-0.00992498864799334,-0.007874125934736088
8,1.15000,3.1625e-06,2.748679423,4.781919350999999,-0.00969376613960874,-0.007575880203375997
9,1.20000,3.3e-06,2.868187224,4.989828888,-0.009879498378154416,-0.0078053941700905955
10,1.25000,3.4375e-06,2.987695025,5.197738424999999,-0.010445721824696311,-0.008768905028868769
11,1.30000,3.575e-06,3.107202826,5.405647962,-0.011019247506503533,-0.010797961507213502
12,1.35000,3.7125e-06,3.226710627,5.613557498999999,-0.011190418388803906,-0.013040447329559026
13,1.40000,3.85e-06,3.346218428,5.821467036,-0.010910746633746391,-0.013299839596025565
14,1.45000,3.9875e-06,3.465726229,6.029376572999999,-0.010325485622530776,-0.012550707231142265
15,1.50000,4.125e-06,3.58523403,6.237286110000001,-0.009569341090700723,-0.01151742068591911
16,1.55000,4.2625e-06,3.704741831,6.445195647,-0.008729771998213069,-0.01041632799663075
17,1.60000,4.4e-06,3.824249632,6.653105184000001,-0.007862311998962057,-0.009320223753601784
18,1.65000,4.5375e-06,3.943757433,6.861014721000001,-0.0070045151033156635,-0.008263904064586252
19,1.70000,4.675e-06,4.063265234,7.068924258000001,-0.006182815054423074,-0.007269219860493833
20,1.75000,4.8125e-06,4.182773035,7.276833795000001,-0.005415374376512211,-0.0063507839285763335
21,1.80000,4.95e-06,4.302280836,7.484743332,-0.004713453375114599,-0.005517263651091568
22,1.85000,5.0875e-06,4.421788637,7.692652869,-0.004082504498095712,-0.004772051623467891
23,1.90000,5.225e-06,4.541296438,7.900562406,-0.0035233543145404824,-0.004114157639118881
24,1.95000,5.3625e-06,4.660804239,8.108471943,-0.0030334461012671617,-0.0035393185271902277
25,2.00000,5.5e-06,4.78031204,8.31638148,-0.0026080075789875904,-0.0030411319763128395
26,2.05000,5.6375e-06,4.899819841,8.524291017,-0.002241033069633205,-0.0026120502452272407
27,2.10000,5.775e-06,5.019327642,8.732200553999999,-0.0019260317517417894,-0.0022441521967362953
28,2.15000,5.9125e-06,5.138835443,8.940110091,-0.0016565470153976731,-0.0019296824429706136
29,2.20000,6.05e-06,5.258343244,9.148019628,-0.0014264824889640485,-0.0016613876940048144
30,2.25000,6.1875e-06,5.377851045,9.355929165,-0.0012302808125047064,-0.001432696426870537
31,2.30000,6.325e-06,5.497358846,9.563838701999998,-0.0010629991974501775,-0.001237788143097826
32,2.35000,6.4625e-06,5.616866647,9.771748238999999,-0.0009203180220628126,-0.0010715910942222999
33,2.40000,6.6e-06,5.736374448,9.979657776,-0.000798509574163209,-0.000929737838312136
34,2.45000,6.7375e-06,5.855882249,10.187567312999999,-0.0006943858116398095,-0.0008084991444809509
