Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,6.1978227525,4.3825224975,10.734943905,-0.012213054522691969,-0.007948380351677737
1,0.80000,6.611010936,4.674690664,11.450606832,-0.011456387903189116,-0.007405665102731961
2,0.85000,7.0241991195,4.9668588305,12.166269759,-0.01074268782028784,-0.006906802289882048
3,0.90000,7.437387303,5.259026997,12.881932686,-0.01016188351170699,-0.006481676518371919
4,0.95000,7.8505754865,5.5511951635,13.597595613,-0.00978125274589386,-0.006140054520718127
5,1.00000,8.26376367,5.84336333,14.31325854,-0.009696452316971178,-0.005881245004410137
6,1.05000,8.6769518535,6.1355314965,15.028921467,-0.010087755481643278,-0.00571993632534717
7,1.10000,9.090140037,6.427699663,15.744584394,-0.011238620119787924,-0.005764756417701509
8,1.15000,9.5033282205,6.7198678295,16.460247321,-0.013329157770912196,-0.006396484038875416
9,1.20000,9.916516404,7.012035996,17.175910248,-0.015913782557387905,-0.009122629666050059
10,1.25000,10.3297045875,7.3042041625,17.891573175,-0.01800995795023469,-0.019077650050247433
11,1.30000,10.742892771,7.596372329,18.607236102,-0.01904018602606787,-0.029199418533587443
12,1.35000,11.1560809545,7.8885404955,19.322899029,-0.019063304159880112,-0.031711377491653765
13,1.40000,11.569269138,8.180708662,20.038561956,-0.01836658896167649,-0.030794170071515487
14,1.45000,11.9824573215,8.4728768285,20.754224883,-0.017214113139258965,-0.02871062586405529
15,1.50000,12.395645505,8.765044995,21.46988781,-0.015799446876966532,-0.02618557837312461
16,1.55000,12.8088336885,9.0572131615,22.185550737,-0.014260139800905873,-0.0235106461941068
17,1.60000,13.222021872,9.349381328,22.901213664,-0.012695015552844267,-0.020844639641333394
18,1.65000,13.6352100555,9.6415494945,23.616876591,-0.011174497092377243,-0.018289683046469656
19,1.70000,14.048398239,9.933717661,24.332539518,-0.009746320987005602,-0.015912329317837755
20,1.75000,14.4615864225,10.2258858275,25.048202445,-0.008439542846017369,-0.013751554855309964
21,1.80000,14.874774606,10.518053994,25.763865372,-0.007268250759297143,-0.011824327454879878
22,1.85000,15.2879627895,10.8102221605,26.479528299,-0.006235265653832667,-0.010131004014699175
23,1.90000,15.701150973,11.102390327,27.195191226,-0.005335613975797533,-0.008660503493892736
24,1.95000,16.1143391565,11.3945584935,27.910854153,-0.004559498889931379,-0.007394799485961228
25,2.00000,16.52752734,11.68672666,28.62651708,-0.0038946192436178344,-0.006312444380553976
26,2.05000,16.9407155235,11.9788948265,29.342180007,-0.003327828331089686,-0.005391083101173421
27,2.10000,17.353903707,12.271062993,30.057842934,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,17.7670918905,12.5632311595,30.773505861,-0.0024377666635020997,-0.003946465564419419
29,2.20000,18.180280074,12.855399326,31.489168788,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,18.5934682575,13.1475674925,32.204831715,-0.001798334668858177,-0.0029101618536397514
31,2.30000,19.006656441,13.439735659,32.920494642,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,19.4198446245,13.7319038255,33.636157569,-0.001338460227412028,-0.0021655490125395372
33,2.40000,19.833032808,14.024071992,34.351820496,-0.0011589170365201762,-0.001874974609819086
34,2.45000,20.2462209915,14.3162401585,35.067483423,-0.0010059721550935079,-0.0016274993689842513
