Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.1e-07,1.69952382,2.9702261324999997,-0.010450646099012592,-0.009929430630968274
1,0.80000,2.24e-07,1.812825408,3.1682412080000004,-0.010462315790777204,-0.009606219532531301
2,0.85000,2.38e-07,1.926126996,3.3662562835000003,-0.010534633876607892,-0.009199497683632795
3,0.90000,2.52e-07,2.039428584,3.5642713589999997,-0.010476692645750128,-0.008731577009527857
4,0.95000,2.66e-07,2.152730172,3.7622864345,-0.01016502466643065,-0.008229237989665213
5,1.00000,2.8e-07,2.26603176,3.9603015100000003,-0.009685807196982494,-0.007716403090323414
6,1.05000,2.94e-07,2.379333348,4.1583165855,-0.009200032115477708,-0.007233498682305632
7,1.10000,3.08e-07,2.492634936,4.3563316610000005,-0.008864809964203465,-0.006853842309248634
8,1.15000,3.22e-07,2.605936524,4.554346736499999,-0.00882653096198994,-0.0067567109423036405
9,1.20000,3.36e-07,2.719238112,4.752361812,-0.009192685517957554,-0.007278979891658678
10,1.25000,3.5e-07,2.8325397,4.950376887499999,-0.009875786458024942,-0.008513513571843538
11,1.30000,3.64e-07,2.945841288,5.148391963000001,-0.010440034712007365,-0.011028684950477992
12,1.35000,3.78e-07,3.059142876,5.346407038500001,-0.010529519487432857,-0.012765001428753172
13,1.40000,3.92e-07,3.172444464,5.544422114,-0.010188392809180002,-0.012581152915345919
14,1.45000,4.06e-07,3.285746052,5.7424371895,-0.009589440698066803,-0.011714065086879347
15,1.50000,4.2e-07,3.39904764,5.940452264999999,-0.008858810413099962,-0.010682828588178893
16,1.55000,4.34e-07,3.512349228,6.138467340499999,-0.00807003339574304,-0.009630495176514039
17,1.60000,4.48e-07,3.625650816,6.336482416000001,-0.007267185019722214,-0.008604286366479868
18,1.65000,4.62e-07,3.738952404,6.5344974915,-0.006479446763720015,-0.007626638990209296
19,1.70000,4.76e-07,3.852253992,6.732512567000001,-0.005727463439841013,-0.006711939009716078
20,1.75000,4.9e-07,3.96555558,6.9305276425,-0.005025678683086403,-0.005870058076899318
21,1.80000,5.04e-07,4.078857168,7.128542717999999,-0.004383247544692262,-0.005106848886812534
22,1.85000,5.18e-07,4.192158756,7.326557793500001,-0.0038047088381541953,-0.004424314380315003
23,1.90000,5.32e-07,4.305460344,7.524572869,-0.0032907892398079137,-0.0038210794283919406
24,1.95000,5.46e-07,4.418761932,7.722587944499999,-0.002839333466935823,-0.0032931450630059164
25,2.00000,5.6e-07,4.53206352,7.920603020000001,-0.0024462364064824923,-0.0028347438693454045
26,2.05000,5.74e-07,4.645365108,8.1186180955,-0.0021062632529386055,-0.00243913452321664
27,2.10000,5.88e-07,4.758666696,8.316633171,-0.0018136965130087315,-0.002099243739643116
28,2.15000,6.02e-07,4.871968284,8.5146482465,-0.0015627989233032247,-0.001808128514754882
29,2.20000,6.16e-07,4.985269872,8.712663322000001,-0.0013481131614900546,-0.0015592727351674213
30,2.25000,6.3e-07,5.09857146,8.9106783975,-0.001164632903623776,-0.0013467510205812353
31,2.30000,6.44e-07,5.211873048,9.108693472999999,-0.0010078811435327577,-0.0011652963381326422
32,2.35000,6.58e-07,5.325174636,9.3067085485,-0.0008739267423096629,-0.0010103037047817262
33,2.40000,6.72e-07,5.438476224,9.504723624,-0.0007593631210370981,-0.0008777952084104864
34,2.45000,6.86e-07,5.551777812,9.7027386995,-0.0006612661692189356,-0.0007643644279449924
