Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.6218172625,1.853904765,4.5411207075,-0.013261568074942316,-0.01088162121626324
1,0.80000,2.79660508,1.977498416,4.843862088,-0.012581345313659474,-0.010342115179301073
2,0.85000,2.9713928975,2.101092067,5.1466034685,-0.011866387710904237,-0.009781109183933647
3,0.90000,3.146180715,2.224685718,5.449344849,-0.011199766512622146,-0.009245868788719212
4,0.95000,3.3209685325,2.348279369,5.7520862295,-0.01065935180247004,-0.008780875419808919
5,1.00000,3.49575635,2.47187302,6.05482761,-0.010327515382562345,-0.008433585139554702
6,1.05000,3.6705441675,2.595466671,6.3575689905,-0.01031524469917776,-0.008309155439019625
7,1.10000,3.845331985,2.719060322,6.660310371,-0.010742423858656638,-0.008610591995689261
8,1.15000,4.0201198025,2.842653973,6.9630517515,-0.011544823430727243,-0.00985895546615877
9,1.20000,4.19490762,2.966247624,7.265793132,-0.012389716890914611,-0.012468196555756029
10,1.25000,4.3696954375,3.089841275,7.5685345125,-0.012964723135396183,-0.015128988074190953
11,1.30000,4.544483255,3.213434926,7.871275893,-0.013164977872818402,-0.016271845618319142
12,1.35000,4.7192710725,3.337028577,8.1740172735,-0.013043447714627317,-0.016252631767999664
13,1.40000,4.89405889,3.460622228,8.476758654,-0.012687357760851505,-0.015758777278908433
14,1.45000,5.0688467075,3.584215879,8.7795000345,-0.012163532494982938,-0.015045296610813745
15,1.50000,5.243634525,3.70780953,9.082241415,-0.011516527984013465,-0.01419816989844356
16,1.55000,5.4184223425,3.831403181,9.3849827955,-0.010778467360249528,-0.013256845416036604
17,1.60000,5.59321016,3.954996832,9.687724176,-0.009976506858702112,-0.012249914599219456
18,1.65000,5.7679979775,4.078590483,9.9904655565,-0.009136345372761706,-0.011204775302181448
19,1.70000,5.942785795,4.202184134,10.293206937,-0.008282894813487224,-0.010149089063325355
20,1.75000,6.1175736125,4.325777785,10.5959483175,-0.00743940454289933,-0.00910944377274429
21,1.80000,6.29236143,4.449371436,10.898689698,-0.0066260829593339406,-0.008109342887102185
22,1.85000,6.4671492475,4.572965087,11.2014310785,-0.005858933955946423,-0.0071675482834631585
23,1.90000,6.641937065,4.696558738,11.504172459,-0.005149178906629206,-0.0062972262572970235
24,1.95000,6.8167248825,4.820152389,11.8069138395,-0.004503328073743025,-0.005505946804580619
25,2.00000,6.9915127,4.94374604,12.10965522,-0.003923760523871197,-0.004796340131649
26,2.05000,7.1663005175,5.067339691,12.4123966005,-0.0034095883794898613,-0.0041671207671357575
27,2.10000,7.341088335,5.190933342,12.715137981,-0.002957593649227662,-0.0036142114391764474
28,2.15000,7.5158761525,5.314526993,13.0178793615,-0.002563087800819511,-0.003131778821621943
29,2.20000,7.69066397,5.438120644,13.320620742,-0.002220615115308174,-0.002713082256609599
30,2.25000,7.8654517875,5.561714295,13.6233621225,-0.0019244774882179218,-0.0023511069516349444
31,2.30000,8.040239605,5.685307946,13.926103503,-0.001669093701004491,-0.002038996892258725
32,2.35000,8.2150274225,5.808901597,14.2288448835,-0.0014492228470709403,-0.001770323298765406
33,2.40000,8.38981524,5.932495248,14.531586264,-0.0012600855488196418,-0.0015392293884495174
34,2.45000,8.5646030575,6.056088899,14.8343276445,-0.0010974135914392218,-0.0013404885886083222
