Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.82997375,1.82997375,1.82997375,-0.018980052127305573,-0.013246081260644901
1,0.80000,1.951972,1.951972,1.951972,-0.01895506408650805,-0.01319676531241957
2,0.85000,2.07397025,2.07397025,2.07397025,-0.019000806832321884,-0.013124677683218483
3,0.90000,2.1959685,2.1959685,2.1959685,-0.019268890205029872,-0.01302188746939541
4,0.95000,2.31796675,2.31796675,2.31796675,-0.02006842300446911,-0.012878882338938382
5,1.00000,2.439965,2.439965,2.439965,-0.021895401172011775,-0.01268492445278091
6,1.05000,2.56196325,2.56196325,2.56196325,-0.025311247142835752,-0.012435254373638387
7,1.10000,2.6839615,2.6839615,2.6839615,-0.030495576346087384,-0.012496970640435949
8,1.15000,2.80595975,2.80595975,2.80595975,-0.03621508633409245,-0.053983004844943644
9,1.20000,2.927958,2.927958,2.927958,-0.04013169836910215,-0.06290747921071199
10,1.25000,3.04995625,3.04995625,3.04995625,-0.04135440363388701,-0.062484981394559415
11,1.30000,3.1719545,3.1719545,3.1719545,-0.040496204072065195,-0.059057678656738506
12,1.35000,3.29395275,3.29395275,3.29395275,-0.03835717993759272,-0.05462944858295071
13,1.40000,3.415951,3.415951,3.415951,-0.035499899066026415,-0.04978448348509368
14,1.45000,3.53794925,3.53794925,3.53794925,-0.032284349351868726,-0.04480126844396038
15,1.50000,3.6599475,3.6599475,3.6599475,-0.028946579014887303,-0.03986759672651355
16,1.55000,3.78194575,3.78194575,3.78194575,-0.025646863143947686,-0.03512376883945195
17,1.60000,3.903944,3.903944,3.903944,-0.022494750015310525,-0.030672361229998356
18,1.65000,4.02594225,4.02594225,4.02594225,-0.019562406328904585,-0.02658207517061012
19,1.70000,4.1479405,4.1479405,4.1479405,-0.016892734111509936,-0.022891415352853054
20,1.75000,4.26993875,4.26993875,4.26993875,-0.014505398095790163,-0.019613223272883697
21,1.80000,4.391937,4.391937,4.391937,-0.012402114559580717,-0.016739966270043552
22,1.85000,4.51393525,4.51393525,4.51393525,-0.010571577434487615,-0.014249320042402633
23,1.90000,4.6359335,4.6359335,4.6359335,-0.008993921951810013,-0.012109477662092707
24,1.95000,4.75793175,4.75793175,4.75793175,-0.007644500081574337,-0.010283709555186846
25,2.00000,4.87993,4.87993,4.87993,-0.006496816860797735,-0.00873390949602322
26,2.05000,5.00192825,5.00192825,5.00192825,-0.0055246141422956255,-0.007423084547985144
27,2.10000,5.1239265,5.1239265,5.1239265,-0.004703201070767319,-0.006316908036536676
28,2.15000,5.24592475,5.24592475,5.24592475,-0.004010188528587611,-0.005384533628582198
29,2.20000,5.367923,5.367923,5.367923,-0.003425794058853531,-0.004598881245465096
30,2.25000,5.48992125,5.48992125,5.48992125,-0.0029328634251203304,-0.003936579315466687
31,2.30000,5.6119195,5.6119195,5.6119195,-0.0025167227327262047,-0.0033777064513669454
32,2.35000,5.73391775,5.73391775,5.73391775,-0.0021649424015956036,-0.002905433921384446
33,2.40000,5.855916,5.855916,5.855916,-0.001867066782940003,-0.002505635313713889
34,2.45000,5.97791425,5.97791425,5.97791425,-0.0016143424325944732,-0.0021665035141114697
