Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.20135851,3.0030051525,2.0648392500000003,-0.054735661747786886,-0.04898181093230221
1,0.80000,5.5481157439999995,3.203205496,2.2024952000000004,-0.05376450753216884,-0.04738853424980294
2,0.85000,5.894872978,3.4034058395000004,2.3401511499999996,-0.05242898582677284,-0.045626635486778686
3,0.90000,6.2416302120000005,3.6036061829999997,2.4778070999999997,-0.05120151422029667,-0.04375637831367121
4,0.95000,6.588387446,3.8038065265,2.6154630500000002,-0.050810412710074894,-0.041834498744736395
5,1.00000,6.93514468,4.00400687,2.753119,-0.05251652801804446,-0.0398970261427698
6,1.05000,7.2819019140000005,4.2042072135,2.8907749500000004,-0.05824734027067217,-0.03795192309067625
7,1.10000,7.628659148000001,4.404407557,3.0284309,-0.07064977157987917,-0.036037158922455105
8,1.15000,7.975416382,4.6046079005,3.1660868499999997,-0.0914355501556504,-0.05016273247027932
9,1.20000,8.322173616,4.804808244,3.3037428,-0.11280206682671448,-0.16439318966909688
10,1.25000,8.66893085,5.005008587500001,3.4413987500000003,-0.12341757148643302,-0.18896129849972185
11,1.30000,9.015688084,5.205208931,3.5790546999999995,-0.12365955163322212,-0.18435307847510976
12,1.35000,9.362445317999999,5.4054092745,3.7167106500000004,-0.11793930391811484,-0.17100711350638265
13,1.40000,9.709202552,5.605609618000001,3.8543665999999996,-0.10924484446373109,-0.15539963591577538
14,1.45000,10.055959786,5.8058099615,3.9920225499999997,-0.09922395865547877,-0.13934639673649243
15,1.50000,10.40271702,6.006010305,4.129678500000001,-0.08880889043454929,-0.12361155419833143
16,1.55000,10.749474254,6.206210648500001,4.26733445,-0.07855896140055037,-0.10863618434215609
17,1.60000,11.096231487999999,6.406410992,4.404990400000001,-0.06882050386744525,-0.09470216032708942
18,1.65000,11.442988721999999,6.6066113355,4.54264635,-0.05980376669792699,-0.08198048998179189
19,1.70000,11.789745956,6.806811679000001,4.680302299999999,-0.05162396305802482,-0.07055424766149464
20,1.75000,12.136503189999999,7.0070120225000005,4.81795825,-0.044326747761142406,-0.06043600926953145
21,1.80000,12.483260424000001,7.207212365999999,4.955614199999999,-0.03790679333989731,-0.05158417961222148
22,1.85000,12.830017658000001,7.4074127095,5.0932701499999995,-0.03232294057009911,-0.04391868218839617
23,1.90000,13.176774892,7.607613053,5.2309261000000005,-0.027510980139712527,-0.03733534293198836
24,1.95000,13.523532126000001,7.8078133965,5.3685820500000005,-0.02339414382017677,-0.031718123646219155
25,2.00000,13.87028936,8.00801374,5.506238,-0.019891199846601343,-0.026948655661821832
26,2.05000,14.217046594,8.2082140835,5.643893950000001,-0.01692221119059624,-0.022912975369929568
27,2.10000,14.563803828000001,8.408414427,5.781549900000001,-0.014412233749944745,-0.019505744962807797
28,2.15000,14.910561062,8.608614770500001,5.919205849999999,-0.01229336747309978,-0.016632455949978208
29,2.20000,15.257318296000001,8.808815114,6.0568618,-0.010505603705580364,-0.014210166316776846
30,2.25000,15.604075530000001,9.0090154575,6.194517750000001,-0.008996866689863908,-0.012167269086378139
31,2.30000,15.950832764,9.209215801,6.332173699999999,-0.007722566238476293,-0.010442688298595949
32,2.35000,16.297589998,9.4094161445,6.469829649999999,-0.006644892266338272,-0.008984788952970953
33,2.40000,16.644347232,9.609616488,6.6074856,-0.005732006534001216,-0.0077501920044563116
34,2.45000,16.991104466,9.809816831500001,6.74514155,-0.004957228505508198,-0.0067026117046802905
