Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.392384807499999,3.11329458,2.0450373749999997,-0.012213054522691969,-0.007948380351677737
1,0.80000,5.751877128,3.320847552,2.1813732000000003,-0.011456387903189116,-0.007405665102731961
2,0.85000,6.1113694485,3.5284005240000003,2.317709025,-0.01074268782028784,-0.006906802289882048
3,0.90000,6.470861769,3.7359534959999996,2.4540448500000003,-0.01016188351170699,-0.006481676518371919
4,0.95000,6.8303540895,3.943506468,2.5903806749999996,-0.00978125274589386,-0.006140054520718127
5,1.00000,7.1898464099999995,4.151059440000001,2.7267165,-0.009696452316971178,-0.005881245004410137
6,1.05000,7.549338730500001,4.358612411999999,2.863052325,-0.010087755481643278,-0.00571993632534717
7,1.10000,7.908831051,4.5661653840000005,2.9993881500000006,-0.011238620119787924,-0.005764756417701509
8,1.15000,8.2683233715,4.773718356,3.1357239750000003,-0.013329157770912196,-0.006396484038875416
9,1.20000,8.627815691999999,4.981271328,3.2720597999999996,-0.015913782557387905,-0.009122629666050059
10,1.25000,8.9873080125,5.188824299999999,3.4083956250000003,-0.01800995795023469,-0.019077650050247433
11,1.30000,9.346800333000001,5.3963772720000005,3.5447314499999996,-0.01904018602606787,-0.029199418533587443
12,1.35000,9.7062926535,5.603930244000001,3.681067275,-0.019063304159880112,-0.031711377491653765
13,1.40000,10.065784974,5.811483216,3.8174031,-0.01836658896167649,-0.030794170071515487
14,1.45000,10.425277294499999,6.019036188,3.9537389250000006,-0.017214113139258965,-0.02871062586405529
15,1.50000,10.784769614999998,6.22658916,4.090074749999999,-0.015799446876966532,-0.02618557837312461
16,1.55000,11.144261935500001,6.434142131999999,4.226410574999999,-0.014260139800905873,-0.0235106461941068
17,1.60000,11.503754256,6.641695104,4.362746400000001,-0.012695015552844267,-0.020844639641333394
18,1.65000,11.8632465765,6.849248076,4.4990822249999995,-0.011174497092377243,-0.018289683046469656
19,1.70000,12.222738897,7.0568010480000005,4.63541805,-0.009746320987005602,-0.015912329317837755
20,1.75000,12.5822312175,7.264354020000001,4.771753875,-0.008439542846017369,-0.013751554855309964
21,1.80000,12.941723538,7.471906991999999,4.9080897000000006,-0.007268250759297143,-0.011824327454879878
22,1.85000,13.301215858499999,7.679459963999999,5.044425524999999,-0.006235265653832667,-0.010131004014699175
23,1.90000,13.660708179,7.887012936,5.180761349999999,-0.005335613975797533,-0.008660503493892736
24,1.95000,14.0202004995,8.094565908,5.317097175000001,-0.004559498889931379,-0.007394799485961228
25,2.00000,14.379692819999999,8.302118880000002,5.453433,-0.0038946192436178344,-0.006312444380553976
26,2.05000,14.739185140499998,8.509671852,5.589768825,-0.003327828331089686,-0.005391083101173421
27,2.10000,15.098677461000001,8.717224823999999,5.72610465,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,15.4581697815,8.924777796,5.862440475,-0.0024377666635020997,-0.003946465564419419
29,2.20000,15.817662102,9.132330768000001,5.998776300000001,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,16.1771544225,9.33988374,6.135112125000001,-0.001798334668858177,-0.0029101618536397514
31,2.30000,16.536646743,9.547436712,6.271447950000001,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,16.8961390635,9.754989684,6.4077837749999995,-0.001338460227412028,-0.0021655490125395372
33,2.40000,17.255631383999997,9.962542656,6.544119599999999,-0.0011589170365201762,-0.001874974609819086
34,2.45000,17.6151237045,10.170095628,6.680455425000001,-0.0010059721550935079,-0.0016274993689842513
