Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.1898254325,0.6869460375,9.4832629725,-0.012213054522691969,-0.007948380351677737
1,0.80000,1.269147128,0.73274244,10.115480504,-0.011456387903189116,-0.007405665102731961
2,0.85000,1.3484688235,0.7785388425,10.7476980355,-0.01074268782028784,-0.006906802289882048
3,0.90000,1.427790519,0.824335245,11.379915567,-0.01016188351170699,-0.006481676518371919
4,0.95000,1.5071122145,0.8701316475,12.0121330985,-0.00978125274589386,-0.006140054520718127
5,1.00000,1.58643391,0.91592805,12.64435063,-0.009696452316971178,-0.005881245004410137
6,1.05000,1.6657556055,0.9617244525,13.2765681615,-0.010087755481643278,-0.00571993632534717
7,1.10000,1.745077301,1.007520855,13.908785693,-0.011238620119787924,-0.005764756417701509
8,1.15000,1.8243989965,1.0533172575,14.5410032245,-0.013329157770912196,-0.006396484038875416
9,1.20000,1.903720692,1.09911366,15.173220756,-0.015913782557387905,-0.009122629666050059
10,1.25000,1.9830423875,1.1449100625,15.8054382875,-0.01800995795023469,-0.019077650050247433
11,1.30000,2.062364083,1.190706465,16.437655819,-0.01904018602606787,-0.029199418533587443
12,1.35000,2.1416857785,1.2365028675,17.0698733505,-0.019063304159880112,-0.031711377491653765
13,1.40000,2.221007474,1.28229927,17.702090882,-0.01836658896167649,-0.030794170071515487
14,1.45000,2.3003291695,1.3280956725,18.3343084135,-0.017214113139258965,-0.02871062586405529
15,1.50000,2.379650865,1.373892075,18.966525945,-0.015799446876966532,-0.02618557837312461
16,1.55000,2.4589725605,1.4196884775,19.5987434765,-0.014260139800905873,-0.0235106461941068
17,1.60000,2.538294256,1.46548488,20.230961008,-0.012695015552844267,-0.020844639641333394
18,1.65000,2.6176159515,1.5112812825,20.8631785395,-0.011174497092377243,-0.018289683046469656
19,1.70000,2.696937647,1.557077685,21.495396071,-0.009746320987005602,-0.015912329317837755
20,1.75000,2.7762593425,1.6028740875,22.1276136025,-0.008439542846017369,-0.013751554855309964
21,1.80000,2.855581038,1.64867049,22.759831134,-0.007268250759297143,-0.011824327454879878
22,1.85000,2.9349027335,1.6944668925,23.3920486655,-0.006235265653832667,-0.010131004014699175
23,1.90000,3.014224429,1.740263295,24.024266197,-0.005335613975797533,-0.008660503493892736
24,1.95000,3.0935461245,1.7860596975,24.6564837285,-0.004559498889931379,-0.007394799485961228
25,2.00000,3.17286782,1.8318561,25.28870126,-0.0038946192436178344,-0.006312444380553976
26,2.05000,3.2521895155,1.8776525025,25.9209187915,-0.003327828331089686,-0.005391083101173421
27,2.10000,3.331511211,1.923448905,26.553136323,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,3.4108329065,1.9692453075,27.1853538545,-0.0024377666635020997,-0.003946465564419419
29,2.20000,3.490154602,2.01504171,27.817571386,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,3.5694762975,2.0608381125,28.4497889175,-0.001798334668858177,-0.0029101618536397514
31,2.30000,3.648797993,2.106634515,29.082006449,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,3.7281196885,2.1524309175,29.7142239805,-0.001338460227412028,-0.0021655490125395372
33,2.40000,3.807441384,2.19822732,30.346441512,-0.0011589170365201762,-0.001874974609819086
34,2.45000,3.8867630795,2.2440237225,30.9786590435,-0.0010059721550935079,-0.0016274993689842513
