Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.3518299075,1.3579667774999997,9.452442975,-0.012213054522691969,-0.007948380351677737
1,0.80000,2.508618568,1.4484978960000001,10.08260584,-0.011456387903189116,-0.007405665102731961
2,0.85000,2.6654072285000003,1.5390290145,10.712768705,-0.01074268782028784,-0.006906802289882048
3,0.90000,2.8221958889999996,1.629560133,11.34293157,-0.01016188351170699,-0.006481676518371919
4,0.95000,2.9789845495,1.7200912515,11.973094435,-0.00978125274589386,-0.006140054520718127
5,1.00000,3.13577321,1.81062237,12.6032573,-0.009696452316971178,-0.005881245004410137
6,1.05000,3.2925618705,1.9011534885,13.233420165,-0.010087755481643278,-0.00571993632534717
7,1.10000,3.4493505310000003,1.9916846069999998,13.86358303,-0.011238620119787924,-0.005764756417701509
8,1.15000,3.6061391914999996,2.0822157255000002,14.493745895,-0.013329157770912196,-0.006396484038875416
9,1.20000,3.762927852,2.172746844,15.12390876,-0.015913782557387905,-0.009122629666050059
10,1.25000,3.9197165125,2.2632779625,15.754071625,-0.01800995795023469,-0.019077650050247433
11,1.30000,4.076505172999999,2.353809081,16.38423449,-0.01904018602606787,-0.029199418533587443
12,1.35000,4.233293833499999,2.4443401995,17.014397355,-0.019063304159880112,-0.031711377491653765
13,1.40000,4.390082494,2.534871318,17.64456022,-0.01836658896167649,-0.030794170071515487
14,1.45000,4.5468711545,2.6254024365,18.274723085,-0.017214113139258965,-0.02871062586405529
15,1.50000,4.703659815,2.7159335549999994,18.90488595,-0.015799446876966532,-0.02618557837312461
16,1.55000,4.8604484755,2.8064646735,19.535048815,-0.014260139800905873,-0.0235106461941068
17,1.60000,5.017237136,2.8969957920000002,20.16521168,-0.012695015552844267,-0.020844639641333394
18,1.65000,5.1740257965000005,2.9875269105,20.795374545,-0.011174497092377243,-0.018289683046469656
19,1.70000,5.330814457000001,3.078058029,21.42553741,-0.009746320987005602,-0.015912329317837755
20,1.75000,5.487603117500001,3.1685891474999996,22.055700275,-0.008439542846017369,-0.013751554855309964
21,1.80000,5.644391777999999,3.259120266,22.68586314,-0.007268250759297143,-0.011824327454879878
22,1.85000,5.801180438499999,3.3496513845,23.316026005,-0.006235265653832667,-0.010131004014699175
23,1.90000,5.957969099,3.440182503,23.94618887,-0.005335613975797533,-0.008660503493892736
24,1.95000,6.1147577595,3.5307136215000003,24.576351735,-0.004559498889931379,-0.007394799485961228
25,2.00000,6.27154642,3.62124474,25.2065146,-0.0038946192436178344,-0.006312444380553976
26,2.05000,6.4283350805,3.7117758585,25.836677465,-0.003327828331089686,-0.005391083101173421
27,2.10000,6.585123741,3.802306977,26.46684033,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,6.7419124015000005,3.8928380955,27.097003195,-0.0024377666635020997,-0.003946465564419419
29,2.20000,6.898701062000001,3.9833692139999997,27.72716606,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,7.0554897225,4.073900332499999,28.357328925,-0.001798334668858177,-0.0029101618536397514
31,2.30000,7.212278382999999,4.1644314510000005,28.98749179,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,7.369067043499999,4.2549625695,29.617654655,-0.001338460227412028,-0.0021655490125395372
33,2.40000,7.525855704,4.345493688,30.24781752,-0.0011589170365201762,-0.001874974609819086
34,2.45000,7.6826443645,4.4360248065,30.877980385,-0.0010059721550935079,-0.0016274993689842513
