Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.89956864,3.1618595775,4.53496464,-0.01594072883770664,-0.015986515516324303
1,0.80000,3.092873216,3.3726502160000003,4.8372956160000005,-0.01463747071243111,-0.014671942950120923
2,0.85000,3.286177792,3.5834408545000005,5.139626591999999,-0.013245148190066818,-0.013271960854065571
3,0.90000,3.479482368,3.7942314930000003,5.441957567999999,-0.011813184037282383,-0.011834348657813803
4,0.95000,3.6727869440000003,4.0050221315,5.744288544,-0.010392808211869683,-0.010408550029203137
5,1.00000,3.86609152,4.215812769999999,6.04661952,-0.009044942954355253,-0.00905374315840136
6,1.05000,4.059396096,4.4266034085,6.3489504960000005,-0.007826236827192662,-0.007824547603186538
7,1.10000,4.252700672,4.637394047,6.651281472000001,-0.006777846841984254,-0.006761820210748808
8,1.15000,4.4460052480000005,4.8481846855,6.953612448,-0.005926338516611484,-0.005899149874613002
9,1.20000,4.639309824,5.0589753239999995,7.255943424000001,-0.005293579684902194,-0.005242311740647253
10,1.25000,4.8326144,5.2697659625,7.558274399999999,-0.0049945477459295475,-0.004737927819795213
11,1.30000,5.025918976000001,5.480556601,7.860605376,-0.005269323965645626,-0.0047089073930932385
12,1.35000,5.219223552,5.6913472395,8.162936352,-0.005768401805018076,-0.005858305306356295
13,1.40000,5.412528128,5.902137878,8.465267328,-0.005954330157755662,-0.0065420353702165205
14,1.45000,5.605832704,6.1129285165,8.767598304,-0.00584543781987636,-0.006458523207176132
15,1.50000,5.79913728,6.323719155,9.06992928,-0.005587721567626324,-0.00613269952905469
16,1.55000,5.992441855999999,6.5345097935,9.372260256,-0.005262523706347779,-0.005741263198003053
17,1.60000,6.185746432,6.7453004320000005,9.674591232000001,-0.004905986661796886,-0.005330480284125181
18,1.65000,6.379051007999999,6.9560910705,9.976922208000001,-0.004535115249843536,-0.004914570176577392
19,1.70000,6.572355584,7.166881709000001,10.279253183999998,-0.004159769002570174,-0.0045002502531576545
20,1.75000,6.76566016,7.3776723475,10.581584159999998,-0.003787278184455074,-0.004092856124806508
21,1.80000,6.958964736,7.588462986000001,10.883915135999999,-0.0034239437796677917,-0.00369762332690729
22,1.85000,7.152269312,7.7992536244999995,11.186246112,-0.003075294051139146,-0.00331958590128482
23,1.90000,7.3455738880000006,8.010044263,11.488577088,-0.002745922058319285,-0.0029631473645656973
24,1.95000,7.538878464,8.2208349015,11.790908064,-0.0024392777012259537,-0.002631702249940409
25,2.00000,7.73218304,8.431625539999999,12.09323904,-0.0021575673432717222,-0.0023274364645341425
26,2.05000,7.925487615999999,8.6424161785,12.395570016,-0.0019017948786719352,-0.0020513176010250427
27,2.10000,8.118792192,8.853206817,12.697900992000001,-0.0016719171662717542,-0.0018032306247127965
28,2.15000,8.312096768,9.0639974555,13.000231968000001,-0.0014670644958906074,-0.0015821966970717542
29,2.20000,8.505401344,9.274788094,13.302562944000002,-0.0012857783937652314,-0.0013866184013212848
30,2.25000,8.69870592,9.485578732499999,13.604893919999999,-0.0011262320732613406,-0.0012145108269051917
31,2.30000,8.892010496000001,9.696369371,13.907224896,-0.0009864141804622963,-0.0010636957876258124
32,2.35000,9.085315072,9.9071600095,14.209555872,-0.0008642692096837009,-0.000931950922936379
33,2.40000,9.278619648,10.117950647999999,14.511886848000001,-0.0007577963935532913,-0.0008171149700757258
34,2.45000,9.471924224,10.3287412865,14.814217824,-0.0006651132932627586,-0.0007171555298261139
