Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.5878771475,1.8335222325,4.74002373,-0.06243135217144213,-0.062220221097066035
1,0.80000,1.693735624,1.955757048,5.056025312,-0.059277618308963345,-0.059019114036606486
2,0.85000,1.7995941005,2.0779918635,5.372026893999999,-0.05611536831649418,-0.0558029896991621
3,0.90000,1.905452577,2.200226679,5.6880284759999995,-0.05306819439380789,-0.052690581427313095
4,0.95000,2.0113110535,2.3224614945,6.004030058000001,-0.050278804156785845,-0.04980505439142741
5,1.00000,2.11716953,2.44469631,6.32003164,-0.04806229881424859,-0.04761197483417362
6,1.05000,2.2230280065,2.5669311255,6.636033222,-0.046673261711048505,-0.04672798839507174
7,1.10000,2.3288864830000002,2.689165941,6.952034804,-0.045839631462144675,-0.045535878801058464
8,1.15000,2.4347449595,2.8114007565,7.268036386,-0.04531009767516848,-0.04440009895852113
9,1.20000,2.540603436,2.933635572,7.584037968,-0.045173572866669134,-0.04207199033975143
10,1.25000,2.6464619125,3.0558703875,7.900039550000001,-0.04649981829303145,-0.039973709005794764
11,1.30000,2.752320389,3.178105203,8.216041131999999,-0.048024249662919696,-0.042849316585708695
12,1.35000,2.8581788654999998,3.3003400185,8.532042714,-0.04789146894326275,-0.050449804191554384
13,1.40000,2.9640373419999997,3.422574834,8.848044296000001,-0.045819004907625444,-0.05138489152115626
14,1.45000,3.0698958185,3.5448096495,9.164045878,-0.042509499710801854,-0.04803840721843849
15,1.50000,3.175754295,3.667044465,9.48004746,-0.03861579089238064,-0.04349672661857258
16,1.55000,3.2816127715000003,3.7892792805,9.796049042,-0.03455142051746174,-0.03875867313326235
17,1.60000,3.387471248,3.911514096,10.112050624,-0.030562460276367047,-0.034170729663216264
18,1.65000,3.4933297245,4.0337489115,10.428052206,-0.02679320462783961,-0.029883000244488908
19,1.70000,3.599188201,4.155983727,10.744053787999999,-0.023324033638858044,-0.025966722965943736
20,1.75000,3.7050466775,4.2782185425,11.06005537,-0.020193184141320177,-0.0224507118144751
21,1.80000,3.810905154,4.400453358,11.376056951999999,-0.017410498576505937,-0.01933691447366696
22,1.85000,3.9167636304999998,4.5226881735,11.692058534,-0.01496694185083517,-0.016609584805166312
23,1.90000,4.022622107,4.644922989,12.008060116000001,-0.01284155217940614,-0.014241819115379943
24,1.95000,4.1284805835,4.7671578045,12.324061698,-0.011006588396965764,-0.0122004922609678
25,2.00000,4.23433906,4.88939262,12.64006328,-0.00943127606940134,-0.010449935038618574
26,2.05000,4.3401975365,5.0116274355,12.956064862,-0.008084422819629166,-0.008954541951466782
27,2.10000,4.446056013,5.133862251,13.272066444,-0.006936129431000582,-0.007680486330100375
28,2.15000,4.5519144895000005,5.2560970665,13.588068026,-0.0059588039192207,-0.006596728370477971
29,2.20000,4.6577729660000005,5.378331882,13.904069608,-0.00512766510140486,-0.0056754974640266225
30,2.25000,4.7636314425,5.5005666975,14.220071189999999,-0.004420894295523468,-0.004892409905448051
31,2.30000,4.869489919,5.622801513,14.536072772,-0.003819561441285064,-0.00422635310667315
32,2.35000,4.9753483955,5.7450363285,14.852074353999999,-0.0033074199072586946,-0.003659235264805666
33,2.40000,5.081206872,5.867271144,15.168075936,-0.0028706361316676154,-0.0031756702132212785
34,2.45000,5.1870653485,5.9895059595,15.484077518000001,-0.0024974977125951656,-0.002762643411966693
