Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.3223478675,1.3223478675,1.322347875,-0.012213054522691969,-0.007948380351677737
1,0.80000,1.410504392,1.410504392,1.4105044,-0.011456387903189116,-0.007405665102731961
2,0.85000,1.4986609165,1.4986609165,1.498660925,-0.01074268782028784,-0.006906802289882048
3,0.90000,1.586817441,1.586817441,1.58681745,-0.01016188351170699,-0.006481676518371919
4,0.95000,1.6749739655,1.6749739655,1.674973975,-0.00978125274589386,-0.006140054520718127
5,1.00000,1.76313049,1.76313049,1.7631305,-0.009696452316971178,-0.005881245004410137
6,1.05000,1.8512870145,1.8512870145,1.851287025,-0.010087755481643278,-0.00571993632534717
7,1.10000,1.939443539,1.939443539,1.93944355,-0.011238620119787924,-0.005764756417701509
8,1.15000,2.0276000635,2.0276000635,2.027600075,-0.013329157770912196,-0.006396484038875416
9,1.20000,2.115756588,2.115756588,2.1157566,-0.015913782557387905,-0.009122629666050059
10,1.25000,2.2039131125,2.2039131125,2.203913125,-0.01800995795023469,-0.019077650050247433
11,1.30000,2.292069637,2.292069637,2.29206965,-0.01904018602606787,-0.029199418533587443
12,1.35000,2.3802261615,2.3802261615,2.380226175,-0.019063304159880112,-0.031711377491653765
13,1.40000,2.468382686,2.468382686,2.4683827,-0.01836658896167649,-0.030794170071515487
14,1.45000,2.5565392105,2.5565392105,2.556539225,-0.017214113139258965,-0.02871062586405529
15,1.50000,2.644695735,2.644695735,2.64469575,-0.015799446876966532,-0.02618557837312461
16,1.55000,2.7328522595,2.7328522595,2.732852275,-0.014260139800905873,-0.0235106461941068
17,1.60000,2.821008784,2.821008784,2.8210088,-0.012695015552844267,-0.020844639641333394
18,1.65000,2.9091653085,2.9091653085,2.909165325,-0.011174497092377243,-0.018289683046469656
19,1.70000,2.997321833,2.997321833,2.99732185,-0.009746320987005602,-0.015912329317837755
20,1.75000,3.0854783575,3.0854783575,3.085478375,-0.008439542846017369,-0.013751554855309964
21,1.80000,3.173634882,3.173634882,3.1736349,-0.007268250759297143,-0.011824327454879878
22,1.85000,3.2617914065,3.2617914065,3.261791425,-0.006235265653832667,-0.010131004014699175
23,1.90000,3.349947931,3.349947931,3.34994795,-0.005335613975797533,-0.008660503493892736
24,1.95000,3.4381044555,3.4381044555,3.438104475,-0.004559498889931379,-0.007394799485961228
25,2.00000,3.52626098,3.52626098,3.526261,-0.0038946192436178344,-0.006312444380553976
26,2.05000,3.6144175045,3.6144175045,3.614417525,-0.003327828331089686,-0.005391083101173421
27,2.10000,3.702574029,3.702574029,3.70257405,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,3.7907305535,3.7907305535,3.790730575,-0.0024377666635020997,-0.003946465564419419
29,2.20000,3.878887078,3.878887078,3.8788871,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,3.9670436025,3.9670436025,3.967043625,-0.001798334668858177,-0.0029101618536397514
31,2.30000,4.055200127,4.055200127,4.05520015,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,4.1433566515,4.1433566515,4.143356675,-0.001338460227412028,-0.0021655490125395372
33,2.40000,4.231513176,4.231513176,4.2315132,-0.0011589170365201762,-0.001874974609819086
34,2.45000,4.3196697005,4.3196697005,4.319669725,-0.0010059721550935079,-0.0016274993689842513
