Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.109879355,1.109879355,1.1098793625,-0.004657329048141118,-0.0026034983890859606
1,0.80000,1.183871312,1.183871312,1.18387132,-0.004650788059591516,-0.0026007100660408707
2,0.85000,1.257863269,1.257863269,1.2578632775,-0.00464385749416099,-0.0026001739229283114
3,0.90000,1.331855226,1.331855226,1.331855235,-0.00464148919581135,-0.002610025274022117
4,0.95000,1.405847183,1.405847183,1.4058471925,-0.004657069096063741,-0.0026530541135988375
5,1.00000,1.47983914,1.47983914,1.47983915,-0.0047193470255574976,-0.002788618638286257
6,1.05000,1.553831097,1.553831097,1.5538311075,-0.004876240208703839,-0.003135653936885005
7,1.10000,1.627823054,1.627823054,1.627823065,-0.005176406196471287,-0.0037703140426927364
8,1.15000,1.701815011,1.701815011,1.7018150225,-0.005606078671349834,-0.004993219802072559
9,1.20000,1.775806968,1.775806968,1.77580698,-0.006041374482369053,-0.007048080913550019
10,1.25000,1.849798925,1.849798925,1.8497989375,-0.006337356283950617,-0.00844759283923864
11,1.30000,1.923790882,1.923790882,1.923790895,-0.006440894400138064,-0.008810015891650157
12,1.35000,1.997782839,1.997782839,1.9977828525,-0.006374976831903159,-0.008691967003017319
13,1.40000,2.071774796,2.071774796,2.07177481,-0.006181111714532478,-0.008370215656329769
14,1.45000,2.145766753,2.145766753,2.1457667675,-0.005894093670394666,-0.007937986701201692
15,1.50000,2.21975871,2.21975871,2.219758725,-0.00553981796134775,-0.007432839180403623
16,1.55000,2.293750667,2.293750667,2.2937506825,-0.00513874311499092,-0.006877566930769102
17,1.60000,2.367742624,2.367742624,2.36774264,-0.004708650206657269,-0.00629160578016918
18,1.65000,2.441734581,2.441734581,2.4417345975,-0.004265749455404477,-0.0056935893841078946
19,1.70000,2.515726538,2.515726538,2.515726555,-0.003824623150668749,-0.0051010470509195525
20,1.75000,2.589718495,2.589718495,2.5897185125,-0.0033976699700865916,-0.004529312204277946
21,1.80000,2.663710452,2.663710452,2.66371047,-0.002994562954202187,-0.003990536791613775
22,1.85000,2.737702409,2.737702409,2.7377024275,-0.0026220020793293122,-0.0034931905945164944
23,1.90000,2.811694366,2.811694366,2.811694385,-0.0022838284985835216,-0.0030421071400836574
24,1.95000,2.885686323,2.885686323,2.8856863425,-0.0019814245813977093,-0.0026389512929799806
25,2.00000,2.95967828,2.95967828,2.9596783,-0.0017142658538871652,-0.0022829142913036436
26,2.05000,3.033670237,3.033670237,3.0336702575,-0.001480498238801096,-0.0019714577866037676
27,2.10000,3.107662194,3.107662194,3.107662215,-0.00127745369421387,-0.0017009852075050048
28,2.15000,3.181654151,3.181654151,3.1816541725,-0.0011020617700676296,-0.0014673802761767506
29,2.20000,3.255646108,3.255646108,3.25564613,-0.000951148821321819,-0.0012663994855073167
30,2.25000,3.329638065,3.329638065,3.3296380875,-0.0008216368325957207,-0.0010939331122441802
31,2.30000,3.403630022,3.403630022,3.403630045,-0.0007106623411377946,-0.000946161216244183
32,2.35000,3.477621979,3.477621979,3.4776220025,-0.0006156369632361812,-0.0008196327463600364
33,2.40000,3.551613936,3.551613936,3.55161396,-0.0005342682397716737,-0.0007112923530825775
34,2.45000,3.625605893,3.625605893,3.6256059175,-0.00046455541979591034,-0.0006184741730756006
