Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.87460325,1.87460325,1.87460325,-0.020365555820462136,-0.01243859128474088
1,0.80000,1.9995768,1.9995768,1.9995768,-0.02034398449255966,-0.012390022789094974
2,0.85000,2.12455035,2.12455035,2.12455035,-0.020411095230007475,-0.012319015787649441
3,0.90000,2.2495239,2.2495239,2.2495239,-0.020745829896137127,-0.012217807433765819
4,0.95000,2.37449745,2.37449745,2.37449745,-0.02169407526958542,-0.012077161625458422
5,1.00000,2.499471,2.499471,2.499471,-0.02374906312449763,-0.0118867985942854
6,1.05000,2.62444455,2.62444455,2.62444455,-0.02734341867660047,-0.011643539543229761
7,1.10000,2.7494181,2.7494181,2.7494181,-0.032522715152204174,-0.011705456979932059
8,1.15000,2.87439165,2.87439165,2.87439165,-0.038378821436829566,-0.05986935718854729
9,1.20000,2.9993652,2.9993652,2.9993652,-0.04289016891094544,-0.07340327101160928
10,1.25000,3.12433875,3.12433875,3.12433875,-0.044755270536031205,-0.07239127652670144
11,1.30000,3.2493123,3.2493123,3.2493123,-0.04425164991021505,-0.06831016094253282
12,1.35000,3.37428585,3.37428585,3.37428585,-0.042183778930700085,-0.06319554492463847
13,1.40000,3.4992594,3.4992594,3.4992594,-0.03921450525576822,-0.05765254417143864
14,1.45000,3.62423295,3.62423295,3.62423295,-0.03578588227518379,-0.05197468390942436
15,1.50000,3.7492065,3.7492065,3.7492065,-0.0321843436517591,-0.046359698983829814
16,1.55000,3.87418005,3.87418005,3.87418005,-0.02859865770833591,-0.040954982834866954
17,1.60000,3.9991536,3.9991536,3.9991536,-0.025154736689804703,-0.03586934402195535
18,1.65000,4.12412715,4.12412715,4.12412715,-0.021935034485431052,-0.03117777368479485
19,1.70000,4.2491007,4.2491007,4.2491007,-0.018989656455389383,-0.026924954506484737
20,1.75000,4.37407425,4.37407425,4.37407425,-0.016343545378857353,-0.023129032919838467
21,1.80000,4.4990478,4.4990478,4.4990478,-0.01400208696192616,-0.01978613402910133
22,1.85000,4.62402135,4.62402135,4.62402135,-0.011956122185067522,-0.016875519769589623
23,1.90000,4.7489949,4.7489949,4.7489949,-0.01018654363507139,-0.01436490657497471
24,1.95000,4.87396845,4.87396845,4.87396845,-0.008668309459373299,-0.012215361707200695
25,2.00000,4.998942,4.998942,4.998942,-0.007373683024049302,-0.01038534468030348
26,2.05000,5.12391555,5.12391555,5.12391555,-0.006274623073441737,-0.008833706318519902
27,2.10000,5.2488891,5.2488891,5.2488891,-0.005344378604348553,-0.007521675616315048
28,2.15000,5.37386265,5.37386265,5.37386265,-0.004558425340733578,-0.006413997004900578
29,2.20000,5.4988362,5.4988362,5.4988362,-0.0038949091471382176,-0.005479429191676798
30,2.25000,5.62380975,5.62380975,5.62380975,-0.003334751932773318,-0.004690808522597333
31,2.30000,5.7487833,5.7487833,5.7487833,-0.0028615470226227725,-0.0040248437568177085
32,2.35000,5.87375685,5.87375685,5.87375685,-0.002461337899052031,-0.003461765829271128
33,2.40000,5.9987304,5.9987304,5.9987304,-0.0021223444659192346,-0.002984916785672003
34,2.45000,6.12370395,6.12370395,6.12370395,-0.0018346775395481295,-0.002580330923140757
