Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.38825289,2.79516555,5.868625095,-0.039882180923842395,-0.041454181895074826
1,0.80000,3.614136416,2.98150992,6.259866768,-0.03833416058519366,-0.03952869009197157
2,0.85000,3.8400199420000005,3.16785429,6.651108441,-0.03690935790116497,-0.03779877872824774
3,0.90000,4.065903468,3.35419866,7.042350114,-0.03565013169728521,-0.03624049828222371
4,0.95000,4.291786994,3.54054303,7.433591787,-0.034660507370825884,-0.03483544405235353
5,1.00000,4.51767052,3.7268874,7.82483346,-0.034320832806681564,-0.033574183913381524
6,1.05000,4.743554046000001,3.91323177,8.216075132999999,-0.03510383822909034,-0.032559218688419614
7,1.10000,4.9694375719999995,4.09957614,8.607316806,-0.036282206575247014,-0.03408266746091568
8,1.15000,5.195321098,4.28592051,8.998558479,-0.03701314462220035,-0.03834621964241866
9,1.20000,5.4212046240000005,4.47226488,9.389800152,-0.037758881248875435,-0.039902514703784794
10,1.25000,5.64708815,4.65860925,9.781041824999999,-0.03780547003252526,-0.04213554376079939
11,1.30000,5.872971676,4.84495362,10.172283497999999,-0.03670248669718305,-0.040145384909401484
12,1.35000,6.098855202,5.03129799,10.563525171,-0.03497131448496958,-0.03783791687847465
13,1.40000,6.324738728,5.21764236,10.954766844,-0.03291917321586898,-0.03536181204625939
14,1.45000,6.550622253999999,5.40398673,11.346008517,-0.03068500581563071,-0.03278003409955921
15,1.50000,6.77650578,5.5903311,11.73725019,-0.028349466614402033,-0.03014543105602777
16,1.55000,7.0023893059999995,5.77667547,12.128491863,-0.025971411890574336,-0.02750623534491643
17,1.60000,7.228272832,5.96301984,12.519733536,-0.023599306080586854,-0.024906219576937807
18,1.65000,7.454156358,6.14936421,12.910975209,-0.02127515568090261,-0.02238444722989026
19,1.70000,7.680039884000001,6.33570858,13.302216882,-0.019035698951251557,-0.01997498792063411
20,1.75000,7.90592341,6.52205295,13.693458555,-0.0169121907062092,-0.017706316785447256
21,1.80000,8.131806936,6.70839732,14.084700228,-0.014929507491079073,-0.015600439511940282
22,1.85000,8.357690462,6.89474169,14.475941900999999,-0.013105246894127764,-0.0136721198985646
23,1.90000,8.583573988,7.08108606,14.867183574,-0.011449345004280517,-0.011928617380635814
24,1.95000,8.809457514,7.26743043,15.258425247000002,-0.009964437468206869,-0.010370126605757275
25,2.00000,9.03534104,7.4537748,15.64966692,-0.008646888182322674,-0.008990843560509916
26,2.05000,9.261224566,7.64011917,16.040908593,-0.0074882269433263204,-0.0077804102372873935
27,2.10000,9.487108092000001,7.82646354,16.432150265999997,-0.006476699223502806,-0.006725452158253419
28,2.15000,9.712991618,8.01280791,16.823391939,-0.00559869308534067,-0.005810982428164349
29,2.20000,9.938875143999999,8.19915228,17.214633612,-0.0048399074628503146,-0.005021542452070961
30,2.25000,10.164758670000001,8.38549665,17.605875285,-0.004186216759005473,-0.004342037991571577
31,2.30000,10.390642196,8.57184102,17.997116958,-0.0036242486851946224,-0.003758289669883679
32,2.35000,10.616525721999999,8.75818539,18.388358631,-0.0031417242024470923,-0.0032573479453405483
33,2.40000,10.842409248000001,8.94452976,18.779600304,-0.0027276179078967295,-0.0028276314004994905
34,2.45000,11.068292774,9.13087413,19.170841977000002,-0.0023721934256887853,-0.0024589430062000946
