Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,3.9904961624999995,3.7096112775000005,1.8436109924999995,-0.012213054522691969,-0.007948380351677737
1,0.80000,4.25652924,3.9569186960000002,1.9665183920000002,-0.011456387903189116,-0.007405665102731961
2,0.85000,4.5225623175,4.2042261145,2.0894257915,-0.01074268782028784,-0.006906802289882048
3,0.90000,4.788595395,4.451533533,2.212333191,-0.01016188351170699,-0.006481676518371919
4,0.95000,5.0546284725,4.698840951499999,2.3352405905000007,-0.00978125274589386,-0.006140054520718127
5,1.00000,5.32066155,4.9461483699999995,2.4581479900000005,-0.009696452316971178,-0.005881245004410137
6,1.05000,5.586694627500001,5.193455788500001,2.5810553894999995,-0.010087755481643278,-0.00571993632534717
7,1.10000,5.852727705,5.440763207,2.7039627889999993,-0.011238620119787924,-0.005764756417701509
8,1.15000,6.1187607825,5.6880706255,2.826870188499999,-0.013329157770912196,-0.006396484038875416
9,1.20000,6.384793859999999,5.935378043999999,2.949777588000001,-0.015913782557387905,-0.009122629666050059
10,1.25000,6.6508269375,6.1826854625,3.0726849875000006,-0.01800995795023469,-0.019077650050247433
11,1.30000,6.916860014999999,6.4299928809999995,3.1955923870000005,-0.01904018602606787,-0.029199418533587443
12,1.35000,7.1828930925,6.6773002995,3.3184997865000003,-0.019063304159880112,-0.031711377491653765
13,1.40000,7.448926170000001,6.924607718000001,3.441407186,-0.01836658896167649,-0.030794170071515487
14,1.45000,7.7149592475,7.1719151365,3.564314585499999,-0.017214113139258965,-0.02871062586405529
15,1.50000,7.980992324999999,7.419222555000001,3.687221984999999,-0.015799446876966532,-0.02618557837312461
16,1.55000,8.2470254025,7.666529973499999,3.8101293845000015,-0.014260139800905873,-0.0235106461941068
17,1.60000,8.51305848,7.9138373920000005,3.9330367840000005,-0.012695015552844267,-0.020844639641333394
18,1.65000,8.7790915575,8.1611448105,4.055944183499999,-0.011174497092377243,-0.018289683046469656
19,1.70000,9.045124635,8.408452229,4.178851583,-0.009746320987005602,-0.015912329317837755
20,1.75000,9.3111577125,8.655759647499998,4.301758982499999,-0.008439542846017369,-0.013751554855309964
21,1.80000,9.57719079,8.903067066,4.424666382,-0.007268250759297143,-0.011824327454879878
22,1.85000,9.8432238675,9.150374484499999,4.547573781499999,-0.006235265653832667,-0.010131004014699175
23,1.90000,10.109256945,9.397681902999999,4.670481181000001,-0.005335613975797533,-0.008660503493892736
24,1.95000,10.375290022500002,9.644989321499999,4.7933885805,-0.004559498889931379,-0.007394799485961228
25,2.00000,10.6413231,9.892296739999999,4.916295980000001,-0.0038946192436178344,-0.006312444380553976
26,2.05000,10.9073561775,10.1396041585,5.0392033795,-0.003327828331089686,-0.005391083101173421
27,2.10000,11.173389255000002,10.386911577000001,5.162110778999999,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,11.4394223325,10.6342189955,5.2850181785,-0.0024377666635020997,-0.003946465564419419
29,2.20000,11.70545541,10.881526414,5.407925577999999,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,11.971488487499998,11.1288338325,5.530832977499999,-0.001798334668858177,-0.0029101618536397514
31,2.30000,12.237521565,11.376141251,5.653740376999998,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,12.503554642500001,11.623448669500002,5.776647776499999,-0.001338460227412028,-0.0021655490125395372
33,2.40000,12.769587719999999,11.870756087999998,5.899555176000002,-0.0011589170365201762,-0.001874974609819086
34,2.45000,13.0356207975,12.1180635065,6.022462575500002,-0.0010059721550935079,-0.0016274993689842513
