Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.85727314,2.0203972125,4.9489422525,-0.01395264570272101,-0.01100774280919812
1,0.80000,3.047758016,2.15509036,5.278871736,-0.013136343414506979,-0.010346715504716426
2,0.85000,3.238242892,2.2897835075,5.6088012195,-0.012415132921624376,-0.00975772364915039
3,0.90000,3.428727768,2.424476655,5.938730703,-0.011864546558107834,-0.00927428332239369
4,0.95000,3.619212644,2.5591698025,6.2686601865,-0.01154768931126066,-0.008926462280648917
5,1.00000,3.80969752,2.69386295,6.59858967,-0.011544914799044816,-0.008861624087423234
6,1.05000,4.000182396,2.8285560975,6.9285191535,-0.011922919169534498,-0.008983736653330281
7,1.10000,4.190667272,2.963249245,7.258448637,-0.012731710892670537,-0.009024758604052368
8,1.15000,4.381152148,3.0979423925,7.5883781205,-0.01396801363782552,-0.009642773693297108
9,1.20000,4.571637024,3.23263554,7.918307604,-0.015276619008912747,-0.012569243271384326
10,1.25000,4.7621219,3.3673286875,8.2482370875,-0.016136356748890895,-0.019289359466128857
11,1.30000,4.952606776,3.502021835,8.578166571,-0.016318465934716503,-0.02295678171862861
12,1.35000,5.143091652,3.6367149825,8.9080960545,-0.01590597208779253,-0.02311789208342908
13,1.40000,5.333576528,3.77140813,9.238025538,-0.015073699487155149,-0.021960829651080226
14,1.45000,5.524061404,3.9061012775,9.5679550215,-0.013975702803309177,-0.020306146312777256
15,1.50000,5.71454628,4.040794425,9.897884505,-0.012728762448491712,-0.01844456735544112
16,1.55000,5.905031156,4.1754875725,10.2278139885,-0.0114207506855936,-0.016517768344190886
17,1.60000,6.095516032,4.31018072,10.557743472,-0.010118155466142035,-0.014616343924393135
18,1.65000,6.286000908,4.4448738675,10.8876729555,-0.008869829886208574,-0.01280405299798056
19,1.70000,6.476485784,4.579567015,11.217602439,-0.00770900597273336,-0.011124040641646297
20,1.75000,6.66697066,4.7142601625,11.5475319225,-0.006655250770871746,-0.009601612415260842
21,1.80000,6.857455536,4.84895331,11.877461406,-0.005716918662591994,-0.008247186315590963
22,1.85000,7.047940412,4.9836464575,12.2073908895,-0.0048939312618035725,-0.0070597959382772925
23,1.90000,7.238425288,5.118339605,12.537320373,-0.004180490630836956,-0.0060306626925038555
24,1.95000,7.428910164,5.2530327525,12.8672498565,-0.0035674058489944694,-0.005146344948158798
25,2.00000,7.61939504,5.3877259,13.19717934,-0.003043882944191792,-0.004391203077912272
26,2.05000,7.809879916,5.5224190475,13.5271088235,-0.0025987746344413743,-0.003749139890878643
27,2.10000,8.000364792,5.657112195,13.857038307,-0.002221370945593958,-0.0032047098044724947
28,2.15000,8.190849668,5.7918053425,14.1869677905,-0.001901841434824885,-0.002743742125438802
29,2.20000,8.381334544,5.92649849,14.516897274,-0.0016314353767339987,-0.002353623670379786
30,2.25000,8.57181942,6.0611916375,14.8468267575,-0.0014025266707259887,-0.0020233614476670376
31,2.30000,8.762304296,6.195884785,15.176756241,-0.001208567372019696,-0.0017435153045941266
32,2.35000,8.952789172,6.3305779325,15.5066857245,-0.0010439934956517998,-0.001506062397466997
33,2.40000,9.143274048,6.46527108,15.836615208,-0.0009041110453515067,-0.0013042333040489177
34,2.45000,9.333758924,6.5999642275,16.1665446915,-0.0007849790338279963,-0.0011323437614400036
