Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,8.3151130875,5.700545445,16.092331350000002,-1.2204598502825992,-1.2197299094830085
1,0.80000,8.86945396,6.080581808,17.16515344,-1.0781850846034617,-1.078943924029081
2,0.85000,9.4237948325,6.460618171,18.23797553,-0.9538983492410499,-0.9530775394292145
3,0.90000,9.978135705,6.840654534,19.31079762,-0.8429554556274246,-0.8401995740853002
4,0.95000,10.5324765775,7.220690897,20.38361971,-0.7440046154804869,-0.7385269352926127
5,1.00000,11.08681745,7.60072726,21.4564418,-0.6589464418279807,-0.6477436047298818
6,1.05000,11.6411583225,7.9807636230000005,22.52926389,-0.5921595835414998,-0.5688001825996898
7,1.10000,12.195499195,8.360799986,23.602085980000002,-0.5487583928602584,-0.5114037139117908
8,1.15000,12.749840067500001,8.740836349,24.67490807,-0.5244345258988659,-0.4829193288257436
9,1.20000,13.30418094,9.120872712,25.74773016,-0.49612078114301367,-0.48969458386465087
10,1.25000,13.858521812500001,9.500909075,26.820552250000002,-0.4548219114290132,-0.4965735588506984
11,1.30000,14.412862685,9.880945438,27.89337434,-0.4070220178791123,-0.45593564033880774
12,1.35000,14.9672035575,10.260981801,28.96619643,-0.3585138373976019,-0.40192339137311395
13,1.40000,15.52154443,10.641018164,30.03901852,-0.3122215607096075,-0.34897296799270583
14,1.45000,16.0758853025,11.021054527,31.111840609999998,-0.26946655818512777,-0.30027759209069066
15,1.50000,16.630226175,11.40109089,32.184662700000004,-0.23083292920163279,-0.25658371634724364
16,1.55000,17.1845670475,11.781127253,33.25748479,-0.19652259378790202,-0.21800422128268884
17,1.60000,17.73890792,12.161163616,34.33030688,-0.16649590399756237,-0.18439191159078414
18,1.65000,18.293248792500002,12.541199979,35.40312897,-0.14054517640231384,-0.1554428043515879
19,1.70000,18.847589665,12.921236342,36.47595106,-0.11835035748645055,-0.13075151577490934
20,1.75000,19.4019305375,13.301272705,37.54877315,-0.09952716178496807,-0.1098574615378555
21,1.80000,19.95627141,13.681309068,38.62159524,-0.08366693191883084,-0.09228409756198777
22,1.85000,20.5106122825,14.061345431,39.69441733,-0.07036656022871265,-0.07756879683735488
23,1.90000,21.064953155,14.441381794,40.76723942,-0.05924841994730611,-0.06528265018425314
24,1.95000,21.619294027499997,14.821418157,41.84006151,-0.04997168245175791,-0.05504135072135993
25,2.00000,22.1736349,15.20145452,42.9128836,-0.04223705857099504,-0.04650923544081774
26,2.05000,22.7279757725,15.581490882999999,43.98570569,-0.035787032601655874,-0.039398668600260166
27,2.10000,23.282316645,15.961527246000001,45.05852778,-0.030403339802114585,-0.033466628705755175
28,2.15000,23.8366575175,16.341563609,46.13134987,-0.025903001523984025,-0.02850989119338359
29,2.20000,24.39099839,16.721599972,47.204171960000004,-0.02213381406968354,-0.024359746963775134
30,2.25000,24.9453392625,17.101636335,48.27699405,-0.018969848604850587,-0.0208768325821685
31,2.30000,25.499680135000002,17.481672698,49.34981614,-0.016307272888309268,-0.017946385007165
32,2.35000,26.054021007499998,17.861709061,50.422638230000004,-0.014060640436620076,-0.015474059451153595
33,2.40000,26.60836188,18.241745424,51.49546032,-0.01215969023099103,-0.013382342270694927
34,2.45000,27.1627027525,18.621781787,52.56828241,-0.010546641588466835,-0.011607531095375583
