Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.7616133875,1.7616133875,1.76186016,-0.012213054522691969,-0.007948380351677737
1,0.80000,1.87905428,1.87905428,1.879317504,-0.011456387903189116,-0.007405665102731961
2,0.85000,1.9964951725,1.9964951725,1.996774848,-0.01074268782028784,-0.006906802289882048
3,0.90000,2.113936065,2.113936065,2.114232192,-0.01016188351170699,-0.006481676518371919
4,0.95000,2.2313769575,2.2313769575,2.231689536,-0.00978125274589386,-0.006140054520718127
5,1.00000,2.34881785,2.34881785,2.34914688,-0.009696452316971178,-0.005881245004410137
6,1.05000,2.4662587425,2.4662587425,2.466604224,-0.010087755481643278,-0.00571993632534717
7,1.10000,2.583699635,2.583699635,2.584061568,-0.011238620119787924,-0.005764756417701509
8,1.15000,2.7011405275,2.7011405275,2.701518912,-0.013329157770912196,-0.006396484038875416
9,1.20000,2.81858142,2.81858142,2.818976256,-0.015913782557387905,-0.009122629666050059
10,1.25000,2.9360223125,2.9360223125,2.9364336,-0.01800995795023469,-0.019077650050247433
11,1.30000,3.053463205,3.053463205,3.053890944,-0.01904018602606787,-0.029199418533587443
12,1.35000,3.1709040975,3.1709040975,3.171348288,-0.019063304159880112,-0.031711377491653765
13,1.40000,3.28834499,3.28834499,3.288805632,-0.01836658896167649,-0.030794170071515487
14,1.45000,3.4057858825,3.4057858825,3.406262976,-0.017214113139258965,-0.02871062586405529
15,1.50000,3.523226775,3.523226775,3.52372032,-0.015799446876966532,-0.02618557837312461
16,1.55000,3.6406676675,3.6406676675,3.641177664,-0.014260139800905873,-0.0235106461941068
17,1.60000,3.75810856,3.75810856,3.758635008,-0.012695015552844267,-0.020844639641333394
18,1.65000,3.8755494525,3.8755494525,3.876092352,-0.011174497092377243,-0.018289683046469656
19,1.70000,3.992990345,3.992990345,3.993549696,-0.009746320987005602,-0.015912329317837755
20,1.75000,4.1104312375,4.1104312375,4.11100704,-0.008439542846017369,-0.013751554855309964
21,1.80000,4.22787213,4.22787213,4.228464384,-0.007268250759297143,-0.011824327454879878
22,1.85000,4.3453130225,4.3453130225,4.345921728,-0.006235265653832667,-0.010131004014699175
23,1.90000,4.462753915,4.462753915,4.463379072,-0.005335613975797533,-0.008660503493892736
24,1.95000,4.5801948075,4.5801948075,4.580836416,-0.004559498889931379,-0.007394799485961228
25,2.00000,4.6976357,4.6976357,4.69829376,-0.0038946192436178344,-0.006312444380553976
26,2.05000,4.8150765925,4.8150765925,4.815751104,-0.003327828331089686,-0.005391083101173421
27,2.10000,4.932517485,4.932517485,4.933208448,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,5.0499583775,5.0499583775,5.050665792,-0.0024377666635020997,-0.003946465564419419
29,2.20000,5.16739927,5.16739927,5.168123136,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,5.2848401625,5.2848401625,5.28558048,-0.001798334668858177,-0.0029101618536397514
31,2.30000,5.402281055,5.402281055,5.403037824,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,5.5197219475,5.5197219475,5.520495168,-0.001338460227412028,-0.0021655490125395372
33,2.40000,5.63716284,5.63716284,5.637952512,-0.0011589170365201762,-0.001874974609819086
34,2.45000,5.7546037325,5.7546037325,5.755409856,-0.0010059721550935079,-0.0016274993689842513
