Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,2.765882235,1.955774085,4.790648565,-0.012213054522691969,-0.007948380351677737
1,0.80000,2.950274384,2.086159024,5.110025136,-0.011456387903189116,-0.007405665102731961
2,0.85000,3.134666533,2.216543963,5.429401707,-0.01074268782028784,-0.006906802289882048
3,0.90000,3.319058682,2.346928902,5.748778278,-0.01016188351170699,-0.006481676518371919
4,0.95000,3.503450831,2.477313841,6.068154849,-0.00978125274589386,-0.006140054520718127
5,1.00000,3.68784298,2.60769878,6.38753142,-0.009696452316971178,-0.005881245004410137
6,1.05000,3.872235129,2.738083719,6.706907991,-0.010087755481643278,-0.00571993632534717
7,1.10000,4.056627278,2.868468658,7.026284562,-0.011238620119787924,-0.005764756417701509
8,1.15000,4.241019427,2.998853597,7.345661133,-0.013329157770912196,-0.006396484038875416
9,1.20000,4.425411576,3.129238536,7.665037704,-0.015913782557387905,-0.009122629666050059
10,1.25000,4.609803725,3.259623475,7.984414275,-0.01800995795023469,-0.019077650050247433
11,1.30000,4.794195874,3.390008414,8.303790846,-0.01904018602606787,-0.029199418533587443
12,1.35000,4.978588023,3.520393353,8.623167417,-0.019063304159880112,-0.031711377491653765
13,1.40000,5.162980172,3.650778292,8.942543988,-0.01836658896167649,-0.030794170071515487
14,1.45000,5.347372321,3.781163231,9.261920559,-0.017214113139258965,-0.02871062586405529
15,1.50000,5.53176447,3.91154817,9.58129713,-0.015799446876966532,-0.02618557837312461
16,1.55000,5.716156619,4.041933109,9.900673701,-0.014260139800905873,-0.0235106461941068
17,1.60000,5.900548768,4.172318048,10.220050272,-0.012695015552844267,-0.020844639641333394
18,1.65000,6.084940917,4.302702987,10.539426843,-0.011174497092377243,-0.018289683046469656
19,1.70000,6.269333066,4.433087926,10.858803414,-0.009746320987005602,-0.015912329317837755
20,1.75000,6.453725215,4.563472865,11.178179985,-0.008439542846017369,-0.013751554855309964
21,1.80000,6.638117364,4.693857804,11.497556556,-0.007268250759297143,-0.011824327454879878
22,1.85000,6.822509513,4.824242743,11.816933127,-0.006235265653832667,-0.010131004014699175
23,1.90000,7.006901662,4.954627682,12.136309698,-0.005335613975797533,-0.008660503493892736
24,1.95000,7.191293811,5.085012621,12.455686269,-0.004559498889931379,-0.007394799485961228
25,2.00000,7.37568596,5.21539756,12.77506284,-0.0038946192436178344,-0.006312444380553976
26,2.05000,7.560078109,5.345782499,13.094439411,-0.003327828331089686,-0.005391083101173421
27,2.10000,7.744470258,5.476167438,13.413815982,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,7.928862407,5.606552377,13.733192553,-0.0024377666635020997,-0.003946465564419419
29,2.20000,8.113254556,5.736937316,14.052569124,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,8.297646705,5.867322255,14.371945695,-0.001798334668858177,-0.0029101618536397514
31,2.30000,8.482038854,5.997707194,14.691322266,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,8.666431003,6.128092133,15.010698837,-0.001338460227412028,-0.0021655490125395372
33,2.40000,8.850823152,6.258477072,15.330075408,-0.0011589170365201762,-0.001874974609819086
34,2.45000,9.035215301,6.388862011,15.649451979,-0.0010059721550935079,-0.0016274993689842513
