Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,5.3995758975,6.5233272225,6.523327875,-0.012213054522691969,-0.007948380351677737
1,0.80000,5.759547624,6.958215704,6.9582163999999995,-0.011456387903189116,-0.007405665102731961
2,0.85000,6.1195193505,7.3931041855,7.393104925,-0.01074268782028784,-0.006906802289882048
3,0.90000,6.4794910770000005,7.827992667,7.82799345,-0.01016188351170699,-0.006481676518371919
4,0.95000,6.8394628035,8.2628811485,8.262881974999999,-0.00978125274589386,-0.006140054520718127
5,1.00000,7.19943453,8.69776963,8.697770499999999,-0.009696452316971178,-0.005881245004410137
6,1.05000,7.5594062565,9.1326581115,9.132659024999999,-0.010087755481643278,-0.00571993632534717
7,1.10000,7.919377983,9.567546593,9.56754755,-0.011238620119787924,-0.005764756417701509
8,1.15000,8.2793497095,10.0024350745,10.002436075,-0.013329157770912196,-0.006396484038875416
9,1.20000,8.639321436,10.437323556,10.4373246,-0.015913782557387905,-0.009122629666050059
10,1.25000,8.9992931625,10.8722120375,10.872213125,-0.01800995795023469,-0.019077650050247433
11,1.30000,9.359264889,11.307100519,11.30710165,-0.01904018602606787,-0.029199418533587443
12,1.35000,9.7192366155,11.7419890005,11.741990175,-0.019063304159880112,-0.031711377491653765
13,1.40000,10.079208342,12.176877482,12.176878700000001,-0.01836658896167649,-0.030794170071515487
14,1.45000,10.4391800685,12.6117659635,12.611767225000001,-0.017214113139258965,-0.02871062586405529
15,1.50000,10.799151795,13.046654445,13.04665575,-0.015799446876966532,-0.02618557837312461
16,1.55000,11.159123521500002,13.4815429265,13.481544275,-0.014260139800905873,-0.0235106461941068
17,1.60000,11.519095248,13.916431408,13.916432799999999,-0.012695015552844267,-0.020844639641333394
18,1.65000,11.8790669745,14.3513198895,14.351321324999999,-0.011174497092377243,-0.018289683046469656
19,1.70000,12.239038701,14.786208371,14.78620985,-0.009746320987005602,-0.015912329317837755
20,1.75000,12.5990104275,15.2210968525,15.221098375,-0.008439542846017369,-0.013751554855309964
21,1.80000,12.958982154000001,15.655985334,15.6559869,-0.007268250759297143,-0.011824327454879878
22,1.85000,13.318953880499999,16.0908738155,16.090875425,-0.006235265653832667,-0.010131004014699175
23,1.90000,13.678925607,16.525762297,16.525763949999998,-0.005335613975797533,-0.008660503493892736
24,1.95000,14.0388973335,16.9606507785,16.960652475,-0.004559498889931379,-0.007394799485961228
25,2.00000,14.39886906,17.39553926,17.395540999999998,-0.0038946192436178344,-0.006312444380553976
26,2.05000,14.758840786499999,17.8304277415,17.830429525,-0.003327828331089686,-0.005391083101173421
27,2.10000,15.118812513,18.265316223,18.265318049999998,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,15.4787842395,18.7002047045,18.700206575,-0.0024377666635020997,-0.003946465564419419
29,2.20000,15.838755966,19.135093186,19.1350951,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,16.1987276925,19.5699816675,19.569983625,-0.001798334668858177,-0.0029101618536397514
31,2.30000,16.558699419,20.004870149,20.00487215,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,16.918671145500003,20.4397586305,20.439760675,-0.001338460227412028,-0.0021655490125395372
33,2.40000,17.278642872,20.874647112,20.8746492,-0.0011589170365201762,-0.001874974609819086
34,2.45000,17.6386145985,21.3095355935,21.309537725000002,-0.0010059721550935079,-0.0016274993689842513
