Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,6.02830167,3.4804416375,2.4738738749999998,-0.012213054522691969,-0.007948380351677737
1,0.80000,6.430188448,3.7124710800000003,2.6387988,-0.011456387903189116,-0.007405665102731961
2,0.85000,6.832075226,3.9445005225000003,2.8037237249999998,-0.01074268782028784,-0.006906802289882048
3,0.90000,7.233962004,4.176529965,2.9686486499999996,-0.01016188351170699,-0.006481676518371919
4,0.95000,7.635848782,4.4085594075,3.1335735749999998,-0.00978125274589386,-0.006140054520718127
5,1.00000,8.03773556,4.64058885,3.2984985000000004,-0.009696452316971178,-0.005881245004410137
6,1.05000,8.439622338,4.8726182924999994,3.463423425,-0.010087755481643278,-0.00571993632534717
7,1.10000,8.841509116000001,5.104647735,3.6283483500000004,-0.011238620119787924,-0.005764756417701509
8,1.15000,9.243395893999999,5.3366771775,3.7932732749999998,-0.013329157770912196,-0.006396484038875416
9,1.20000,9.645282672,5.5687066199999995,3.9581982,-0.015913782557387905,-0.009122629666050059
10,1.25000,10.04716945,5.8007360625,4.123123124999999,-0.01800995795023469,-0.019077650050247433
11,1.30000,10.449056228,6.032765505,4.2880480499999996,-0.01904018602606787,-0.029199418533587443
12,1.35000,10.850943006,6.2647949474999995,4.452972975,-0.019063304159880112,-0.031711377491653765
13,1.40000,11.252829784,6.4968243900000004,4.617897900000001,-0.01836658896167649,-0.030794170071515487
14,1.45000,11.654716562,6.7288538325000005,4.782822825,-0.017214113139258965,-0.02871062586405529
15,1.50000,12.05660334,6.960883275,4.9477477499999996,-0.015799446876966532,-0.02618557837312461
16,1.55000,12.458490118,7.1929127175000005,5.112672675000001,-0.014260139800905873,-0.0235106461941068
17,1.60000,12.860376896,7.4249421600000005,5.2775976,-0.012695015552844267,-0.020844639641333394
18,1.65000,13.262263674,7.6569716025,5.442522524999999,-0.011174497092377243,-0.018289683046469656
19,1.70000,13.664150452,7.8890010450000005,5.6074474499999996,-0.009746320987005602,-0.015912329317837755
20,1.75000,14.066037230000001,8.1210304875,5.772372375,-0.008439542846017369,-0.013751554855309964
21,1.80000,14.467924008,8.35305993,5.937297299999999,-0.007268250759297143,-0.011824327454879878
22,1.85000,14.869810785999999,8.5850893725,6.102222224999999,-0.006235265653832667,-0.010131004014699175
23,1.90000,15.271697564,8.817118815,6.2671471499999996,-0.005335613975797533,-0.008660503493892736
24,1.95000,15.673584342,9.049148257499999,6.432072074999999,-0.004559498889931379,-0.007394799485961228
25,2.00000,16.07547112,9.2811777,6.596997000000001,-0.0038946192436178344,-0.006312444380553976
26,2.05000,16.477357898,9.5132071425,6.761921925000001,-0.003327828331089686,-0.005391083101173421
27,2.10000,16.879244676,9.745236584999999,6.92684685,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,17.281131454,9.9772660275,7.091771775000001,-0.0024377666635020997,-0.003946465564419419
29,2.20000,17.683018232000002,10.20929547,7.256696700000001,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,18.08490501,10.441324912499999,7.421621625,-0.001798334668858177,-0.0029101618536397514
31,2.30000,18.486791787999998,10.673354355,7.5865465499999996,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,18.888678566,10.9053837975,7.751471475000001,-0.001338460227412028,-0.0021655490125395372
33,2.40000,19.290565344,11.137413239999999,7.9163964,-0.0011589170365201762,-0.001874974609819086
34,2.45000,19.692452122,11.3694426825,8.081321325000001,-0.0010059721550935079,-0.0016274993689842513
