Frame,Scale,a_length,D3s_Energy,D3_Energy
0,0.7,4.909171141,-0.019110440332152385,-0.01907416854979343
1,0.75,5.2598262225,-0.01738896907319297,-0.017318026096754653
2,0.8,5.610481304,-0.016142539423936095,-0.01601661927622275
3,0.85,5.961136385500001,-0.016810307596297456,-0.01659950701662768
4,0.9,6.311791467000001,-0.019957299960002974,-0.019613390474307376
5,0.95,6.6624465485,-0.025690493328754293,-0.025124092313395692
6,1.0,7.01310163,-0.03346818965833003,-0.03248109316916704
7,1.05,7.363756711500001,-0.04169865106343482,-0.03979673551277681
8,1.1,7.714411793000001,-0.0482468560527993,-0.04423615854403296
9,1.15,8.0650668745,-0.05237595792088965,-0.04397825579564784
10,1.2,8.415721956,-0.05532692664264181,-0.039744946902098066
11,1.25,8.7663770375,-0.057862082276941965,-0.03378546446777604
12,1.3,9.117032119000001,-0.057453532361994214,-0.03159112852775317
13,1.35,9.4676872005,-0.05233397956135666,-0.04984292403514974
14,1.4,9.818342282,-0.04464622233290057,-0.06292479781170762
15,1.45,10.1689973635,-0.03674678417696012,-0.05715286790295774
16,1.5,10.519652445,-0.029741836104308875,-0.04726746877552836
17,1.55,10.870307526500001,-0.023921949273205977,-0.03815753748418048
18,1.6,11.220962608,-0.019229562776454982,-0.030650216099515848
19,1.65,11.5716176895,-0.015495733603323285,-0.024656535059935782
20,1.7000000000000002,11.922272771000001,-0.012537988206935293,-0.019914698429350078
21,1.75,12.2729278525,-0.01019465518471175,-0.01616632173570818
22,1.8,12.623582934000002,-0.008333086107467618,-0.013195209634796558
23,1.85,12.974238015500001,-0.00684818693647897,-0.010829956058334138
24,1.9,13.324893097,-0.005658036913531667,-0.00893743387908931
25,1.9500000000000002,13.675548178500001,-0.004699207274121187,-0.007414996591076804
26,2.0,14.02620326,-0.003922662290825635,-0.006183586700902263
27,2.05,14.3768583415,-0.003290439567144355,-0.0051821914826548805
28,2.1,14.727513423000001,-0.002773057774912223,-0.00436355118518309
29,2.1500000000000004,15.078168504500004,-0.00234752816269032,-0.0036908924085583615
30,2.2,15.428823586000002,-0.0019958416249315795,-0.003135458538295966
31,2.25,15.779478667500001,-0.0017038208103839743,-0.0026746455685846384
32,2.3,16.130133749,-0.0014602488872971294,-0.002290592946082373
33,2.35,16.4807888305,-0.0012562068061905847,-0.0019691151176218355
34,2.4000000000000004,16.831443912000005,-0.001084567458252528,-0.0016988881614118604
35,2.45,17.182098993500002,-0.0009396080155401718,-0.0014708277904008174
36,2.5,17.532754075,-0.000816711516098139,-0.0012776114067551622
37,2.55,17.8834091565,-0.0007121360758395013,-0.00111330902937037
38,2.6,18.234064238000002,-0.0006228355527322866,-0.0009730968776165264
39,2.6500000000000004,18.584719319500003,-0.0005463195286616353,-0.0008530340044963781
40,2.7,18.935374401,-0.0004805434731140292,-0.0007498872556233843
41,2.75,19.286029482500002,-0.00042382218298474945,-0.0006609934482233193
42,2.8,19.636684564,-0.0003747612561513198,-0.0005841503543651627
43,2.85,19.9873396455,-0.00033220260145112065,-0.0005175300809885277
44,2.9000000000000004,20.337994727000005,-0.00029518092326220093,-0.00045960994532739875
45,2.95,20.688649808500003,-0.0002628888248803076,-0.0004091170788061741
