Frame,Scale,a_length,D3s_Energy,D3_Energy
0,0.7,4.211742045,-0.017021513114749486,-0.016704479146729144
1,0.75,4.512580762500001,-0.02696585919599489,-0.027137461026424618
2,0.8,4.81341948,-0.03616182841204899,-0.036827310805471414
3,0.85,5.1142581975,-0.041040302483892725,-0.04171745878077694
4,0.9,5.415096915,-0.04108965779785597,-0.04167551849569637
5,0.95,5.7159356325,-0.03791591293660678,-0.038362630669053176
6,1.0,6.01677435,-0.033051226607370164,-0.033368420316837046
7,1.05,6.317613067500001,-0.027579097283655582,-0.027772398204897446
8,1.1,6.618451785000001,-0.02253230269063153,-0.02258639399102346
9,1.15,6.9192905025,-0.01857056143566508,-0.01842204005936194
10,1.2,7.2201292200000005,-0.015936645384204643,-0.015504738809794517
11,1.25,7.5209679375,-0.014566533820199495,-0.014184981244534245
12,1.3,7.8218066550000005,-0.014170628429613696,-0.014470220905445742
13,1.35,8.122645372500001,-0.014485238738215032,-0.0151234389564937
14,1.4,8.42348409,-0.015253637988624412,-0.015941356437573505
15,1.45,8.7243228075,-0.01612960717815245,-0.016804485154866426
16,1.5,9.025161525000001,-0.01670583462186665,-0.01735485732026011
17,1.55,9.326000242500001,-0.016670731078312514,-0.017282745420215115
18,1.6,9.62683896,-0.015951466541770723,-0.016514154001878754
19,1.65,9.9276776775,-0.014701719764047346,-0.015206282153531793
20,1.7000000000000002,10.228516395000002,-0.013164266610703985,-0.013607646664159439
21,1.75,10.529355112500001,-0.011549031729567128,-0.011933001599028614
22,1.8,10.83019383,-0.009991923375469804,-0.01032115103758433
23,1.85,11.131032547500002,-0.00856539065977505,-0.00884585367542113
24,1.9,11.431871265,-0.007300160068398157,-0.0075381556932894445
25,1.9500000000000002,11.732709982500001,-0.006202036981298881,-0.006403623838465145
26,2.0,12.0335487,-0.005262764003863386,-0.005433469442570749
27,2.05,12.3343874175,-0.004466973637660236,-0.004611666996215033
28,2.1,12.635226135000002,-0.0037966076643135517,-0.003919477548290521
29,2.1500000000000004,12.936064852500003,-0.003233561365602553,-0.0033381534902061187
30,2.2,13.236903570000003,-0.0027610927059906623,-0.002850377696815171
31,2.25,13.5377422875,-0.0023644319114876273,-0.0024408832415004082
32,2.3,13.838581005,-0.002030920256193781,-0.0020965908851380316
33,2.35,14.139419722500001,-0.001749901249027277,-0.0018064932854363236
34,2.4000000000000004,14.440258440000003,-0.0015125016490588634,-0.0015614268778871498
35,2.45,14.741097157500002,-0.001311379792870375,-0.0013538108520646905
36,2.5,15.041935875,-0.0011404809709750496,-0.0011773939042798358
37,2.55,15.3427745925,-0.0009948176135401283,-0.0010270268975298993
38,2.6,15.643613310000001,-0.0008702801041433477,-0.0008984673147225511
39,2.6500000000000004,15.944452027500002,-0.0007634780355356219,-0.0007882152414926443
40,2.7,16.245290745000002,-0.0006716090362066983,-0.0006933778721365347
41,2.75,16.5461294625,-0.000592351370924627,-0.0006115585939208788
42,2.8,16.84696818,-0.00052377646660038,-0.0005407666617668945
43,2.85,17.1478068975,-0.00046427785410678077,-0.000479343831633555
44,2.9000000000000004,17.448645615000004,-0.00041251349505930387,-0.0004259048183805117
45,2.95,17.749484332500003,-0.0003673589557823344,-0.0003792889552054258
