Frame,Scale,a_length,CN cation,CN_an,D3s_Energy,D3_Energy,Bond Length (Å),D3S Energy (eV/f.u),D3 Energy (eV/f.u)
0,0.7,4.211742045,2.8258746605606526,2.825874660560653,-0.0911831914990816,-0.0902864759040021,1.798413853215,-2.4801828087750195,-2.455792144588857
1,0.75,4.512580762500001,2.3526639420206803,2.3526639420206803,-0.0888549846109311,-0.0891413990932279,1.9268719855875003,-2.416855581417326,-2.4246460553357987
2,0.8,4.81341948,2.1580882844341884,2.1580882844341884,-0.0840734495773765,-0.0848505266551736,2.05533011796,-2.286797828504641,-2.307934325020722
3,0.85,5.1142581975,2.07388614519779,2.0738861451977906,-0.0776737563321315,-0.0782951122875552,2.1837882503325,-2.1127261722339767,-2.1296270542215012
4,0.9,5.415096915,2.029213248254291,2.029213248254291,-0.0704146356705163,-0.0708974480333024,2.312246382705,-1.9152780902380433,-1.9284105865058254
5,0.95,5.7159356325,1.9892327412394304,1.9892327412394304,-0.0628789914962015,-0.0632370047772988,2.4407045150775,-1.7103085686966808,-1.7200465299425272
6,1.0,6.01677435,1.925220680768652,1.925220680768652,-0.0556157727388615,-0.0558692031427413,2.5691626474500002,-1.5127490184970327,-1.5196423254825633
7,1.05,6.317613067500001,1.8032755249183807,1.8032755249183805,-0.0489529055654226,-0.0490893674648479,2.6976207798225005,-1.3315190313794947,-1.3352307950438629
8,1.1,6.618451785000001,1.591698102629687,1.591698102629687,-0.0431386337150813,-0.0430941061146769,2.8260789121950003,-1.1733708370502114,-1.1721596863192116
9,1.15,6.9192905025,1.2903942408993214,1.2903942408993214,-0.0383889291362063,-0.0379674694866578,2.9545370445675,-1.0441788725048113,-1.0327151700370922
10,1.2,7.22012922,0.9519996219263795,0.9519996219263795,-0.0349483056492256,-0.0338400267909595,3.08299517694,-0.9505939136589364,-0.9204487287140984
11,1.25,7.5209679375,0.6490933132346416,0.6490933132346416,-0.0326830095341562,-0.0316504067192447,3.2114533093124997,-0.8889778593290485,-0.8608910627634557
12,1.3,7.821806655,0.4215946354232708,0.4215946354232708,-0.0307330600191437,-0.0312865063888342,3.3399114416849995,-0.8359392325207087,-0.8509929737762902
13,1.35,8.122645372500001,0.2686168312109563,0.2686168312109563,-0.0286072268458261,-0.0297967172109685,3.4683695740575002,-0.7781165702064698,-0.8104707081383432
14,1.4,8.42348409,0.1713629852243525,0.1713629852243525,-0.0263614691558472,-0.0275055438472371,3.59682770643,-0.7170319610390439,-0.7481507926448491
15,1.45,8.7243228075,0.1107505091907622,0.1107505091907622,-0.0241120557422806,-0.0251002015912506,3.7252858388025,-0.6558479161900322,-0.6827254832820163
16,1.5,9.025161525,0.0729315982186159,0.0729315982186159,-0.0219118598723529,-0.0227572463182969,3.8537439711749997,-0.5960025885279989,-0.6189970998576757
17,1.55,9.3260002425,0.0490458208023739,0.0490458208023739,-0.0197806931289144,-0.0205082988983624,3.9822021035474995,-0.5380348531064716,-0.5578257300354572
18,1.6,9.62683896,0.0336947728281885,0.0336947728281885,-0.0177319092985077,-0.0183615596483604,4.11066023592,-0.4823079329194094,-0.49943442243540287
19,1.65,9.9276776775,0.0236343104706893,0.0236343104706893,-0.0157812583172826,-0.0163274718797924,4.2391183682925,-0.4292502262300867,-0.4441072351303532
