Frame,Scale,a_length,CN_cat,CN_an,D3s_Energy,D3_Energy
0,0.7,4.748621948,2.994841310919371,2.994841310919371,-0.01769059895634457,-0.010623619603542852
1,0.75,5.08780923,2.977223860860259,2.977223860860259,-0.017474857045818276,-0.01043158369865925
2,0.8,5.4269965120000005,2.9177231067623692,2.9177231067623692,-0.01735423569383196,-0.010148768577359095
3,0.85,5.766183794,2.7544296344825066,2.7544296344825066,-0.017696063073904766,-0.009750576211726088
4,0.9,6.105371076,2.403782959893979,2.403782959893979,-0.01929903940445123,-0.009217081638928462
5,0.95,6.444558358,1.8523298816323184,1.8523298816323184,-0.023237876011033755,-0.008541611266832913
6,1.0,6.78374564,1.243622339557119,1.243622339557119,-0.02904016201691623,-0.007830941015338823
7,1.05,7.122932922,0.7544647428288573,0.7544647428288573,-0.0333003265015519,-0.011081853178452472
8,1.1,7.4621202040000005,0.4372292850525689,0.4372292850525689,-0.033691023918500075,-0.04135098383619893
9,1.15,7.801307486,0.25247297047923456,0.25247297047923456,-0.030994592710218993,-0.05842367982220942
10,1.2,8.140494768,0.1485933524881269,0.1485933524881269,-0.026853029103724734,-0.05438408394304918
11,1.25,8.479682050000001,0.0899928894620719,0.0899928894620719,-0.022430465933847496,-0.04594087160720378
12,1.3,8.818869332,0.05623719584826245,0.05623719584826245,-0.018328847176669615,-0.037555716400229554
13,1.35,9.158056614000001,0.03624644597081503,0.03624644597081503,-0.014787586895556445,-0.030259336635620415
14,1.4,9.497243896,0.024053951405420874,0.024053951405420874,-0.011851455191365268,-0.024219736201108375
15,1.45,9.836431178,0.01640001628106306,0.01640001628106306,-0.00947417419581251,-0.019342431124359263
16,1.5,10.17561846,0.011462215982573448,0.011462215982573448,-0.007575534556890799,-0.015455339629608551
17,1.55,10.514805742,0.008194694961515397,0.008194694961515397,-0.006070132381251038,-0.012377994566755101
18,1.6,10.853993024000001,0.005981109812073209,0.005981109812073209,-0.004880124875408927,-0.009947948242842352
19,1.65,11.193180306,0.004448762033297723,0.004448762033297723,-0.003939617513004224,-0.008028801665659734
20,1.7000000000000002,11.532367588000001,0.0033667092136637163,0.0033667092136637163,-0.00319503741395973,-0.00651023501910198
21,1.75,11.87155487,0.002588529527737557,0.002588529527737557,-0.0026038266387785674,-0.005304904530793064
22,1.8,12.210742152,0.002019381622586934,0.002019381622586934,-0.002132621657347719,-0.00434448828513118
23,1.85,12.549929434000001,0.001596598886273139,0.001596598886273139,-0.001755451414833405,-0.003575882445634352
24,1.9,12.889116716,0.0012780003709673385,0.0012780003709673385,-0.0014521621420966182,-0.0029579207166233537
25,1.9500000000000002,13.228303998000001,0.0010347007559275757,0.0010347007559275757,-0.0012071219362714018,-0.002458696604707088
26,2.0,13.56749128,0.0008465997373832976,0.0008465997373832976,-0.001008190747451915,-0.0020534439473442654
27,2.05,13.906678562,0.0006994995675237341,0.0006994995675237341,-0.0008459171672956726,-0.0017228889517772526
28,2.1,14.245865844,0.0005832308601944595,0.0005832308601944595,-0.0007129190200824537,-0.0014519818278882833
29,2.1500000000000004,14.585053126000004,0.0004904140218066719,0.0004904140218066719,-0.0006034085429289782,-0.0012289258133573165
30,2.2,14.924240408000001,0.00041562816714380853,0.00041562816714380853,-0.000512829356710742,-0.0010444355182363193
31,2.25,15.26342769,0.00035484541945466383,0.00035484541945466383,-0.00043757901296677854,-0.0008911704951366642
32,2.3,15.602614972,0.0003050406348944757,0.0003050406348944757,-0.00037479670074871675,-0.00076330206057756
33,2.35,15.941802254,0.00026391872003386183,0.00026391872003386183,-0.00032220045379352925,-0.0006561812503685185
34,2.4000000000000004,16.280989536000003,0.00022972182312393978,0.00022972182312393978,-0.00027796195194704703,-0.0005660835314446729
35,2.45,16.620176818,0.00020109145867874345,0.00020109145867874345,-0.00024060990706164896,-0.0004900118449685462
36,2.5,16.959364100000002,0.0001769688598536128,0.0001769688598536128,-0.0002089552288312102,-0.0004255440775752893
37,2.55,17.298551382,0.00015652223121186522,0.00015652223121186522,-0.00018203283217722887,-0.0003707144688821107
38,2.6,17.637738664,0.0001390931316167281,0.0001390931316167281,-0.00015905620149689133,-0.0003239210272506842
39,2.6500000000000004,17.976925946,0.00012415659815979282,0.00012415659815979282,-0.00013938176885814127,-0.00028385295013219283
40,2.7,18.316113228000003,0.0001112912342978744,0.0001112912342978744,-0.00012248087069126567,-0.0002494334899694826
41,2.75,18.65530051,0.00010015658890950331,0.00010015658890950331,-0.0001079175796044014,-0.00021977479259885607
42,2.8,18.994487792,9.04759161490483e-05,9.04759161490483e-05,-9.533110892670603e-05,-0.00019414205316877574
43,2.85,19.333675074000002,8.202293896250268e-05,8.202293896250268e-05,-8.442179054661698e-05,-0.00017192495251274376
44,2.9000000000000004,19.672862356000003,7.461161485975406e-05,7.461161485975406e-05,-7.493985621219698e-05,-0.00015261480508710118
45,2.95,20.012049638,6.808816978642743e-05,6.808816978642743e-05,-6.66764270371414e-05,-0.00013578620549114406
