Frame,Scale,a_length,D3s_Energy,D3_Energy
0,0.7,3.033565269,-0.0009460061778553834,-0.0009426855208441731
1,0.75,3.2502485025,-0.0006707731607955736,-0.0006707516406793837
2,0.8,3.4669317360000003,-0.0005478305182720294,-0.0005472639784420345
3,0.85,3.6836149695,-0.0005388352738294271,-0.0005382859814474619
4,0.9,3.900298203,-0.0006270295958156006,-0.0006266062518980967
5,0.95,4.1169814365,-0.0008057446588923225,-0.0008052421163339948
6,1.0,4.33366467,-0.0010614034199468224,-0.001060192172184217
7,1.05,4.5503479035000005,-0.0013538715385419333,-0.0013503680236118568
8,1.1,4.767031137000001,-0.0016207365592691503,-0.0016111276169629258
9,1.15,4.9837143704999995,-0.0018365957492285155,-0.0018114540645454722
10,1.2,5.200397604,-0.0019942111105843933,-0.0020206410272117573
11,1.25,5.4170808375,-0.002047469890595069,-0.0021030776669585687
12,1.3,5.633764071000001,-0.002050743044670683,-0.0021009052965572906
13,1.35,5.8504473045,-0.0020816551483053528,-0.002132878377750549
14,1.4,6.067130538,-0.002187550003485172,-0.002245280582342407
15,1.45,6.2838137715,-0.0023957173466467034,-0.0024643811461955447
16,1.5,6.500497005,-0.0027206797503379794,-0.002804359648893354
17,1.55,6.7171802385,-0.0031655346849150693,-0.003268108254368288
18,1.6,6.9338634720000005,-0.0037189530584577136,-0.003843815438711536
19,1.65,7.1505467055,-0.004349146498259879,-0.004498572033025076
20,1.7000000000000002,7.367229939000001,-0.004998680474754194,-0.005172934662110538
21,1.75,7.5839131725,-0.005587258875724561,-0.005783786815512289
22,1.8,7.800596406,-0.006028924339286535,-0.006242150925155444
23,1.85,8.0172796395,-0.006260409543507346,-0.006482555832841965
24,1.9,8.233962873,-0.006263869240755842,-0.0064865803143459265
25,1.9500000000000002,8.4506461065,-0.006067403397375305,-0.006283387867117893
26,2.0,8.66732934,-0.005725242911316251,-0.005929196251429707
27,2.05,8.8840125735,-0.005294606207426259,-0.00548330350510125
28,2.1,9.100695807000001,-0.0048222853579936035,-0.004994196336821501
29,2.1500000000000004,9.317379040500002,-0.004341695194522073,-0.004496497629957347
30,2.2,9.534062274000002,-0.003875009582906959,-0.004013182479995737
31,2.25,9.7507455075,-0.0034361072607529287,-0.0035586314379674132
32,2.3,9.967428740999999,-0.0030328577120816115,-0.0031409991885450626
33,2.35,10.1841119745,-0.002668769189068483,-0.0027639220500890508
34,2.4000000000000004,10.400795208000002,-0.002344273625366206,-0.0024278491708146473
35,2.45,10.617478441500001,-0.002057776161999815,-0.0021311298314952557
36,2.5,10.834161675,-0.0018064868263787661,-0.0018708750551379803
37,2.55,11.0508449085,-0.0015870350512331639,-0.0016435942423667356
38,2.6,11.267528142000002,-0.0013958880737101201,-0.0014456286313644876
39,2.6500000000000004,11.484211375500001,-0.0012296115680751165,-0.0012734213160791254
40,2.7,11.700894609,-0.0010850151063368225,-0.0011236679494624775
41,2.75,11.9175778425,-0.0009592199974487888,-0.0009933870331710723
42,2.8,12.134261076,-0.0008496784288977495,-0.000879939757829762
43,2.85,12.3509443095,-0.0007541642843795153,-0.0007810205002245106
44,2.9000000000000004,12.567627543000002,-0.0006707490738426207,-0.0006946318968288983
45,2.95,12.784310776500002,-0.0005977713616318505,-0.0006190531808928266
